id,category,iconResource,order,collectable_name,collectable_desc,collectable_desc_short,additionalGetInfo,is_Reset
100,Memory,icn_mvg_memory_chapter_1,1,Locale_Event:EventMVG_Collectable_Memory_01_Name,Locale_Event:EventMVG_Collectable_Memory_01_Desc,Locale_Event:EventMVG_Collectable_Memory_01_Desc_Short,Locale_Event:EventMVG_Collectable_Memory_01_GetInfo,True
101,Memory,icn_mvg_memory_chapter_1,2,Locale_Event:EventMVG_Collectable_Memory_02_Name,Locale_Event:EventMVG_Collectable_Memory_02_Desc,Locale_Event:EventMVG_Collectable_Memory_02_Desc_Short,Locale_Event:EventMVG_Collectable_Memory_02_GetInfo,True
102,Memory,icn_mvg_memory_chapter_1,3,Locale_Event:EventMVG_Collectable_Memory_03_Name,Locale_Event:EventMVG_Collectable_Memory_03_Desc,Locale_Event:EventMVG_Collectable_Memory_03_Desc_Short,Locale_Event:EventMVG_Collectable_Memory_03_GetInfo,True
103,Memory,icn_mvg_memory_chapter_1,4,Locale_Event:EventMVG_Collectable_Memory_04_Name,Locale_Event:EventMVG_Collectable_Memory_04_Desc,Locale_Event:EventMVG_Collectable_Memory_04_Desc_Short,Locale_Event:EventMVG_Collectable_Memory_04_GetInfo,True
104,Memory,icn_mvg_memory_chapter_1,5,Locale_Event:EventMVG_Collectable_Memory_05_Name,Locale_Event:EventMVG_Collectable_Memory_05_Desc,Locale_Event:EventMVG_Collectable_Memory_05_Desc_Short,Locale_Event:EventMVG_Collectable_Memory_05_GetInfo,True
110,Memory,icn_mvg_memory_chapter_2,6,Locale_Event:EventMVG_Collectable_Memory_06_Name,Locale_Event:EventMVG_Collectable_Memory_06_Desc,Locale_Event:EventMVG_Collectable_Memory_06_Desc_Short,Locale_Event:EventMVG_Collectable_Memory_06_GetInfo,True
111,Memory,icn_mvg_memory_chapter_2,7,Locale_Event:EventMVG_Collectable_Memory_07_Name,Locale_Event:EventMVG_Collectable_Memory_07_Desc,Locale_Event:EventMVG_Collectable_Memory_07_Desc_Short,Locale_Event:EventMVG_Collectable_Memory_07_GetInfo,True
112,Memory,icn_mvg_memory_chapter_2,8,Locale_Event:EventMVG_Collectable_Memory_08_Name,Locale_Event:EventMVG_Collectable_Memory_08_Desc,Locale_Event:EventMVG_Collectable_Memory_08_Desc_Short,Locale_Event:EventMVG_Collectable_Memory_08_GetInfo,True
113,Memory,icn_mvg_memory_chapter_2,9,Locale_Event:EventMVG_Collectable_Memory_09_Name,Locale_Event:EventMVG_Collectable_Memory_09_Desc,Locale_Event:EventMVG_Collectable_Memory_09_Desc_Short,Locale_Event:EventMVG_Collectable_Memory_09_GetInfo,True
114,Memory,icn_mvg_memory_chapter_2,10,Locale_Event:EventMVG_Collectable_Memory_10_Name,Locale_Event:EventMVG_Collectable_Memory_10_Desc,Locale_Event:EventMVG_Collectable_Memory_10_Desc_Short,Locale_Event:EventMVG_Collectable_Memory_10_GetInfo,True
