id,list_button_index,event_field_id,npc_localkey_name,npc_localkey_contents,npc_type,resource_id,costume_index,forced_name_tag_resource,interaction_type,interaction_distance,forced_interaction_marker,is_interaction_after_end,is_not_used_in_archive,progress_event_group_id,is_use_balloon_talk,balloon_always_id,balloon_always_play_type,balloon_always_cycle,event_field_npc_event_data_list/0/event_id,event_field_npc_event_data_list/0/event_type,event_field_npc_event_data_list/0/event_resource_value,event_field_npc_event_data_list/1/event_id,event_field_npc_event_data_list/1/event_type,event_field_npc_event_data_list/1/event_resource_value,event_field_npc_event_data_list/2/event_id,event_field_npc_event_data_list/2/event_type,event_field_npc_event_data_list/2/event_resource_value
33,1,1010003,Locale_Character:npc_956_name_var_01,Locale_Event:event_contents_storydungeon_before,Npc,7001004,0,sprite_event_overzone_npc_tag,None,200,sprite_btn_event_overzone,True,False,0,False,,None,0,80303,None,,0,None,,0,None,
34,0,1010003,Locale_Character:npc_956_name_var_02,,Npc,7001005,0,sprite_event_overzone_npc_tag,None,200,sprite_btn_event_overzone,False,False,10200323,False,,None,0,0,None,,0,None,,0,None,
35,2,1010003,Locale_Character:npc_956_name_var_02,Locale_Event:event_contents_storydungeon_after,Npc,7001005,0,sprite_event_overzone_npc_tag,None,200,sprite_btn_event_overzone,True,False,10200324,False,,None,0,80304,None,,0,None,,0,None,
36,3,1010003,Locale_Character:npc_5001_name,Locale_Event:event_contents_challenge,Npc,7001007,0,sprite_event_overzone_npc_tag,None,200,sprite_btn_event_overzone,True,True,0,False,,None,0,0,None,,0,None,,0,None,
37,0,1010003,Locale_Character:npc_954_name_var_02,,Npc,7001002,0,sprite_event_overzone_npc_tag,None,200,sprite_btn_event_overzone,False,False,10200337,False,,None,0,0,None,,0,None,,0,None,
38,5,1010003,Locale_Character:npc_954_name_var_01,Locale_Event:event_contents_login,Npc,7001001,0,sprite_event_overzone_npc_tag,None,200,sprite_btn_event_overzone,False,True,0,False,,None,0,0,None,,0,None,,0,None,
39,6,1010003,Locale_Character:npc_954_name_var_03,Locale_Event:event_contents_shop,Npc,7001003,0,sprite_event_overzone_npc_tag,None,200,sprite_btn_event_overzone,True,True,0,False,,None,0,0,None,,0,None,,0,None,
40,0,1010003,Locale_Character:220_name,,Character,220,0,sprite_event_overzone_npc_tag,None,200,sprite_btn_event_overzone,False,False,10200301,True,event_overzone_balloon_01,Random,4,0,None,,0,None,,0,None,
41,0,1010003,Locale_Character:220_name,,Character,220,0,sprite_event_overzone_npc_tag,None,200,sprite_btn_event_overzone,False,False,10200302,True,event_overzone_balloon_02,Random,4,0,None,,0,None,,0,None,
42,0,1010003,Locale_Character:220_name,,Character,220,0,sprite_event_overzone_npc_tag,None,200,sprite_btn_event_overzone,False,False,10200303,True,event_overzone_balloon_03,Random,4,0,None,,0,None,,0,None,
43,0,1010003,Locale_Character:220_name,,Character,220,0,sprite_event_overzone_npc_tag,None,200,sprite_btn_event_overzone,False,False,10200304,True,event_overzone_balloon_04,Random,4,0,None,,0,None,,0,None,
