id,name_code,scenario_title_loacle,attractive_scenario_group_id,condition_scenario_group_id
1,5055,Locale_NikkeEpisode:d_nikke_guilty_01_title,d_nikke_guilty_01,
2,5055,Locale_NikkeEpisode:d_nikke_guilty_02_title,d_nikke_guilty_02,d_nikke_guilty_01
3,5055,Locale_NikkeEpisode:d_nikke_guilty_03_title,d_nikke_guilty_03,d_nikke_guilty_02
4,5055,Locale_NikkeEpisode:d_nikke_guilty_04_title,d_nikke_guilty_04,d_nikke_guilty_03
5,5055,Locale_NikkeEpisode:d_nikke_guilty_05_title,d_nikke_guilty_05,d_nikke_guilty_04
6,5059,Locale_NikkeEpisode:d_nikke_sin_01_title,d_nikke_sin_01,
7,5059,Locale_NikkeEpisode:d_nikke_sin_02_title,d_nikke_sin_02,d_nikke_sin_01
8,5059,Locale_NikkeEpisode:d_nikke_sin_03_title,d_nikke_sin_03,d_nikke_sin_02
9,5059,Locale_NikkeEpisode:d_nikke_sin_04_title,d_nikke_sin_04,d_nikke_sin_03
10,5059,Locale_NikkeEpisode:d_nikke_sin_05_title,d_nikke_sin_05,d_nikke_sin_04
11,5078,Locale_NikkeEpisode:d_nikke_quency_01_title,d_nikke_quency_01,
12,5078,Locale_NikkeEpisode:d_nikke_quency_02_title,d_nikke_quency_02,d_nikke_quency_01
13,5078,Locale_NikkeEpisode:d_nikke_quency_03_title,d_nikke_quency_03,d_nikke_quency_02
14,5078,Locale_NikkeEpisode:d_nikke_quency_04_title,d_nikke_quency_04,d_nikke_quency_03
15,5078,Locale_NikkeEpisode:d_nikke_quency_05_title,d_nikke_quency_05,d_nikke_quency_04
16,5056,Locale_NikkeEpisode:d_nikke_nihilister_01_title,d_nikke_nihilister_01,
17,5056,Locale_NikkeEpisode:d_nikke_nihilister_02_title,d_nikke_nihilister_02,d_nikke_nihilister_01
18,5056,Locale_NikkeEpisode:d_nikke_nihilister_03_title,d_nikke_nihilister_03,d_nikke_nihilister_02
19,5056,Locale_NikkeEpisode:d_nikke_nihilister_04_title,d_nikke_nihilister_04,d_nikke_nihilister_03
20,5056,Locale_NikkeEpisode:d_nikke_nihilister_05_title,d_nikke_nihilister_05,d_nikke_nihilister_04
