id,resource_id,mon_prefab,grade,size,dissolve_type,attribute,move_type,category_type_1,category_type_2,category_type_3,class
112001,42,btg001,Thrash,Small,Small,Bio,Walk,Supporter,None,None,Supporter
112008,173,bbg008_hsta_summon,Elite,Big,Big,Bio,Fly,Air_Defender,None,None,Defender
111001,55,bta001,Thrash,Small,Small,Bio,Fly,Air_Attacker,None,None,Attacker
111003,175,bca003_summon,Thrash,Small,Small,Bio,Fly,Air_Attacker,None,None,Attacker
121001,21,bma001,Minion,Small,Small,Bio,Fly,Air_Attacker,None,None,Attacker
121002,52,bma002,Minion,Small,Small,Bio,Fly,Air_Supporter,None,None,Supporter
121003,65,bma003,Minion,Small,Small,Bio,Fly,Air_Attacker,None,None,Attacker
121004,102,bma004,Minion,Small,Small,Bio,Fly,Air_Defender,None,None,Defender
121005,162,bma005,Minion,Small,Small,Bio,Fly,Air_Supporter,None,None,Supporter
121006,176,bma006,Minion,Small,Small,Bio,Fly,Air_Supporter,None,None,Supporter
122001,16,bmg001,Minion,Small,Small,Bio,Walk,Supporter,None,None,Supporter
122002,66,bmg002,Minion,Small,Small,Bio,Walk,Supporter,None,None,Supporter
122003,67,bmg003,Minion,Small,Small,Bio,Walk,Supporter,None,None,Supporter
122004,68,bmg004,Minion,Small,Small,Bio,Walk,Supporter,None,None,Supporter
122006,108,bmg006,Minion,Small,Small,Bio,Walk,Attacker,None,None,Attacker
131001,22,bea001,Elite,Medium,Medium,Bio,Fly,Air_Attacker,None,None,Attacker
131002,23,bea002,Elite,Medium,Medium,Bio,Fly,Air_Attacker,None,None,Attacker
131003,47,bea003,Elite,Medium,Medium,Bio,Fly,Air_Supporter,None,None,Supporter
131004,103,bea004,Elite,Medium,Medium,Bio,Fly,Air_Supporter,None,None,Supporter
132001,74,beg001,Elite,Medium,Medium,Bio,Walk,Attacker,None,None,Attacker
132002,17,beg002,Elite,Medium,Medium,Bio,Walk,Defender,None,None,Defender
132003,56,beg003,Elite,Medium,Medium,Bio,Walk,Defender,None,None,Defender
132004,40,beg004,Elite,Medium,Medium,Bio,Walk,Attacker,None,None,Attacker
122005,46,beg005,Minion,Small,Small,Bio,Walk,Attacker,None,None,Attacker
132006,75,beg006,Elite,Medium,Medium,Bio,Walk,Supporter,None,None,Supporter
132007,189,beg007,Elite,Medium,Medium,Bio,Walk,Defender,None,None,Defender
132008,190,beg008,Elite,Medium,Medium,Bio,Walk,Supporter,None,None,Supporter
141001,93,bca001,Centurion,Big,Big,Bio,Fly,Air_Supporter,None,None,Supporter
141002,88,bca002,Centurion,Big,Big,Bio,Fly,Air_Supporter,None,None,Supporter
141003,174,bca003,Centurion,Big,Big,Bio,Fly,Air_Attacker,None,None,Attacker
142001,57,bcg001,Centurion,Big,Big,Bio,Walk,Attacker,None,None,Attacker
142101,127,bcg001_re,Centurion,Big,Big,Bio,Walk,Attacker,None,None,Attacker
142002,41,bcg002,Centurion,Big,Big,Bio,Walk,Defender,None,None,Defender
142003,94,bcg003,Centurion,Big,Big,Bio,Walk,Supporter,None,None,Supporter
142103,121,bcg003_re,Centurion,Big,Big,Bio,Walk,Supporter,None,None,Supporter
142004,95,bcg004,Centurion,Big,Big,Bio,Walk,Attacker,None,None,Attacker
142005,96,bcg005,Centurion,Big,Big,Bio,Walk,Supporter,None,None,Supporter
142006,181,bcg006,Centurion,Big,Big,Bio,Fly,Air_Defender,None,None,Defender
152001,37,bbg001,Boss,Huge,Huge,Bio,Walk,Attacker,None,None,Attacker
152011,157,bbg001_hsta_intercept,Boss,Huge,Huge,Bio,Walk,Defender,None,None,Defender
152002,63,bbg002,Boss,Huge,Huge,Bio,Walk,Supporter,None,None,Supporter
152003,62,bbg003,Boss,Huge,Huge,Bio,Walk,Supporter,None,None,Supporter
