id,value
DefaultCharacterInventorySize,500
DefaultItemInventorySize,500
DefaultEquipmentInventorySize,300
DefaultProductionLineSize,2
DefaultCharacterRankLv,1
DefaultEquipmentLv,0
WeeklyResetDay,1
AttendanceSupplement_CurrencyType,2000
AttendanceSupplement_Amount,1000
MaxMissionGauge,100
CharacterExpCurrencyCost,1
MaxExtendCharacterInventory,500
MaxExtendItemInventory,500
MaxLimitCharacterInventory,1000
MaxLimitItemInventory,1000
ExtendCharacterInventoryCurrencyType,99
ExtendCharacterInventoryAmount,100
ExtendCharacterInventoryAddValue,5
AttackToBattlePower,18
DefenseToBattlePower,100
HpToBattlePower,0.7
SkillBaseToBattlePower,1.3
Skill1ToBattlePower,0.01
Skill2ToBattlePower,0.01
BurstSkillToBattlePower,0.02
EquipIncreaseExpCurrencyType,2000
EquipIncreaseExpAmount,1
EquipIncreaseStatBonus,0.1
MaxCeilingCount,40
GachaCustomSingle,1
MaxGachaCustomCorporation,5
GuildCreationCurrencyType,99
GuildCreationCurrencyValue,500
DefaultGuildEmblem,1
DefaultGuildJoinLevel,10
GuildRenameCurrencyType,99
GuildRenameCurrencyValue,500
MaxGuildJoinRequestCount,100
GuildJoinWaitingTime,5
DailyGuildMemberContributionLimit,100
GachaCorporationStartingDate,2020-01-01
OpenGachaCorporationCurrencyType,99
OpenGachaCorporationCurrencyValue,300
MaxFriendCount,30
MaxFriendReceiveCount,30
MaxFriendRequestCount,30
MaxFriendshipSendCount,30
MaxFriendshipReceiveCount,15
MaxBlacklistCount,30
EquipCorporationStatBonus,0.3
AttractiveNormalMaxLv,30
AttractiveOverspecMaxLv,40
AttractiveCounselTodayMaxCount,3
AttractiveMaterialCharacterRatio,3
AttractiveMaterialSquadRatio,3
AttractiveMaterialCorporationRatio,5
SetNicknameCurrencyType,99
SetNicknameCurrencyValue,500
AcquireCharacterPieceValue,1
ArenaStageStatIncreaseGroupId,50000
SpecialArenaStageStatIncreaseGroupId,50000
OutpostMonsterSpawnTime,8
OutpostMonsterDestroyTime,8.5
OutpostBuildingAreaCharacterMovingSpeed,2.5
OutpostBattleAreaCharacterMovingSpeed,6
OutPostSDCharacterMinMoveSpeed,1
OutPostSDCharacterMaxMoveSpeed,4
ArenaTodayMaxCount,3
ArenaTicketBuyCurrencyType,99
ArenaTicketBuyCurrencyValue,100
CampaignCameraSensitive,7
CampaignCameraBlendTime,2
CampaignCameraDragDamping,10
OutpostCameraSensitive,7
OutpostCameraBlendTime,0.4
OutpostCameraDragDamping,10
LostSectorSquadMoveSpeedRatio,150
LostSectorCameraSensitive,7
LostSectorCameraBlendTime,2
LostSectorCameraDragDamping,10
LostSectorFogRemoveRange,1200
LostSectorStartCamera,0.5
LostSectorRepairEventTime,2
LostSectorHackingEventTime,2
LostSectorTriggerCountMarkingTime,2
LostSectorTransportInteractiondelay,0.5
LostSectorMapModelYPosDefault,-8.01
TriggerCameraMoveTime,0.3
TriggerCameraStayTime,0.1
TriggerCameraReturnTime,0.2
TriggerDoorRetreatRange,5
IndicatorCameraBlendSpeed,500
LevelTriggerActivationDistanceRatio,65
PortalActivationDistanceRatio,1
AssistsquadCatMoveRange,3
AssistsquadCatRetreatRange,15
MaxMailViewCount,99
MaxSendMessagerCount,3
PriorityDefaultMessage,1
PriorityEventMessage,0
WeeklyStamina,2
DefaultMaxStamina,2
MaxDefaultTeamCount,5
MaxProfileTeamCount,1
MaxArenaDefenseTeamCount,1
MaxArenaOffenseTeamCount,5
MaxSpecialArenaDefenseTeamCount,3
MaxSpecialArenaOffenseTeamCount,3
MaxChampionArenaTeamCount,5
MaxTowerTeamCount,5
MaxLostSectorTeamCount,5
MaxAllOutpostEvent,5
MaxOutpostEventByBuildingTypeId,1
MaxNewDailyMessenger,15
MaxQueuingMessenger,2
SynchroDeviceSlotUnlockCurrencyType,99
SynchroDeviceSlotUnlockAmount,500
SynchroDeviceSlotWaitingTimeCurrencyType,99
SynchroDeviceSlotWaitingTimeAmount,1
SynchroDeviceMaxLv,0
SynchroDeviceSlotWaitingTime,240
OutpostFastCompCurrencyTime,20
CharacterPieceExpItemValue,10
AcquireCharacterMaterialValue,0
ArenaSpecialMatchRefreshCoolTimeSec,10
CharacterLevelResetCurrencyType,99
CharacterLevelResetAmount,10
ArenaSpecialBoxRewardLimitTimeSec,86400
ArenaSpecialBoxRewardLimitValue1,9999
ArenaSpecialBoxRewardItemType,Currency
ArenaSpecialBoxRewardItemID,5000
ArenaSBoxRewardNoticePer,50
IsConditionOverride,False
MaxShootingRangeTeamCount,1
MaxInterceptNormalTeamCount,5
MaxInterceptSpecialTeamCount,5
MaxInterceptAnomalousTeamCount,5
MaxSimulationRoomTeamCount,5
MaxStoryEventTeamCount,5
MaxChallengeModeEventTeamCount,5
MaxDailyEmergencyQuestCount,3
OffCustomGachaPopup,13
ScrollMovementSpeed,38
DragZoomSpeed,0.03
PlayFakeGachaDirection,3000
PlayFake2GachaDirection,7000
TodayOutpostFastBattleCount,11
QuickBattleRewardDelay,1.2
UserExpResourceID,9999
UserExpNameLocalkey,USER_EXP
UserExpDescriptionLocalkey,EXP_DESC
EquipmentExpSaveRatio,0.9
ListResetCountDown,5
MaxAccountCount,8000
UITutorialTextMargin,40
TutorialBuildingSlotNumber,11
TutorialSynchroDeviceBuildingSlotNumber,4
TutorialForcePlayEndGroupID,3000
ShopMaxBuyCountNumber,999
EmergencyEscapeTimeSec,30
SkipActiveDelayTimeSec,2
PassBuyLimiTime,0:2:0:0
CooperationPartyInviteCoolTime,60
SimulationRoomDialogueBattleHardToHarder,-1000
SimulationRoomDialogueBattleEasyToEasier,1000
JpSpecifiedTransactionActUrl,https://nikke-jp.com/lawts
JpFreePaidLawUrl,https://nikke-jp.com/lawzj
OutpostFastBattleRandomBoxInfo,9501001
MaxGuildJoinLevel,100
GuildJoinLevelBuffer,5
