id,monster_preset,ranking_group_id
1000001,10001,1
1000002,10002,2
1000003,10003,3
1000004,10004,4
1000005,10005,5
1000006,10006,6
1000007,10007,7
1000008,10008,8
1000009,10009,9
1000010,10010,10
1000011,10011,11
1000012,10012,12
1000013,10013,13
1000014,10014,14
1000015,10015,15
1000016,10016,16
1000017,10017,17
1000018,10018,18
1000019,10019,19
1000020,10019,19
1000021,10020,20
1000022,10021,21
1000023,10022,22
1000024,10023,23
1000025,10024,24
1000026,10025,25
1000027,10026,26
1000028,10027,27
1000029,10028,28
1000030,10029,29
