id,groupid,type,mission_type,target_count,mission_unlock_time,mission_unlock_clearstage,name_locale,condition_value/0/name,condition_value/0/value,condition_value/1/name,condition_value/1/value,reward_id/0/name,reward_id/0/value,reward_id/1/name,reward_id/1/value,reward_id/2/name,reward_id/2/value,reward_id/3/name,reward_id/3/value,unlock_build/0/name,unlock_build/0/value,unlock_build/1/name,unlock_build/1/value,unlock_build/2/name,unlock_build/2/value,unlock_build/3/name,unlock_build/3/value
101,1,Main,None,0,-820150272,0,Locale_Event:rebe_Quest_Name_01,,,,,reward_id,20101.0,,,,,,,unlock_build,102.0,,,,,,
102,1,Task,FacilityConstruct,1,-820150272,0,Locale_Event:rebe_Quest_Name_01_a,condition_value,103.0,,,,,,,,,,,,,,,,,,
103,1,Task,FacilityConstruct,1,-820150272,0,Locale_Event:rebe_Quest_Name_01_b,condition_value,101.0,,,,,,,,,,,,,,,,,,
201,2,Main,None,0,-820150272,0,Locale_Event:rebe_Quest_Name_02,,,,,reward_id,20102.0,reward_id,10200.0,,,,,unlock_build,105.0,,,,,,
202,2,Task,FacilityConstruct,2,-820150272,0,Locale_Event:rebe_Quest_Name_02_a,condition_value,102.0,,,,,,,,,,,,,,,,,,
203,2,Task,MaterialCollectAcc,10,-820150272,0,Locale_Event:rebe_Quest_Name_02_b,condition_value,1101.0,,,,,,,,,,,,,,,,,,
301,3,Main,None,0,-820150272,0,Locale_Event:rebe_Quest_Name_03,,,,,reward_id,2001.0,reward_id,2002.0,reward_id,20103.0,reward_id,10200.0,unlock_build,104.0,,,,,,
303,3,Task,FacilityConstruct,1,-820150272,0,Locale_Event:rebe_Quest_Name_03_a,condition_value,105.0,,,,,,,,,,,,,,,,,,
401,4,Main,None,0,-820150272,0,Locale_Event:rebe_Quest_Name_04,,,,,reward_id,20104.0,,,,,,,unlock_build,205.0,unlock_build,204.0,,,,
402,4,Task,FacilityConstruct,1,-820150272,0,Locale_Event:rebe_Quest_Name_04_a,condition_value,104.0,,,,,,,,,,,,,,,,,,
403,4,Task,SquadEdit,1,-820150272,0,Locale_Event:rebe_Quest_Name_04_b,condition_value,1.0,,,,,,,,,,,,,,,,,,
404,4,Task,DispatchCount,1,-820150272,0,Locale_Event:rebe_Quest_Name_04_c,condition_value,0.0,,,,,,,,,,,,,,,,,,
