id,order,name_localkey,description_localkey,mission_data_group_id,reward_id
1,1,surface_tutorial_mission_name_01,surface_tutorial_mission_description_01,1001,25070001
2,2,surface_tutorial_mission_name_02,surface_tutorial_mission_description_02,1002,25070001
3,3,surface_tutorial_mission_name_03,surface_tutorial_mission_description_03,1003,25070001
4,4,surface_tutorial_mission_name_04,surface_tutorial_mission_description_04,1004,25070001
5,5,surface_tutorial_mission_name_05,surface_tutorial_mission_description_05,1005,25070001
6,6,surface_tutorial_mission_name_06,surface_tutorial_mission_description_06,1006,25070001
7,7,surface_tutorial_mission_name_07,surface_tutorial_mission_description_07,1007,25070001
8,8,surface_tutorial_mission_name_08,surface_tutorial_mission_description_08,1008,25070001
9,9,surface_tutorial_mission_name_09,surface_tutorial_mission_description_09,1009,25070001
10,10,surface_tutorial_mission_name_10,surface_tutorial_mission_description_10,1010,25070001
11,11,surface_tutorial_mission_name_11,surface_tutorial_mission_description_11,1011,25070001
12,12,surface_tutorial_mission_name_12,surface_tutorial_mission_description_12,1012,25070001
13,13,surface_tutorial_mission_name_13,surface_tutorial_mission_description_13,1013,25070001
14,14,surface_tutorial_mission_name_14,surface_tutorial_mission_description_14,1014,25070001
15,15,surface_tutorial_mission_name_15,surface_tutorial_mission_description_15,1015,25070001
16,16,surface_tutorial_mission_name_16,surface_tutorial_mission_description_16,1016,25070001
17,17,surface_tutorial_mission_name_17,surface_tutorial_mission_description_17,1017,25070001
18,18,surface_tutorial_mission_name_18,surface_tutorial_mission_description_18,1018,25070001
19,19,surface_tutorial_mission_name_19,surface_tutorial_mission_description_19,1019,25070001
20,20,surface_tutorial_mission_name_20,surface_tutorial_mission_description_20,1020,25070001
21,21,surface_tutorial_mission_name_21,surface_tutorial_mission_description_21,1021,25070001
22,22,surface_tutorial_mission_name_22,surface_tutorial_mission_description_22,1022,25070001
23,23,surface_tutorial_mission_name_23,surface_tutorial_mission_description_23,1023,25070001
24,24,surface_tutorial_mission_name_24,surface_tutorial_mission_description_24,1024,25070001
