id,currency_type,currency_function_value_type,research_function_value
4010101,104000001,Percent,100
4010102,104000001,Percent,300
4010103,104000001,Percent,500
4010201,104000002,Percent,100
4010202,104000002,Percent,300
4010203,104000002,Percent,500
4010301,104000003,Percent,100
4010302,104000003,Percent,300
4010303,104000003,Percent,500
4010401,104000004,Percent,100
4010402,104000004,Percent,300
4010403,104000004,Percent,500
4020101,104000001,Integer,500
4020102,104000001,Integer,500
4020103,104000001,Integer,500
4020201,104000002,Integer,500
4020202,104000002,Integer,500
4020203,104000002,Integer,500
4020301,104000003,Integer,500
4020302,104000003,Integer,500
4020303,104000003,Integer,500
4020401,104000004,Integer,500
4020402,104000004,Integer,500
4020403,104000004,Integer,500
