id,option_group,order,option_type,name_localekey,icon_id
1,None,1,None,Locale_System:ITEM_CONSUME_COMBINATION_OPTION_CLASS,icn_module_01
11,CorporationType,1,ELYSION,Locale_System:ITEM_CONSUME_COMBINATION_OPTION_CORPORATION,icn_corp_01
12,CorporationType,2,MISSILIS,Locale_System:ITEM_CONSUME_COMBINATION_OPTION_CORPORATION,icn_corp_02
13,CorporationType,3,TETRA,Locale_System:ITEM_CONSUME_COMBINATION_OPTION_CORPORATION,icn_corp_03
14,CorporationType,4,PILGRIM,Locale_System:ITEM_CONSUME_COMBINATION_OPTION_CORPORATION,icn_corp_04
15,CorporationType,5,ABNORMAL,Locale_System:ITEM_CONSUME_COMBINATION_OPTION_CORPORATION,icn_corp_05
21,CharacterClassType,1,Attacker,Locale_System:ITEM_CONSUME_COMBINATION_OPTION_CLASS,icn_class_01_s
22,CharacterClassType,2,Defender,Locale_System:ITEM_CONSUME_COMBINATION_OPTION_CLASS,icn_class_02_s
23,CharacterClassType,3,Supporter,Locale_System:ITEM_CONSUME_COMBINATION_OPTION_CLASS,icn_class_03_s
31,ItemSubType,1,Module_A,Locale_System:ITEM_CONSUME_COMBINATION_OPTION_MODULE,icn_module_01
32,ItemSubType,2,Module_B,Locale_System:ITEM_CONSUME_COMBINATION_OPTION_MODULE,icn_module_02
33,ItemSubType,3,Module_C,Locale_System:ITEM_CONSUME_COMBINATION_OPTION_MODULE,icn_module_03
34,ItemSubType,4,Module_D,Locale_System:ITEM_CONSUME_COMBINATION_OPTION_MODULE,icn_module_04
