id,priority,condition_type,condition_value,description,reward_id,mail_key
19900,19900,EnterTournamentCount1,30,Locale_System:ARENA_CHAMPION_REWARD_19900_DESC,93079,ARENA_CHAMPION_REWARD_19900
19910,19910,EnterTournamentCount1,25,Locale_System:ARENA_CHAMPION_REWARD_19910_DESC,93078,ARENA_CHAMPION_REWARD_19910
19920,19920,EnterTournamentCount1,20,Locale_System:ARENA_CHAMPION_REWARD_19920_DESC,93077,ARENA_CHAMPION_REWARD_19920
19930,19930,EnterTournamentCount1,15,Locale_System:ARENA_CHAMPION_REWARD_19930_DESC,93076,ARENA_CHAMPION_REWARD_19930
19940,19940,EnterTournamentCount1,10,Locale_System:ARENA_CHAMPION_REWARD_19940_DESC,93075,ARENA_CHAMPION_REWARD_19940
19950,19950,EnterTournamentCount1,5,Locale_System:ARENA_CHAMPION_REWARD_19950_DESC,93074,ARENA_CHAMPION_REWARD_19950
19960,19960,EnterTournamentCount1,4,Locale_System:ARENA_CHAMPION_REWARD_19960_DESC,93073,ARENA_CHAMPION_REWARD_19960
19970,19970,EnterTournamentCount1,3,Locale_System:ARENA_CHAMPION_REWARD_19970_DESC,93072,ARENA_CHAMPION_REWARD_19970
19980,19980,EnterTournamentCount1,2,Locale_System:ARENA_CHAMPION_REWARD_19980_DESC,93071,ARENA_CHAMPION_REWARD_19980
19990,19990,EnterTournamentCount1,1,Locale_System:ARENA_CHAMPION_REWARD_19990_DESC,93070,ARENA_CHAMPION_REWARD_19990
29900,29900,EnterTournamentCount2,30,Locale_System:ARENA_CHAMPION_REWARD_29900_DESC,93069,ARENA_CHAMPION_REWARD_29900
29910,29910,EnterTournamentCount2,25,Locale_System:ARENA_CHAMPION_REWARD_29910_DESC,93068,ARENA_CHAMPION_REWARD_29910
29920,29920,EnterTournamentCount2,20,Locale_System:ARENA_CHAMPION_REWARD_29920_DESC,93067,ARENA_CHAMPION_REWARD_29920
29930,29930,EnterTournamentCount2,15,Locale_System:ARENA_CHAMPION_REWARD_29930_DESC,93066,ARENA_CHAMPION_REWARD_29930
29940,29940,EnterTournamentCount2,10,Locale_System:ARENA_CHAMPION_REWARD_29940_DESC,93065,ARENA_CHAMPION_REWARD_29940
29950,29950,EnterTournamentCount2,5,Locale_System:ARENA_CHAMPION_REWARD_29950_DESC,93064,ARENA_CHAMPION_REWARD_29950
29960,29960,EnterTournamentCount2,4,Locale_System:ARENA_CHAMPION_REWARD_29960_DESC,93063,ARENA_CHAMPION_REWARD_29960
29970,29970,EnterTournamentCount2,3,Locale_System:ARENA_CHAMPION_REWARD_29970_DESC,93062,ARENA_CHAMPION_REWARD_29970
29980,29980,EnterTournamentCount2,2,Locale_System:ARENA_CHAMPION_REWARD_29980_DESC,93061,ARENA_CHAMPION_REWARD_29980
29990,29990,EnterTournamentCount2,1,Locale_System:ARENA_CHAMPION_REWARD_29990_DESC,93060,ARENA_CHAMPION_REWARD_29990
39900,39900,EnterTournamentCount4,30,Locale_System:ARENA_CHAMPION_REWARD_39900_DESC,93059,ARENA_CHAMPION_REWARD_39900
39910,39910,EnterTournamentCount4,25,Locale_System:ARENA_CHAMPION_REWARD_39910_DESC,93058,ARENA_CHAMPION_REWARD_39910
39920,39920,EnterTournamentCount4,20,Locale_System:ARENA_CHAMPION_REWARD_39920_DESC,93057,ARENA_CHAMPION_REWARD_39920
39930,39930,EnterTournamentCount4,15,Locale_System:ARENA_CHAMPION_REWARD_39930_DESC,93056,ARENA_CHAMPION_REWARD_39930
39940,39940,EnterTournamentCount4,10,Locale_System:ARENA_CHAMPION_REWARD_39940_DESC,93055,ARENA_CHAMPION_REWARD_39940
39950,39950,EnterTournamentCount4,5,Locale_System:ARENA_CHAMPION_REWARD_39950_DESC,93054,ARENA_CHAMPION_REWARD_39950
39960,39960,EnterTournamentCount4,4,Locale_System:ARENA_CHAMPION_REWARD_39960_DESC,93053,ARENA_CHAMPION_REWARD_39960
39970,39970,EnterTournamentCount4,3,Locale_System:ARENA_CHAMPION_REWARD_39970_DESC,93052,ARENA_CHAMPION_REWARD_39970
39980,39980,EnterTournamentCount4,2,Locale_System:ARENA_CHAMPION_REWARD_39980_DESC,93051,ARENA_CHAMPION_REWARD_39980
39990,39990,EnterTournamentCount4,1,Locale_System:ARENA_CHAMPION_REWARD_39990_DESC,93050,ARENA_CHAMPION_REWARD_39990
49900,49900,EnterTournamentCount8,30,Locale_System:ARENA_CHAMPION_REWARD_49900_DESC,93049,ARENA_CHAMPION_REWARD_49900
49910,49910,EnterTournamentCount8,25,Locale_System:ARENA_CHAMPION_REWARD_49910_DESC,93048,ARENA_CHAMPION_REWARD_49910
49920,49920,EnterTournamentCount8,20,Locale_System:ARENA_CHAMPION_REWARD_49920_DESC,93047,ARENA_CHAMPION_REWARD_49920
49930,49930,EnterTournamentCount8,15,Locale_System:ARENA_CHAMPION_REWARD_49930_DESC,93046,ARENA_CHAMPION_REWARD_49930
49940,49940,EnterTournamentCount8,10,Locale_System:ARENA_CHAMPION_REWARD_49940_DESC,93045,ARENA_CHAMPION_REWARD_49940
49950,49950,EnterTournamentCount8,5,Locale_System:ARENA_CHAMPION_REWARD_49950_DESC,93044,ARENA_CHAMPION_REWARD_49950
49960,49960,EnterTournamentCount8,4,Locale_System:ARENA_CHAMPION_REWARD_49960_DESC,93043,ARENA_CHAMPION_REWARD_49960
49970,49970,EnterTournamentCount8,3,Locale_System:ARENA_CHAMPION_REWARD_49970_DESC,93042,ARENA_CHAMPION_REWARD_49970
49980,49980,EnterTournamentCount8,2,Locale_System:ARENA_CHAMPION_REWARD_49980_DESC,93041,ARENA_CHAMPION_REWARD_49980
49990,49990,EnterTournamentCount8,1,Locale_System:ARENA_CHAMPION_REWARD_49990_DESC,93040,ARENA_CHAMPION_REWARD_49990
59900,59900,EnterTournamentCount16,30,Locale_System:ARENA_CHAMPION_REWARD_59900_DESC,93039,ARENA_CHAMPION_REWARD_59900
59910,59910,EnterTournamentCount16,25,Locale_System:ARENA_CHAMPION_REWARD_59910_DESC,93038,ARENA_CHAMPION_REWARD_59910
59920,59920,EnterTournamentCount16,20,Locale_System:ARENA_CHAMPION_REWARD_59920_DESC,93037,ARENA_CHAMPION_REWARD_59920
59930,59930,EnterTournamentCount16,15,Locale_System:ARENA_CHAMPION_REWARD_59930_DESC,93036,ARENA_CHAMPION_REWARD_59930
59940,59940,EnterTournamentCount16,10,Locale_System:ARENA_CHAMPION_REWARD_59940_DESC,93035,ARENA_CHAMPION_REWARD_59940
59950,59950,EnterTournamentCount16,5,Locale_System:ARENA_CHAMPION_REWARD_59950_DESC,93034,ARENA_CHAMPION_REWARD_59950
59960,59960,EnterTournamentCount16,4,Locale_System:ARENA_CHAMPION_REWARD_59960_DESC,93033,ARENA_CHAMPION_REWARD_59960
59970,59970,EnterTournamentCount16,3,Locale_System:ARENA_CHAMPION_REWARD_59970_DESC,93032,ARENA_CHAMPION_REWARD_59970
59980,59980,EnterTournamentCount16,2,Locale_System:ARENA_CHAMPION_REWARD_59980_DESC,93031,ARENA_CHAMPION_REWARD_59980
59990,59990,EnterTournamentCount16,1,Locale_System:ARENA_CHAMPION_REWARD_59990_DESC,93030,ARENA_CHAMPION_REWARD_59990
69900,69900,EnterTournamentCount32,30,Locale_System:ARENA_CHAMPION_REWARD_69900_DESC,93029,ARENA_CHAMPION_REWARD_69900
