id,group_id,lv,level_hp,level_attack,level_defence,level_statdamageratio,level_energy_resist,level_metal_resist,level_bio_resist,level_projectile_hp,level_broken_hp
331250,331000,250,5800000000,48307,17211,250917,0,0,0,84690,100000000
331251,331000,251,5800000000,48523,17211,250917,0,0,0,85090,100000000
331252,331000,252,5800000000,48940,17211,251083,0,0,0,85487,100000000
331300,331000,300,5800000000,71370,17211,255250,0,0,0,140600,100000000
331350,331000,350,5800000000,99392,17211,272333,0,0,0,253925,100000000
331375,331000,375,5800000000,111339,17211,272500,0,0,0,287230,100000000
331400,331000,400,5800000000,122753,17211,275917,0,0,0,319137,100000000
331450,331000,450,5800000000,153973,17211,274167,0,0,0,406650,100000000
331451,331000,451,5800000000,154344,17211,274167,0,0,0,407670,100000000
332250,332000,250,5800000000,48307,21087,250917,0,0,0,84690,133736791
332251,332000,251,5800000000,48307,21087,250917,0,0,0,84690,133736791
332252,332000,252,5800000000,48307,21087,250917,0,0,0,84690,133736791
332300,332000,300,5800000000,71370,86057,255250,0,0,0,140600,226999303
332375,332000,375,5800000000,111339,86057,272500,0,0,0,287230,463732524
332400,332000,400,5800000000,122753,86057,275917,0,0,0,319137,515244559
332475,332000,475,5800000000,169099,102664,274167,0,0,0,448902,728678474
332550,332000,550,5800000000,230033,123532,274500,0,0,0,619830,1006132874
332551,332000,551,5800000000,230033,123532,274500,0,0,0,619830,1006132874
333250,333000,250,5861000000,48307,21087,250917,0,0,0,84690,350000000
333251,333000,251,5861000000,48523,21087,250917,0,0,0,85090,136631662
333252,333000,252,5861000000,48940,21087,251083,0,0,0,85487,137271348
333350,333000,350,5861000000,99392,86057,272333,0,0,0,253925,600000000
333400,333000,400,5861000000,122753,86057,275917,0,0,0,319137,515244559
333500,333000,500,5861000000,185346,86057,277583,0,0,0,494392,800000000
333550,333000,550,5861000000,230033,102664,274500,0,0,0,619830,1006132874
333650,333000,650,5861000000,326506,123532,288333,0,0,0,1041200,1100000000
333651,333000,651,5861000000,327020,123532,288333,0,0,0,1042865,1692821429
334250,334000,250,5394000000,19322,4217,498019,0,0,0,84690,111000000
334251,334000,251,5394000000,24261,4217,498019,0,0,0,85090,90000000
334252,334000,252,5394000000,32626,4217,498350,0,0,0,85487,90000000
334350,334000,350,5394000000,79513,4317,544449,0,0,0,253925,111000000
334400,334000,400,5394000000,122753,4317,551613,0,0,0,319137,111000000
334500,334000,500,5394000000,185346,4317,558942,0,0,0,494392,111000000
334550,334000,550,5394000000,230033,4417,552733,0,0,0,619830,111000000
334650,334000,650,5394000000,326506,4517,580588,0,0,0,1041200,111000000
334651,334000,651,5394000000,327020,4517,580588,0,0,0,1042865,90000000
335250,335000,250,5735000000,48307,4217,250917,0,0,0,84690,242000000
