id,type,mission_type,target_count,name_locale,reward_id,condition_value/0/name,condition_value/0/value,condition_value/1/name,condition_value/1/value
101,Achievement,FacilityConstruct,1,Locale_Event:rebe_Mission_name_01,8163045,condition_value,103.0,,
102,Achievement,FacilityConstruct,1,Locale_Event:rebe_Mission_name_02,8163046,condition_value,205.0,,
103,Achievement,FacilityConstruct,1,Locale_Event:rebe_Mission_name_04,8163047,condition_value,302.0,,
104,Achievement,FacilityConstruct,1,Locale_Event:rebe_Mission_name_05,8163048,condition_value,303.0,,
105,Achievement,FacilityConstruct,1,Locale_Event:rebe_Mission_name_07,8163049,condition_value,504.0,,
106,Achievement,FacilityConstruct,1,Locale_Event:rebe_Mission_name_03,8163063,condition_value,208.0,,
107,Achievement,FacilityConstruct,1,Locale_Event:rebe_Mission_name_06,8163064,condition_value,307.0,,
108,Achievement,UnitHire,1,Locale_Event:rebe_Mission_name_09,8163065,condition_value,9901.0,,
109,Achievement,UnitAssign,1,Locale_Event:rebe_Mission_name_08,8163066,condition_value,9901.0,condition_value,504.0
110,Achievement,UnitHire,10,Locale_Event:rebe_Mission_name_10,8163054,condition_value,0.0,,
111,Achievement,UnitHire,20,Locale_Event:rebe_Mission_name_11,8163055,condition_value,0.0,,
112,Achievement,UnitHire,30,Locale_Event:rebe_Mission_name_12,8163056,condition_value,0.0,,
113,Achievement,MaterialCollectAcc,500,Locale_Event:rebe_Mission_name_13,8163057,condition_value,1101.0,,
114,Achievement,MaterialCollectAcc,2000,Locale_Event:rebe_Mission_name_14,8163058,condition_value,1101.0,,
115,Achievement,MaterialCollectAcc,500,Locale_Event:rebe_Mission_name_15,8163059,condition_value,1102.0,,
116,Achievement,MaterialCollectAcc,1500,Locale_Event:rebe_Mission_name_16,8163060,condition_value,1102.0,,
117,Achievement,MaterialCollectAcc,500,Locale_Event:rebe_Mission_name_17,8163061,condition_value,1103.0,,
118,Achievement,MaterialCollectAcc,1000,Locale_Event:rebe_Mission_name_18,8163062,condition_value,1103.0,,
119,Achievement,SquadEdit,1,Locale_Event:rebe_Mission_name_19,8163052,condition_value,1.0,,
120,Achievement,SquadEdit,1,Locale_Event:rebe_Mission_name_20,8163050,condition_value,2.0,,
121,Achievement,SquadEdit,1,Locale_Event:rebe_Mission_name_21,8163051,condition_value,3.0,,
122,Achievement,SquadEdit,1,Locale_Event:rebe_Mission_name_22,8163053,condition_value,4.0,,
123,Achievement,DispatchCount,15,Locale_Event:rebe_Mission_name_23,8163067,condition_value,0.0,,
124,Achievement,DispatchCount,30,Locale_Event:rebe_Mission_name_24,8163068,condition_value,0.0,,
125,Achievement,DispatchCount,50,Locale_Event:rebe_Mission_name_25,8163069,condition_value,0.0,,
126,Achievement,ItemProduce,10,Locale_Event:rebe_Mission_name_26,8163070,condition_value,5001.0,,
127,Achievement,ItemProduce,10,Locale_Event:rebe_Mission_name_27,8163071,condition_value,5002.0,,
128,Achievement,ItemProduce,10,Locale_Event:rebe_Mission_name_28,8163072,condition_value,5003.0,,
129,Achievement,ItemProduce,10,Locale_Event:rebe_Mission_name_29,8163073,condition_value,5004.0,,
130,Achievement,ItemProduce,10,Locale_Event:rebe_Mission_name_30,8163074,condition_value,5005.0,,
9001,Daily,MinigameEnter,1,Locale_Event:rebe_Mission_daily_name_01,8163075,,,,
