id,manager_id,order,dialog_event_type,dialog_type,scenario_title_localkey,scenario_dialog_id,cutscene_image_for_ui,spawn_lost_item_id,heroine_album_id
snowfall_speech_mica_01,1001,1,Heroine,DialogScene,,snowfall_speech_mica_01,0,0,0
snowfall_speech_mica_02,1001,2,Heroine,DialogScene,,snowfall_speech_mica_02,0,0,0
snowfall_speech_mica_03,1001,3,Heroine,DialogScene,,snowfall_speech_mica_03,0,0,0
snowfall_speech_mica_04,1001,4,Heroine,DialogScene,,snowfall_speech_mica_04,0,0,0
snowfall_speech_mica_05,1001,5,Heroine,DialogScene,,snowfall_speech_mica_05,0,0,0
snowfall_speech_mica_06,1001,6,Heroine,DialogScene,,snowfall_speech_mica_06,0,0,0
snowfall_speech_mica_07,1001,7,Heroine,DialogScene,,snowfall_speech_mica_07,0,0,0
snowfall_speech_mica_08,1001,8,Heroine,DialogScene,,snowfall_speech_mica_08,0,0,0
snowfall_speech_mica_09,1001,9,Heroine,DialogScene,,snowfall_speech_mica_09,0,0,0
snowfall_speech_mica_10,1001,10,Heroine,DialogScene,,snowfall_speech_mica_10,0,0,0
snowfall_speech_mica_11,1001,11,Heroine,DialogScene,,snowfall_speech_mica_11,0,0,0
snowfall_speech_mica_12,1001,12,Heroine,DialogScene,,snowfall_speech_mica_12,0,0,0
snowfall_speech_mica_13,1001,13,Heroine,DialogScene,,snowfall_speech_mica_13,0,0,0
snowfall_speech_mica_14,1001,14,Heroine,DialogScene,,snowfall_speech_mica_14,0,0,0
snowfall_speech_mica_15,1001,15,Heroine,DialogScene,,snowfall_speech_mica_15,0,0,0
snowfall_speech_mica_16,1001,16,Heroine,DialogScene,,snowfall_speech_mica_16,0,0,0
snowfall_speech_mica_17,1001,17,Heroine,DialogScene,,snowfall_speech_mica_17,0,0,0
snowfall_speech_mica_18,1001,18,Heroine,DialogScene,,snowfall_speech_mica_18,0,0,0
snowfall_speech_mica_19,1001,19,Heroine,DialogScene,,snowfall_speech_mica_19,0,0,0
snowfall_speech_mica_20,1001,20,Heroine,DialogScene,,snowfall_speech_mica_20,0,0,0
snowfall_speech_mica_21,1001,21,Heroine,DialogScene,,snowfall_speech_mica_21,0,0,0
snowfall_speech_mica_22,1001,22,Heroine,DialogScene,,snowfall_speech_mica_22,0,0,0
snowfall_speech_mica_23,1001,23,Heroine,DialogScene,,snowfall_speech_mica_23,0,0,0
snowfall_speech_mica_24,1001,24,Heroine,DialogScene,,snowfall_speech_mica_24,0,0,0
snowfall_speech_mica_25,1001,25,Heroine,DialogScene,,snowfall_speech_mica_25,0,0,0
snowfall_speech_mica_26,1001,26,Heroine,DialogScene,,snowfall_speech_mica_26,0,0,0
snowfall_speech_mica_27,1001,27,Heroine,DialogScene,,snowfall_speech_mica_27,0,0,0
snowfall_speech_mica_28,1001,28,Heroine,DialogScene,,snowfall_speech_mica_28,0,0,0
snowfall_speech_mica_29,1001,29,Heroine,DialogScene,,snowfall_speech_mica_29,0,0,0
snowfall_speech_mica_30,1001,30,Heroine,DialogScene,,snowfall_speech_mica_30,0,0,0
snowfall_speech_mica_31,1001,31,Heroine,DialogScene,,snowfall_speech_mica_31,0,0,0
snowfall_speech_mica_32,1001,32,Heroine,DialogScene,,snowfall_speech_mica_32,0,0,0
snowfall_speech_emma_01,1001,1,Heroine,DialogScene,,snowfall_speech_emma_01,0,0,0
snowfall_speech_emma_02,1001,2,Heroine,DialogScene,,snowfall_speech_emma_02,0,0,0
snowfall_speech_emma_03,1001,3,Heroine,DialogScene,,snowfall_speech_emma_03,0,0,0
snowfall_speech_emma_04,1001,4,Heroine,DialogScene,,snowfall_speech_emma_04,0,0,0
snowfall_speech_emma_05,1001,5,Heroine,DialogScene,,snowfall_speech_emma_05,0,0,0
snowfall_speech_emma_07,1001,6,Heroine,DialogScene,,snowfall_speech_emma_07,0,0,0
snowfall_speech_emma_08,1001,7,Heroine,DialogScene,,snowfall_speech_emma_08,0,0,0
snowfall_speech_emma_09,1001,8,Heroine,DialogScene,,snowfall_speech_emma_09,0,0,0
snowfall_speech_emma_10,1001,9,Heroine,DialogScene,,snowfall_speech_emma_10,0,0,0
snowfall_speech_emma_11,1001,10,Heroine,DialogScene,,snowfall_speech_emma_11,0,0,0
snowfall_speech_emma_12,1001,11,Heroine,DialogScene,,snowfall_speech_emma_12,0,0,0
snowfall_speech_emma_13,1001,12,Heroine,DialogScene,,snowfall_speech_emma_13,0,0,0
snowfall_speech_emma_14,1001,13,Heroine,DialogScene,,snowfall_speech_emma_14,0,0,0
snowfall_speech_emma_15,1001,14,Heroine,DialogScene,,snowfall_speech_emma_15,0,0,0
