id,group_id,manager_id,order,cutscene_resource,cutscene_title_localkey,unlock_condition_dialog_event
10010301,100103,1001,8,EventScene_snowfalloasis_01_1,Locale_Event:EventScene_snowfalloasis_01_1,snowfall_episode_noirblanc_05
10010302,100103,1001,9,EventScene_snowfalloasis_01_2,Locale_Event:EventScene_snowfalloasis_01_2,snowfall_episode_noirblanc_05
10010303,100103,1001,18,EventScene_snowfalloasis_02_1,Locale_Event:EventScene_snowfalloasis_02_1,snowfall_epilogue
10010304,100103,1001,19,EventScene_snowfalloasis_02_3,Locale_Event:EventScene_snowfalloasis_02_3,snowfall_epilogue
10010305,100103,1001,13,EventScene_snowfalloasis_03_1,Locale_Event:EventScene_snowfalloasis_03_1,snowfall_global_08
10010306,100103,1001,14,EventScene_snowfalloasis_03_2,Locale_Event:EventScene_snowfalloasis_03_2,snowfall_global_08
10010307,100103,1001,1,EventScene_snowfalloasis_04_1,Locale_Event:EventScene_snowfalloasis_04_1,snowfall_episode_mica_07
10010308,100103,1001,2,EventScene_snowfalloasis_04_2,Locale_Event:EventScene_snowfalloasis_04_2,snowfall_episode_mica_07
10010309,100103,1001,3,EventScene_snowfalloasis_04_3,Locale_Event:EventScene_snowfalloasis_04_3,snowfall_episode_mica_07
10010310,100103,1001,4,EventScene_snowfalloasis_05_1,Locale_Event:EventScene_snowfalloasis_05_1,snowfall_episode_emma_07
10010311,100103,1001,5,EventScene_snowfalloasis_05_2,Locale_Event:EventScene_snowfalloasis_05_2,snowfall_episode_emma_07
10010312,100103,1001,6,EventScene_snowfalloasis_06_1,Locale_Event:EventScene_snowfalloasis_06_1,snowfall_episode_ludmilla_07
10010313,100103,1001,7,EventScene_snowfalloasis_06_2,Locale_Event:EventScene_snowfalloasis_06_2,snowfall_episode_ludmilla_07
10010314,100103,1001,20,EventScene_snowfalloasis_07,Locale_Event:EventScene_snowfalloasis_07,snowfall_epilogue
10010315,100103,1001,21,EventScene_snowfalloasis_08,Locale_Event:EventScene_snowfalloasis_08,snowfall_epilogue
10010316,100103,1001,10,EventScene_snowfalloasis_09,Locale_Event:EventScene_snowfalloasis_09,snowfall_global_03
10010317,100103,1001,11,EventScene_snowfalloasis_10,Locale_Event:EventScene_snowfalloasis_10,snowfall_global_04
10010318,100103,1001,12,EventScene_snowfalloasis_11,Locale_Event:EventScene_snowfalloasis_11,snowfall_global_06
10010319,100103,1001,15,EventScene_snowfalloasis_12,Locale_Event:EventScene_snowfalloasis_12,snowfall_global_09
10010320,100103,1001,16,EventScene_snowfalloasis_13,Locale_Event:EventScene_snowfalloasis_13,snowfall_global_12
10010321,100103,1001,17,EventScene_snowfalloasis_14,Locale_Event:EventScene_snowfalloasis_14,snowfall_global_14
