id,resource_id,monster_scale,iscollide,col_type,grade,behavior_tree,monsteraction_group_id,stat_mvspd,stat_hp,stat_atk,stat_def,stat_projspd,stat_projsize,stat_coldmg,randomdrop_group_id,randomdrop_amount,drop_radius,deathaction_group_id,spawneffect_resource_id,hiteffect_resource_id,deatheffect_resource_id,resistance_attract,resistance_knockback,resistance_paralysis,drop_item/0/drop_item_id,drop_item/0/drop_item_amount,drop_item/1/drop_item_id,drop_item/1/drop_item_amount,drop_item/2/drop_item_id,drop_item/2/drop_item_amount
1,NKS_monster_bma004,0,True,Fly,Normal,,1,0,20,1,1,1,1,6,2,2,1,4,NKS_fx_monster_spawn_01,NKS_fx_monster_hit_01,NKS_fx_common_explosion_01,False,False,False,100101,1,0,0,0,0
2,NKS_monster_eta001,0,True,Fly,Normal,,2,0,20,2,2,1,1,6,2,2,1,0,NKS_fx_monster_spawn_01,NKS_fx_monster_hit_01,NKS_fx_common_explosion_01,False,False,False,100101,1,0,0,0,0
3,NKS_monster_mmg005,0,True,Ground,Normal,,8,0,30,2,2,1,1,6,2,2,1,0,NKS_fx_monster_spawn_01,NKS_fx_monster_hit_01,NKS_fx_common_explosion_01,False,False,False,100101,1,0,0,0,0
4,NKS_monster_emg003,0,True,Ground,Normal,,9,0,30,2,2,1,1,6,2,2,1,0,NKS_fx_monster_spawn_01,NKS_fx_monster_hit_01,NKS_fx_common_explosion_01,False,False,False,100101,1,0,0,0,0
5,NKS_monster_eea003,0,True,Fly,Normal,,1,0,40,2,2,1,1,6,2,2,1,0,NKS_fx_monster_spawn_02,NKS_fx_monster_hit_01,NKS_fx_common_explosion_02,False,False,False,100101,2,0,0,0,0
6,NKS_monster_beg006,0,True,Ground,Normal,,3,0,40,2,8,1,1,6,2,2,1,0,NKS_fx_monster_spawn_02,NKS_fx_monster_hit_01,NKS_fx_common_explosion_02,False,False,False,100101,5,0,0,0,0
7,NKS_monster_bca002,0,True,Fly,Normal,,5,0,20,2,2,1,1,6,2,2,1,0,NKS_fx_monster_spawn_02,NKS_fx_monster_hit_01,NKS_fx_common_explosion_02,False,False,False,100101,1,0,0,0,0
8,NKS_monster_ecg003,0,True,Ground,Normal,,7,0,20,2,2,1,1,6,2,2,1,0,NKS_fx_monster_spawn_02,NKS_fx_monster_hit_01,NKS_fx_common_explosion_02,False,False,False,100101,1,0,0,0,0
9,boss_iceland,0,False,Ground,Boss,NKSmini_BT_boss01,0,0,15000,4,10,1,1,8,2,2,1,0,NKS_fx_monster_boss_spawn_01,NKS_fx_monster_hit_02,NKS_fx_boss_explosion_01,True,True,True,100101,15,100801,0,9,1
10,boss_armybase,0,False,Ground,Boss,NKSmini_BT_boss02,0,0,15000,4,10,1,1,8,2,2,1,0,NKS_fx_monster_boss_spawn_01,NKS_fx_monster_hit_02,NKS_fx_boss_explosion_01,True,True,True,100101,15,100801,0,9,1
11,boss_desert,0,False,Ground,Boss,NKSmini_BT_boss03,0,-1717986918,45000,8,10,1,1,8,2,2,1,0,NKS_fx_monster_boss_spawn_01,NKS_fx_monster_hit_02,NKS_fx_boss_explosion_01,True,True,True,100101,15,100801,0,9,1
