id,assembly_type,icon_id,bg_deco_id,title_locale_key,bg_color_rgb,title_stroke_color_rgb,character_name_code
1,Default,,,Locale_System:USERTITLE_ASSEMBLY_DEFAULTTITLE,0,0,0
11,Icon,icn_usertitle_infracorelv_20,icn_usertitle_infracorelv_20,Locale_System:USERTITLE_ASSEMBLY_INFRACORELV_20,001dce,001dce,0
12,Icon,icn_usertitle_userlv_300,icn_usertitle_userlv_300,Locale_System:USERTITLE_ASSEMBLY_USERLV_300,0072ff,0072ff,0
13,Icon,icn_usertitle_opensyncrodevice,icn_usertitle_opensyncrodevice,Locale_System:USERTITLE_ASSEMBLY_OPENSYNCRODEVICE,ff6c00,ff6c00,0
14,Icon,icn_usertitle_clearchapter_25,icn_usertitle_clearchapter_25,Locale_System:USERTITLE_ASSEMBLY_CLEARCHAPTER_25,d90000,d90000,0
15,Icon,icn_usertitle_maxattractivetotalcount,icn_usertitle_maxattractivetotalcount,Locale_System:USERTITLE_ASSEMBLY_MAXATTRACTIVETOTALCOUNT,ff8400,ff8400,0
16,Icon,icn_usertitle_outpostscenario,icn_usertitle_outpostscenario,Locale_System:USERTITLE_ASSEMBLY_OUTPOSTSCENARIO,0096ff,0096ff,0
17,Icon,icn_usertitle_attractivescenario,icn_usertitle_attractivescenario,Locale_System:USERTITLE_ASSEMBLY_ATTRACTIVESCENARIO,0096ff,0096ff,0
18,Icon,icn_usertitle_sendfriendpointcount,icn_usertitle_sendfriendpointcount,Locale_System:USERTITLE_ASSEMBLY_SENDFRIENDPOINTCOUNT,ff3345,ff3345,0
19,Icon,icn_usertitle_recycleroom,icn_usertitle_recycleroom,Locale_System:USERTITLE_ASSEMBLY_RECYCLEROOM_CLASS,018004,018004,0
20,Icon,icn_usertitle_recycleroom,icn_usertitle_recycleroom,Locale_System:USERTITLE_ASSEMBLY_RECYCLEROOM_CORP,d90303,d90303,0
21,Icon,icn_usertitle_rookiearenaplaycount,icn_usertitle_rookiearenaplaycount,Locale_System:USERTITLE_ASSEMBLY_ROOKIEARENAPLAYCOUNT,2d4bff,2d4bff,0
22,Icon,icn_usertitle_overloadtotalcount,icn_usertitle_overloadtotalcount,Locale_System:USERTITLE_ASSEMBLY_OVERLOADTOTALCOUNT,ee0054,ee0054,0
23,Icon,icn_usertitle_harmonycube,icn_usertitle_harmonycube,Locale_System:USERTITLE_ASSEMBLY_LOSTSECTORPERFECTCLEARCOUNT,0096ff,0096ff,0
24,Icon,icn_usertitle_towercleartotalcount,icn_usertitle_towercleartotalcount,Locale_System:USERTITLE_ASSEMBLY_TOWERCLEARTOTALCOUNT,060606,060606,0
25,Icon,icn_usertitle_realkindness,icn_usertitle_realkindness,Locale_System:USERTITLE_ASSEMBLY_REALKINDNESS,5400ff,5400ff,0
1007,Character,si_c040_00_s,si_c040_00_s,Locale_System:USERTITLE_ASSEMBLY_NIKKE_1007,0,0,1007
1010,Character,si_c100_00_s,si_c100_00_s,Locale_System:USERTITLE_ASSEMBLY_NIKKE_1010,0,0,1010
1012,Character,si_c282_00_s,si_c282_00_s,Locale_System:USERTITLE_ASSEMBLY_NIKKE_1012,0,0,1012
1020,Character,si_c111_00_s,si_c111_00_s,Locale_System:USERTITLE_ASSEMBLY_NIKKE_1020,0,0,1020
1021,Character,si_c281_00_s,si_c281_00_s,Locale_System:USERTITLE_ASSEMBLY_NIKKE_1021,0,0,1021
1022,Character,si_c112_00_s,si_c112_00_s,Locale_System:USERTITLE_ASSEMBLY_NIKKE_1022,0,0,1022
