id,manager_id,event_story_id,stage_type,stage_order,stage_name_localkey,stage_short_name_localkey,stage_description_localkey,stage_info_image,is_event_story_stage,event_story_stage_locked_alert_message,open_condition_event_story_stage,open_condition_archive_event_story_stage,open_condition_event_story_stage_locale,open_condition_td_stage,open_condition_time,tower_defense_stage_map_prefab,wave_data_group_id,defense_point,start_gold,max_hero_slot,hero_slot_open_count,stage_clear_condition_type,stage_clear_condition_value,stage_first_clear_reward,stage_first_clear_upgrade_currency_reward,enter_scenario,exit_scenario,stage_select_tutorial_id
100101,1001,4005,Scenario,1,Locale_Event:td_fortheking_stage_name_1,Locale_Event:td_fortheking_stage_short_name_1,Locale_Event:td_fortheking_stage_description_1,ibg_td_fortheking_grassland_001,True,Locale_Event:td_event_stage_locked_alert_01,104510105,104510105,Locale_Event:td_event_stage_condition_alert_01,0,1206140928,tdbg_fortheking_grassland_001,1001101,30,100,1,1,BossKill,0,8130069,3,,event_lastkingdom1_b01_e,10010101
100102,1001,4005,Normal,2,Locale_Event:td_fortheking_stage_name_1-1,Locale_Event:td_fortheking_stage_short_name_1-1,Locale_Event:td_fortheking_stage_description_1-1,ibg_td_fortheking_grassland_001_01,False,,0,0,,100101,1206140928,tdbg_fortheking_grassland_001_01,1001102,20,200,1,1,BossKill,0,8130070,3,,,0
100103,1001,4005,Normal,3,Locale_Event:td_fortheking_stage_name_1-2,Locale_Event:td_fortheking_stage_short_name_1-2,Locale_Event:td_fortheking_stage_description_1-2,ibg_td_fortheking_grassland_001_02,False,,0,0,,100102,1206140928,tdbg_fortheking_grassland_001_02,1001103,20,250,2,1,BossKill,0,8130071,3,,,0
100104,1001,4005,Scenario,4,Locale_Event:td_fortheking_stage_name_2,Locale_Event:td_fortheking_stage_short_name_2,Locale_Event:td_fortheking_stage_description_2,ibg_td_fortheking_grassland_002,True,Locale_Event:td_event_stage_locked_alert_02,104510107,104510107,Locale_Event:td_event_stage_condition_alert_02,100101,1206140928,tdbg_fortheking_grassland_002,1001104,30,200,2,1,BossKill,0,8130072,3,event_lastkingdom1_b02_s,event_lastkingdom1_b02_e,0
100105,1001,4005,Normal,5,Locale_Event:td_fortheking_stage_name_2-1,Locale_Event:td_fortheking_stage_short_name_2-1,Locale_Event:td_fortheking_stage_description_2-1,ibg_td_fortheking_grassland_002_01,False,,0,0,,100104,1206140928,tdbg_fortheking_grassland_002_01,1001105,20,300,2,1,BossKill,0,8130073,3,,,0
100106,1001,4005,Normal,6,Locale_Event:td_fortheking_stage_name_2-2,Locale_Event:td_fortheking_stage_short_name_2-2,Locale_Event:td_fortheking_stage_description_2-2,ibg_td_fortheking_grassland_002_02,False,,0,0,,100105,1206140928,tdbg_fortheking_grassland_002_02,1001106,20,350,2,1,BossKill,0,8130074,3,,,0
100107,1001,4005,Scenario,7,Locale_Event:td_fortheking_stage_name_3,Locale_Event:td_fortheking_stage_short_name_3,Locale_Event:td_fortheking_stage_description_3,ibg_td_fortheking_grassland_003,True,Locale_Event:td_event_stage_locked_alert_03,104510114,104510114,Locale_Event:td_event_stage_condition_alert_03,100104,1206140928,tdbg_fortheking_grassland_003,1001107,30,250,2,1,BossKill,0,8130075,3,event_lastkingdom1_b03_s,event_lastkingdom1_b03_e,0
100108,1001,4005,Normal,8,Locale_Event:td_fortheking_stage_name_3-1,Locale_Event:td_fortheking_stage_short_name_3-1,Locale_Event:td_fortheking_stage_description_3-1,ibg_td_fortheking_grassland_003_01,False,,0,0,,100107,1206140928,tdbg_fortheking_grassland_003_01,1001108,20,400,2,1,BossKill,0,8130076,3,,,0
100109,1001,4005,Normal,9,Locale_Event:td_fortheking_stage_name_3-2,Locale_Event:td_fortheking_stage_short_name_3-2,Locale_Event:td_fortheking_stage_description_3-2,ibg_td_fortheking_grassland_003_02,False,,0,0,,100108,1206140928,tdbg_fortheking_grassland_003_02,1001109,20,450,3,1,BossKill,0,8130077,3,,,0
100110,1001,4005,Scenario,10,Locale_Event:td_fortheking_stage_name_4,Locale_Event:td_fortheking_stage_short_name_4,Locale_Event:td_fortheking_stage_description_4,ibg_td_fortheking_grassland_004,True,Locale_Event:td_event_stage_locked_alert_04,104610101,104610101,Locale_Event:td_event_stage_condition_alert_04,100107,1206140928,tdbg_fortheking_grassland_004,1001110,30,500,3,1,BossKill,0,8130078,3,event_lastkingdom2_b01_s,event_lastkingdom2_b01_e,0
100111,1001,4005,Normal,11,Locale_Event:td_fortheking_stage_name_4-1,Locale_Event:td_fortheking_stage_short_name_4-1,Locale_Event:td_fortheking_stage_description_4-1,ibg_td_fortheking_grassland_004_01,False,,0,0,,100110,1206140928,tdbg_fortheking_grassland_004_01,1001111,20,600,3,1,BossKill,0,8130079,3,,,0
100112,1001,4005,Normal,12,Locale_Event:td_fortheking_stage_name_4-2,Locale_Event:td_fortheking_stage_short_name_4-2,Locale_Event:td_fortheking_stage_description_4-2,ibg_td_fortheking_grassland_004_02,False,,0,0,,100111,1206140928,tdbg_fortheking_grassland_004_02,1001112,20,650,3,1,BossKill,0,8130080,3,,,0
100113,1001,4005,Scenario,13,Locale_Event:td_fortheking_stage_name_5,Locale_Event:td_fortheking_stage_short_name_5,Locale_Event:td_fortheking_stage_description_5,ibg_td_fortheking_grassland_005,True,Locale_Event:td_event_stage_locked_alert_05,104610110,104610110,Locale_Event:td_event_stage_condition_alert_05,100110,1206140928,tdbg_fortheking_grassland_005,1001113,30,600,3,1,BossKill,0,8130081,3,event_lastkingdom2_b02_s,event_lastkingdom2_b02_e,0
100114,1001,4005,Normal,14,Locale_Event:td_fortheking_stage_name_5-1,Locale_Event:td_fortheking_stage_short_name_5-1,Locale_Event:td_fortheking_stage_description_5-1,ibg_td_fortheking_grassland_005_01,False,,0,0,,100113,1206140928,tdbg_fortheking_grassland_005_01,1001114,20,700,3,1,BossKill,0,8130082,3,,,0
