id,group_id,skin_group_id,skin_group_localkey,name_localkey,description_localkey,building_sprite_resource_id,building_symbol_resource_id,building_resource_id,event_id
110101,10101,1000,Locale_Outpost:1000_skin_group,Locale_Outpost:outpost_building_name_observationpost,Locale_Outpost:1000_10100_description,1000_observationpost_01,structure_1000_1201,opobj_observationpost_01,
110201,10201,1000,Locale_Outpost:1000_skin_group,Locale_Outpost:outpost_building_name_policestation,Locale_Outpost:1000_10200_description,1000_policestation_01,icn_structure_police,opobj_policestation_01,
110301,10301,1000,Locale_Outpost:1000_skin_group,Locale_Outpost:outpost_building_name_hotel,Locale_Outpost:1000_10300_description,1000_hotel_01,structure_1000_1101,opobj_hotel_01,
110401,10401,1000,Locale_Outpost:1000_skin_group,Locale_Outpost:outpost_building_name_maidcaffe,Locale_Outpost:1000_10400_description,1000_maidcaffe_01,icn_structure_maidcafe,opobj_maidcaffe_01,
110501,10501,1000,Locale_Outpost:1000_skin_group,Locale_Outpost:outpost_building_name_toyshop,Locale_Outpost:1000_10500_description,1000_toyshop_01,icn_structure_trainstation,opobj_toyshop_01,
110601,10601,1000,Locale_Outpost:1000_skin_group,Locale_Outpost:outpost_building_name_trainstation,Locale_Outpost:1000_10600_description,1000_trainstation_01,icn_structure_academy,opobj_trainstation_01,
110701,10701,1000,Locale_Outpost:1000_skin_group,Locale_Outpost:outpost_building_name_workshop,Locale_Outpost:1000_10700_description,1000_workshop_01,structure_1000_1301,opobj_workshop_01,
110801,10801,1000,Locale_Outpost:1000_skin_group,Locale_Outpost:outpost_building_name_armory,Locale_Outpost:1000_10800_description,1000_armory_01,icn_structure_armory,opobj_armory_01,
110901,10901,1000,Locale_Outpost:1000_skin_group,Locale_Outpost:outpost_building_name_powerplant,Locale_Outpost:1000_10900_description,1000_PowerPlant_01,icn_structure_academy,opobj_PowerPlant_01,
111001,11001,1000,Locale_Outpost:1000_skin_group,Locale_Outpost:outpost_building_name_modernbar,Locale_Outpost:1000_11000_description,1000_modernbar_01,icn_structure_modernbar,opobj_modernbar_01,
111101,11101,1000,Locale_Outpost:1000_skin_group,Locale_Outpost:outpost_building_name_library,Locale_Outpost:1000_11100_description,1000_Library_01,icn_structure_library,opobj_Library_01,
111201,11201,1000,Locale_Outpost:1000_skin_group,Locale_Outpost:outpost_building_name_hospital,Locale_Outpost:1000_11200_description,1000_hospital_01,icn_structure_academy,opobj_hospital_01,
111301,11301,1000,Locale_Outpost:1000_skin_group,Locale_Outpost:outpost_building_name_caffe,Locale_Outpost:1000_11300_description,1000_cafe_01,icn_structure_cafe,opobj_caffe_01,
111401,11401,1000,Locale_Outpost:1000_skin_group,Locale_Outpost:outpost_building_name_theater,Locale_Outpost:1000_11400_description,1000_Theater_01,icn_structure_theater,opobj_Theater_01,
111501,11501,1000,Locale_Outpost:1000_skin_group,Locale_Outpost:outpost_building_name_mysteryclub,Locale_Outpost:1000_11500_description,1000_mysteryclub_01,icn_structure_academy,opobj_mysteryclub_01,
111601,11601,1000,Locale_Outpost:1000_skin_group,Locale_Outpost:outpost_building_name_court,Locale_Outpost:1000_11600_description,1000_court_01,icn_structure_court,opobj_court_01,
111701,11701,1000,Locale_Outpost:1000_skin_group,Locale_Outpost:outpost_building_name_church,Locale_Outpost:1000_11700_description,1000_church_01,icn_structure_academy,opobj_church_01,
111801,11801,1000,Locale_Outpost:1000_skin_group,Locale_Outpost:outpost_building_name_clothesstore,Locale_Outpost:1000_11800_description,1000_clothesstore_01,icn_structure_clothesstore,opobj_clothesstore_01,
