id,monster_type,monster_resource,monster_name_locale,monster_atk,monster_hp,monster_shield_gauge,balance_gauge,monster_recovery_shield_gauge_time,monster_bt,phase_01_bgm,phase_02_bgm,start_distance_with_character,groggy_time,down_time,retribution_start_distance,retribution_resource,retribution_resource_with_skill,retribution_damage,retribution_decrease_shield_gauge,retribution_down_time,finish_resource,blink_character_location/0/name,blink_character_location/0/value,blink_character_location/1/name,blink_character_location/1/value,useskilldata/0/skill_id,useskilldata/1/skill_id,useskilldata/10/skill_id,useskilldata/11/skill_id,useskilldata/12/skill_id,useskilldata/13/skill_id,useskilldata/14/skill_id,useskilldata/15/skill_id,useskilldata/16/skill_id,useskilldata/17/skill_id,useskilldata/18/skill_id,useskilldata/19/skill_id,useskilldata/2/skill_id,useskilldata/3/skill_id,useskilldata/4/skill_id,useskilldata/5/skill_id,useskilldata/6/skill_id,useskilldata/7/skill_id,useskilldata/8/skill_id,useskilldata/9/skill_id
1,Gigas,Sb_Gigas,Locale_Event:sb_monster_gigas,50,15000,100,6,3000,bt_sb_gigas,collab_bgm_sb_boss_gigas_phase1,,1500,300,300,4,1,2,2000,50,300,3,blink_character_location,0,blink_character_location,0,1001,1202,1011,1102,1103,1104,1105,1109,1009,1109,0,0,1003,1004,1005,1006,1007,1208,1209,1110
2,Gigas,Sb_Gigas,Locale_Event:sb_monster_gigas,120,30000,120,8,3000,bt_sb_gigas,collab_bgm_sb_boss_gigas_phase1,,1500,300,300,4,1,2,3000,50,300,3,blink_character_location,0,blink_character_location,0,1001,1002,1011,1102,1103,1104,1105,1109,1012,1112,0,0,1003,1004,1005,1006,1007,1008,1009,1010
3,Gigas,Sb_Gigas,Locale_Event:sb_monster_gigas,150,120000,140,10,3000,bt_sb_gigas,collab_bgm_sb_boss_gigas_phase1,,1500,300,300,4,1,2,5000,50,300,3,blink_character_location,0,blink_character_location,0,1001,1002,1011,1102,1103,1104,1105,1109,1012,1112,0,0,1003,1004,1005,1006,1007,1008,1009,1010
4,Abaddon,Sb_Opener,Locale_Event:sb_monster_abaddon,50,15000,100,6,3000,bt_sb_abaddon,collab_bgm_sb_boss_abaddon_phase1,collab_bgm_sb_boss_abaddon_phase2,1500,300,300,4,4,5,2000,50,300,6,blink_character_location,0,blink_character_location,0,2001,2002,2111,2212,2013,2014,0,0,0,0,0,0,2003,2204,2105,2006,2007,2108,2009,2010
5,Abaddon,Sb_Opener,Locale_Event:sb_monster_abaddon,120,30000,120,8,3000,bt_sb_abaddon,collab_bgm_sb_boss_abaddon_phase1,collab_bgm_sb_boss_abaddon_phase2,1500,300,300,4,4,5,3000,50,300,6,blink_character_location,0,blink_character_location,0,2001,2002,2011,2012,2013,2014,0,0,0,0,0,0,2003,2004,2005,2006,2007,2008,2009,2010
6,Abaddon,Sb_Opener,Locale_Event:sb_monster_abaddon,150,120000,140,10,3000,bt_sb_abaddon,collab_bgm_sb_boss_abaddon_phase1,collab_bgm_sb_boss_abaddon_phase2,1500,300,300,4,4,5,5000,50,300,6,blink_character_location,0,blink_character_location,0,2001,2002,2011,2012,2013,2014,0,0,0,0,0,0,2003,2004,2005,2006,2007,2008,2009,2010
7,Behemoth,Sb_Behemoth,Locale_Event:sb_monster_behemoth,60,25000,100,8,3000,bt_sb_behemoth,collab_bgm_sb_boss_behemoth_phase1,,1500,300,300,4,10,11,4000,50,300,12,blink_character_location,0,blink_character_location,0,4001,4102,4011,4112,4013,4114,4015,0,0,0,0,0,4003,4004,4105,4006,4107,4008,4009,4010
8,Behemoth,Sb_Behemoth,Locale_Event:sb_monster_behemoth,150,50000,120,10,3000,bt_sb_behemoth,collab_bgm_sb_boss_behemoth_phase1,,1500,300,300,4,10,11,5000,50,300,12,blink_character_location,0,blink_character_location,0,4001,4002,4011,4012,4013,4014,4015,0,0,0,0,0,4003,4004,4005,4006,4007,4008,4009,4010
9,Behemoth,Sb_Behemoth,Locale_Event:sb_monster_behemoth,180,150000,140,12,3000,bt_sb_behemoth,collab_bgm_sb_boss_behemoth_phase1,,1500,300,300,4,10,11,7000,50,300,12,blink_character_location,0,blink_character_location,0,4001,4002,4011,4012,4013,4014,4015,0,0,0,0,0,4003,4004,4005,4006,4007,4008,4009,4010
10,Stalker,Sb_Sawshark,Locale_Event:sb_monster_stalker,60,25000,100,8,3000,bt_sb_stalker,collab_bgm_sb_stalker_phase1,collab_bgm_sb_stalker_phase2,1500,300,300,4,7,8,4000,50,300,9,blink_character_location,0,blink_character_location,0,3001,3002,3011,3012,3013,0,0,0,0,0,0,0,3003,3004,3105,3106,3007,3008,3009,3010
11,Stalker,Sb_Sawshark,Locale_Event:sb_monster_stalker,150,50000,120,10,3000,bt_sb_stalker,collab_bgm_sb_stalker_phase1,collab_bgm_sb_stalker_phase2,1500,300,300,4,7,8,5000,50,300,9,blink_character_location,0,blink_character_location,0,3001,3002,3011,3012,3013,0,0,0,0,0,0,0,3003,3004,3005,3006,3007,3008,3009,3010
12,Stalker,Sb_Sawshark,Locale_Event:sb_monster_stalker,180,150000,140,12,3000,bt_sb_stalker,collab_bgm_sb_stalker_phase1,collab_bgm_sb_stalker_phase2,1500,300,300,4,7,8,7000,50,300,9,blink_character_location,0,blink_character_location,0,3001,3002,3011,3012,3013,0,0,0,0,0,0,0,3003,3004,3005,3006,3007,3008,3009,3010
13,Brute,Sb_Brute,Locale_Event:sb_monster_brute,80,35000,100,10,3000,bt_sb_brute,collab_bgm_sb_boss_brute_phase1,collab_bgm_sb_boss_brute_phase2,1500,300,300,4,13,14,5000,50,300,15,blink_character_location,0,blink_character_location,0,5001,5002,5011,5012,5013,5014,5015,0,0,0,0,0,5003,5004,5105,5006,5007,5008,5009,5010
14,Brute,Sb_Brute,Locale_Event:sb_monster_brute,200,65000,120,12,3000,bt_sb_brute,collab_bgm_sb_boss_brute_phase1,collab_bgm_sb_boss_brute_phase2,1500,300,300,4,13,14,7500,50,300,15,blink_character_location,0,blink_character_location,0,5001,5002,5011,5012,5013,5014,5015,0,0,0,0,0,5003,5004,5005,5006,5007,5008,5009,5010
15,Brute,Sb_Brute,Locale_Event:sb_monster_brute,220,190000,140,15,3000,bt_sb_brute,collab_bgm_sb_boss_brute_phase1,collab_bgm_sb_boss_brute_phase2,1500,300,300,4,13,14,9500,50,300,15,blink_character_location,0,blink_character_location,0,5001,5002,5011,5012,5013,5014,5015,0,0,0,0,0,5003,5004,5005,5006,5007,5008,5009,5010
