id,depart_scene_code,arrive_scene_code,depart_view_type,arrive_view_type,event_id,transition_type,is_gauge,loading_tip_group,rotation_type
1,Title,Lobby,0,0,0,3,True,0,None
2,Title,Battle,0,0,0,3,True,0,None
3,Lobby,Campaign,0,0,0,2,True,2,None
4,Campaign,Lobby,0,0,0,2,True,1,None
5,Campaign,Campaign,0,0,0,2,True,2,None
6,Campaign,Battle,0,0,0,3,True,2,None
7,Battle,Campaign,0,0,0,3,True,2,None
8,Lobby,Outpost,0,0,0,2,True,3,None
9,Outpost,Lobby,0,0,0,2,True,1,None
10,Lobby,LostSector,0,0,0,3,True,4,None
11,LostSector,Lobby,0,0,0,3,True,1,None
12,LostSector,LostSector,0,0,0,3,True,4,None
13,LostSector,Battle,0,0,0,3,True,4,None
14,Battle,LostSector,0,0,0,3,True,4,None
15,Lobby,Arena,0,0,0,2,False,0,None
16,Arena,Lobby,0,0,0,3,False,0,None
17,BattleIntro,Arena,0,0,0,2,False,0,None
18,Arena,BattleIntro,0,0,0,3,False,0,None
19,Lobby,Battle,0,0,0,3,True,4,None
20,Title,Campaign,0,0,0,2,True,2,None
21,Battle,Battle,0,0,0,3,True,99,None
22,Battle,Lobby,0,0,0,3,True,99,None
23,Outpost,Scenario,0,0,0,2,True,3,None
24,Scenario,Outpost,0,0,0,2,True,3,None
25,Outpost,OutpostUI,0,0,0,2,True,3,None
26,OutpostUI,Outpost,0,0,0,2,True,3,None
27,OutpostUI,Lobby,0,0,0,2,True,3,None
28,Lobby,EventField,0,0,0,2,False,0,None
29,EventField,Lobby,0,0,0,2,False,0,None
30,Outpost,Campaign,0,0,0,2,True,2,None
31,EventField,Battle,0,0,0,3,True,99,None
32,Battle,EventField,0,0,0,3,True,99,None
33,Outpost,EventField,0,0,0,2,False,0,None
34,EventField,Outpost,0,0,0,2,False,0,None
35,Scenario,Battle,0,0,0,3,True,99,None
36,Campaign,Outpost,0,0,0,2,False,0,None
37,OutpostUI,Battle,0,0,0,3,True,99,None
38,Battle,OutpostUI,0,0,0,3,True,99,None
39,OutpostUI,EventField,0,0,0,2,False,0,None
40,EventField,OutpostUI,0,0,0,2,False,0,None
41,Lobby,Lobby,0,0,0,2,True,0,None
42,Outpost,Outpost,0,0,0,2,True,0,None
43,EventField,EventField,0,0,0,2,True,2,None
901,RookieArena,RookieArenaSpot,0,0,0,3,True,6,None
902,RookieArenaSpot,RookieArena,0,0,0,3,True,6,None
903,RookieArena,RookieArenaQuickBattle,0,0,0,3,True,6,None
904,RookieArenaQuickBattle,RookieArena,0,0,0,3,True,6,None
905,RookieArenaQuickBattle,RookieArenaSpot,0,0,0,3,True,6,None
906,RookieArenaSpot,RookieArenaSpot,0,0,0,3,True,6,None
911,SpecialArena,SpecialArenaSpot,0,0,0,3,True,5,Order
912,SpecialArenaSpot,SpecialArena,0,0,0,3,True,7,None
913,SpecialArena,SpecialArenaQuickBattle,0,0,0,3,True,5,Order
914,SpecialArenaQuickBattle,SpecialArena,0,0,0,3,True,7,None
915,SpecialArenaQuickBattle,SpecialArenaSpot,0,0,0,3,True,5,Order
916,SpecialArenaSpot,SpecialArenaSpot,0,0,0,3,True,7,None
921,ChampionArena,ChampionArenaSpot,0,0,0,3,True,8,None
922,ChampionArenaSpot,ChampionArena,0,0,0,3,True,8,None
923,ChampionArenaSpot,ChampionArenaSpot,0,0,0,3,True,8,None
1001,None,None,6028,30001,0,2,False,0,None
1002,None,None,30001,6028,0,2,False,0,None
1003,None,None,6028,6008,0,3,False,0,None
1004,None,None,6008,6028,0,2,False,0,None
1005,None,None,6008,6031,0,3,False,0,None
1006,None,None,6031,6008,0,3,False,0,None
1007,None,None,6008,13000,0,3,False,0,None
1008,None,None,13000,6008,0,3,False,0,None
1009,None,None,6008,6035,0,1,False,0,None
1010,None,None,6035,6008,0,3,False,0,None
1012,None,None,6008,6047,0,3,False,0,None
1013,None,None,6047,6008,0,3,False,0,None
2001,None,None,-1,6014,0,5,False,0,None
2002,None,None,6014,-1,0,3,False,0,None
2018,None,None,6008,17001,0,6,False,0,None
2019,None,None,6008,17003,0,6,False,0,None
2020,None,None,17001,17003,0,6,False,0,None
2021,None,None,17003,17001,0,6,False,0,None
2022,None,None,4109,6014,0,5,False,0,None
2023,None,None,-1,6012,0,5,False,0,None
2024,None,None,6012,-1,0,3,False,0,None
2025,None,None,5002,30001,0,2,False,0,None
2026,None,None,30001,5002,0,2,False,0,None
2031,None,None,-1,6016,0,5,False,0,None
3001,None,None,-1,31001,0,2,False,0,None
3002,None,None,31001,-1,0,2,False,0,None
3003,None,None,2021,6028,0,2,False,0,None
4001,None,None,70004,70001,0,3,False,0,None
4002,None,None,70005,70001,0,3,False,0,None
4011,None,None,70002,70001,0,3,False,0,None
4012,None,None,70003,70001,0,3,False,0,None
4015,Lobby,DDMiniGame,0,0,0,10,True,0,None
4016,DDMiniGame,Lobby,0,0,0,2,False,0,None
8070001,Lobby,EventField,0,0,80700,7,False,0,None
8070002,EventField,Lobby,0,0,80700,8,False,0,None
8070003,Outpost,EventField,0,0,80700,7,False,0,None
8070004,EventField,Outpost,0,0,80700,8,False,0,None
4002601,EventField,Battle,0,0,40026,8,True,101,None
4002602,Battle,Battle,0,0,40026,8,True,101,None
4002603,Battle,EventField,0,0,40026,8,True,101,None
4002604,None,None,6014,-1,40026,8,False,0,None
4002701,EventField,Battle,0,0,40027,8,True,101,None
4002702,Battle,Battle,0,0,40027,8,True,101,None
4002703,Battle,EventField,0,0,40027,8,True,101,None
4002704,None,None,6014,-1,40027,8,False,0,None
4002801,EventField,Scenario,0,0,80700,8,False,0,None
4013,EventField,CE002MiniGame,0,0,0,9,False,0,None
