id,event_type,difficulty_id,chapter,base_monster_level,base_monster_battle_power,improvement_monster_level,improvement_monster_battle_power
10101,NormalBattle,1,1,1,1910,0,0
10102,NormalBattle,1,2,9,2675,0,0
10103,NormalBattle,1,3,15,3725,1,120
10201,NormalBattle,2,1,50,10410,0,0
10202,NormalBattle,2,2,59,12605,0,0
10203,NormalBattle,2,3,63,13885,1,488
10301,NormalBattle,3,1,80,18305,0,0
10302,NormalBattle,3,2,89,22945,0,0
10303,NormalBattle,3,3,97,26625,1,1186
10401,NormalBattle,4,1,110,34880,0,0
10402,NormalBattle,4,2,117,39045,0,0
10403,NormalBattle,4,3,122,44005,1,1515
10501,NormalBattle,5,1,150,73110,1,1520
10502,NormalBattle,5,2,168,93490,0,0
10503,NormalBattle,5,3,181,108625,1,2056
20101,EliteBattle,1,1,7,2485,0,0
20102,EliteBattle,1,2,13,3535,0,0
20103,EliteBattle,1,3,22,4490,1,168
20201,EliteBattle,2,1,57,12130,0,0
20202,EliteBattle,2,2,62,13685,0,0
20203,EliteBattle,2,3,71,16065,1,391
20301,EliteBattle,3,1,87,21955,0,0
20302,EliteBattle,3,2,95,25680,0,0
20303,EliteBattle,3,3,105,31905,1,1002
20401,EliteBattle,4,1,116,37555,0,0
20402,EliteBattle,4,2,121,42345,0,0
20403,EliteBattle,4,3,132,52840,1,1340
20501,EliteBattle,5,1,158,80145,1,2437
20502,EliteBattle,5,2,179,104175,0,0
20503,EliteBattle,5,3,199,131090,1,3588
30101,BossBattle,1,1,9,2675,0,0
30102,BossBattle,1,2,15,3725,0,0
30103,BossBattle,1,3,30,5455,0,0
30201,BossBattle,2,1,59,12605,0,0
30202,BossBattle,2,2,63,13885,0,0
30203,BossBattle,2,3,81,19785,0,0
30301,BossBattle,3,1,89,22945,0,0
30302,BossBattle,3,2,97,26625,0,0
30303,BossBattle,3,3,115,37220,0,0
30401,BossBattle,4,1,117,39045,0,0
30402,BossBattle,4,2,122,44005,0,0
30403,BossBattle,4,3,142,62900,0,0
30501,BossBattle,5,1,168,93490,0,0
30502,BossBattle,5,2,181,108625,0,0
30503,BossBattle,5,3,211,150065,0,0
40503,SpecialBattle,5,3,211,150065,0,0
