id,desc,tier,icon_resource,name_locale,category,is_once,is_rare,after_waittime,list_condition,condition_value,list_ratioweight,ratio_normalsuccess,ratio_specialsuccess,rewardspecialweight,rewardfailweight,reward_id/0/name,reward_id/0/value,reward_id/1/name,reward_id/1/value,reward_id/2/name,reward_id/2/value
101,[파견. 01] [신속] 숲속 자원 수집 원정,1,rebuildEden_icn_material_01,Locale_Event:rebe_dispatch_name_01,Materials_Build,False,False,10000,None,0,5500,10000,500,20000,0,reward_id,3001,,,,
102,[파견. 02] 랩처 잔해로부터의 자원 수집,1,rebuildEden_icn_material_02,Locale_Event:rebe_dispatch_name_02,Materials_Enhancement,False,False,20000,None,0,1459,6000,1500,20000,4000,reward_id,4003,,,,
103,[파견. 03] 파괴된 에덴 잔해로부터의 자원 수집,1,rebuildEden_icn_material_02,Locale_Event:rebe_dispatch_name_03,Materials_Enhancement,False,False,20000,None,0,1458,7000,500,20000,3000,reward_id,4002,reward_id,3003.0,,
104,[파견. 04] 에덴 밖 버려진 폐가 탐색,1,rebuildEden_icn_material_01,Locale_Event:rebe_dispatch_name_04,Materials_Build,False,False,20000,None,0,1459,6500,1000,20000,3500,reward_id,3004,,,,
105,[파견. 05] 랩처 무리 습격 작전 I,1,rebuildEden_icn_material_02,Locale_Event:rebe_dispatch_name_05,Materials_Enhancement,False,False,20000,None,0,1458,6300,700,20000,3700,reward_id,4003,,,,
106,[파견. 06] 지하 동굴 탐색,1,rebuildEden_icn_material_02,Locale_Event:rebe_dispatch_name_06,Materials_Enhancement,False,False,20000,None,0,1459,8500,200,20000,1500,reward_id,4001,reward_id,3002.0,,
107,[파견. 07] [첫회 한정] 에덴 밖을 배회중인 유닛 탐색 / 자원 수집소,1,rebuildEden_icn_material_02,Locale_Event:rebe_dispatch_name_07,Materials_Enhancement,True,False,20000,Build,102,5500,10000,0,20000,0,reward_id,4008,,,,
108,[파견. 08] 에덴 밖 자원 탐색 I,1,rebuildEden_icn_material_01,Locale_Event:rebe_dispatch_name_08,Materials_Build,False,False,20000,None,0,1458,7200,1000,20000,2800,reward_id,3003,,,,
109,[파견. 09] [특수] 에덴 밖에서 탐지된 수상한 물체 탐색 I,1,rebuildEden_icn_material_01,Locale_Event:rebe_dispatch_name_09,Materials_Build,False,True,20000,None,0,625,3500,4500,20000,6500,reward_id,3007,,,,
110,[파견. 10] [특수] 에덴 앞 물자 회수,1,rebuildEden_icn_material_02,Locale_Event:rebe_dispatch_name_10,Materials_Enhancement,False,True,20000,None,0,625,4500,3500,20000,5500,reward_id,4005,reward_id,3007.0,,
111,[파견. 11] [신속] 폐 광산 원정,2,rebuildEden_icn_material_04,Locale_Event:rebe_dispatch_name_11,Materials_Special,False,False,20000,Quest,701,5500,10000,500,20000,0,reward_id,5001,reward_id,4004.0,reward_id,3005.0
112,[파견. 12] 거대 랩처 잔해로부터의 자원 수집,2,rebuildEden_icn_material_01,Locale_Event:rebe_dispatch_name_12,Materials_Build,False,False,30000,Quest,701,1459,5800,500,20000,4200,reward_id,3010,,,,
113,[파견. 13] 폐차장으로부터의 자원 수집,2,rebuildEden_icn_material_01,Locale_Event:rebe_dispatch_name_13,Materials_Build,False,False,30000,Quest,701,1458,7200,400,20000,2800,reward_id,3009,,,,
114,[파견. 14] 에덴 잔해 회수 I,2,rebuildEden_icn_material_01,Locale_Event:rebe_dispatch_name_14,Materials_Build,False,False,30000,Quest,701,1459,8700,1000,20000,1300,reward_id,3008,,,,
115,[파견. 15] [첫회 한정] 광산에 남겨진 광물 회수 / 고용 관리소,2,rebuildEden_icn_material_04,Locale_Event:rebe_dispatch_name_15,Materials_Special,True,False,30000,Build,206,5500,10000,0,20000,0,reward_id,5001,reward_id,4005.0,reward_id,3006.0
116,[파견. 16] 랩처 무리 습격 작전 II,2,rebuildEden_icn_material_02,Locale_Event:rebe_dispatch_name_16,Materials_Enhancement,False,False,30000,Quest,701,625,3200,2500,20000,6800,reward_id,4011,reward_id,3014.0,,
117,[파견. 17] 건축 소재 채집 임무 I,2,rebuildEden_icn_material_01,Locale_Event:rebe_dispatch_name_17,Materials_Build,False,False,30000,Quest,701,1458,6600,1000,20000,3400,reward_id,3012,,,,
118,[파견. 18] 에덴 밖을 배회중인 랩처 추적 및 습격 작전 I,2,rebuildEden_icn_material_02,Locale_Event:rebe_dispatch_name_18,Materials_Enhancement,False,False,30000,Quest,701,1458,4000,2500,20000,6000,reward_id,4012,,,,
119,[파견. 19] [특수] 스노우 화이트가 두고 온 자원 회수,2,rebuildEden_icn_material_04,Locale_Event:rebe_dispatch_name_19,Materials_Special,False,True,30000,Quest,701,625,7500,6500,20000,2500,reward_id,5003,reward_id,4009.0,reward_id,3011.0
120,[파견. 20] [특수] 에덴 밖에서 탐지된 수상한 물체 탐색 II,2,rebuildEden_icn_material_04,Locale_Event:rebe_dispatch_name_20,Materials_Special,False,True,30000,Quest,701,625,3800,5500,20000,6200,reward_id,5006,,,,
121,[파견. 21] [신속] 버려진 무기고 탐색,3,rebuildEden_icn_material_01,Locale_Event:rebe_dispatch_name_21,Materials_Build,False,False,30000,Quest,901,5500,10000,700,20000,0,reward_id,3006,,,,
122,[파견. 22] 오아시스 탐색,3,rebuildEden_icn_material_02,Locale_Event:rebe_dispatch_name_22,Materials_Enhancement,False,False,40000,Quest,901,1458,6700,1000,20000,3300,reward_id,4009,reward_id,3012.0,,
123,[파견. 23] 산 속에 버려진 자원 수집,3,rebuildEden_icn_material_01,Locale_Event:rebe_dispatch_name_23,Materials_Build,False,False,40000,Quest,901,1458,5800,800,20000,4200,reward_id,3012,,,,
124,[파견. 24] 에덴 잔해 회수 II,3,rebuildEden_icn_material_04,Locale_Event:rebe_dispatch_name_24,Materials_Special,False,False,40000,Quest,901,625,6500,1200,20000,3500,reward_id,5004,reward_id,4010.0,,
125,[파견. 25] [위험] 거대 랩처 소탕 작전 I,3,rebuildEden_icn_material_04,Locale_Event:rebe_dispatch_name_25,Materials_Special,False,False,40000,Quest,901,625,3000,1500,20000,7000,reward_id,5006,reward_id,4012.0,reward_id,3015.0
126,[파견. 26] [첫회 한정] 무너진 설비에서 자원 회수 / 연구소,3,rebuildEden_icn_material_01,Locale_Event:rebe_dispatch_name_26,Materials_Build,True,False,40000,Build,306,5500,10000,0,20000,0,reward_id,3006,,,,
127,[파견. 27] [특수] 밤에만 관측된다는 기이한 랩처 탐색,3,rebuildEden_icn_material_02,Locale_Event:rebe_dispatch_name_27,Materials_Enhancement,False,True,40000,Quest,901,625,2800,6000,20000,7200,reward_id,4012,,,,
128,[파견. 28] 야간 랩처 습격 작전 I,3,rebuildEden_icn_material_04,Locale_Event:rebe_dispatch_name_28,Materials_Special,False,False,40000,Quest,901,1458,7200,1500,20000,2800,reward_id,5003,reward_id,4009.0,reward_id,3011.0
129,[파견. 29] [특수] 에덴 밖에서 탐지된 수상한 물체 탐색 II,3,rebuildEden_icn_material_04,Locale_Event:rebe_dispatch_name_29,Materials_Special,False,True,40000,Quest,901,625,5500,8500,20000,4500,reward_id,5004,reward_id,4010.0,,
130,[파견. 30] [특수/위험] 거대 랩처 소탕 작전 II,3,rebuildEden_icn_material_04,Locale_Event:rebe_dispatch_name_30,Materials_Special,False,True,40000,Quest,901,625,2000,4200,20000,8000,reward_id,5006,reward_id,4011.0,reward_id,3014.0
131,[파견. 31] [신속] 에덴에서 관측한 자원 탐색,4,rebuildEden_icn_material_02,Locale_Event:rebe_dispatch_name_31,Materials_Enhancement,False,False,40000,Quest,1401,5500,10000,200,20000,0,reward_id,4006,reward_id,3008.0,,
132,[파견. 32] [특수] 자원 재가공 시설 방문,4,rebuildEden_icn_material_04,Locale_Event:rebe_dispatch_name_32,Materials_Special,False,True,50000,Quest,1401,1459,3300,2000,20000,6700,reward_id,5008,reward_id,4015.0,reward_id,3018.0
133,[파견. 33] 건축 소재 채집 임무 I,4,rebuildEden_icn_material_01,Locale_Event:rebe_dispatch_name_33,Materials_Build,False,False,50000,Quest,1401,1458,8400,1000,20000,1600,reward_id,3014,,,,
134,[파견. 34] 건축 소재 채집 임무 II,4,rebuildEden_icn_material_02,Locale_Event:rebe_dispatch_name_34,Materials_Enhancement,False,False,50000,Quest,1401,1459,8200,1000,20000,1800,reward_id,4011,reward_id,3014.0,,
135,[파견. 35] 야간 랩처 습격 작전 II,4,rebuildEden_icn_material_04,Locale_Event:rebe_dispatch_name_35,Materials_Special,False,False,50000,Quest,1401,1458,6500,2500,20000,3500,reward_id,5007,reward_id,4012.0,,
136,[파견. 36] 랩처 무리 습격 작전 III,4,rebuildEden_icn_material_04,Locale_Event:rebe_dispatch_name_36,Materials_Special,False,False,50000,Quest,1401,1459,3200,1000,20000,6800,reward_id,5008,reward_id,4015.0,reward_id,3019.0
137,[파견. 37] [첫회 한정] 지하 자원 탐색 임무 / 지하 자원 수집 시설,4,rebuildEden_icn_material_04,Locale_Event:rebe_dispatch_name_37,Materials_Special,True,False,50000,Build,403,5500,10000,0,20000,0,reward_id,5002,reward_id,4007.0,,
138,[파견. 38] 에덴 밖 자원 탐색 II,4,rebuildEden_icn_material_02,Locale_Event:rebe_dispatch_name_38,Materials_Enhancement,False,False,50000,Quest,1401,1458,6500,1200,20000,3500,reward_id,4012,reward_id,3016.0,,
139,[파견. 39] [특수] 에덴 주위를 맴돌고 있는 랩처 정찰기 파괴,4,rebuildEden_icn_material_04,Locale_Event:rebe_dispatch_name_39,Materials_Special,False,True,50000,Quest,1401,625,2700,4500,20000,7300,reward_id,5008,reward_id,4015.0,,
140,[파견. 40] [특수] 버려진 자원 회수,4,rebuildEden_icn_material_02,Locale_Event:rebe_dispatch_name_40,Materials_Enhancement,False,True,50000,Quest,1401,625,4700,9000,20000,5300,reward_id,4015,,,,
141,[파견. 41] [신속] 야간 랩처 습격 작전 III,5,rebuildEden_icn_material_04,Locale_Event:rebe_dispatch_name_41,Materials_Special,False,False,50000,Quest,1701,5500,10000,1000,20000,0,reward_id,5005,reward_id,3013.0,,
142,[파견. 42] 건축 소재 채집 임무 III,5,rebuildEden_icn_material_04,Locale_Event:rebe_dispatch_name_42,Materials_Special,False,False,60000,Quest,1701,1458,7500,2500,20000,2500,reward_id,5008,reward_id,4014.0,reward_id,3017.0
143,[파견. 43] 에덴 밖 자원 탐색 III,5,rebuildEden_icn_material_04,Locale_Event:rebe_dispatch_name_43,Materials_Special,False,False,60000,Quest,1701,1458,7500,2500,20000,2500,reward_id,5008,reward_id,4013.0,,
144,[파견. 44] [특수/위험] 거대 랩처 소탕 작전 III,5,rebuildEden_icn_material_04,Locale_Event:rebe_dispatch_name_44,Materials_Special,False,True,60000,Quest,1701,625,3100,7500,20000,6900,reward_id,5011,reward_id,4017.0,reward_id,3021.0
145,[파견. 45] 에덴 잔해 회수 III,5,rebuildEden_icn_material_04,Locale_Event:rebe_dispatch_name_45,Materials_Special,False,False,60000,Quest,1701,1458,7100,2200,20000,2900,reward_id,5009,reward_id,3017.0,,
146,[파견. 46] [특수] 에덴 밖에서 탐지된 수상한 물체 탐색 III,5,rebuildEden_icn_material_04,Locale_Event:rebe_dispatch_name_46,Materials_Special,False,True,60000,Quest,1701,625,6500,8000,20000,3500,reward_id,5010,reward_id,4014.0,,
147,[파견. 47] [특수/신속] 드론으로 찾아낸 자원 회수,5,rebuildEden_icn_material_04,Locale_Event:rebe_dispatch_name_47,Materials_Special,False,True,60000,Quest,1701,5500,10000,6000,20000,0,reward_id,5005,reward_id,4008.0,reward_id,3013.0
148,[파견. 48] [위험] 거대 랩처 소탕 작전 IV,5,rebuildEden_icn_material_04,Locale_Event:rebe_dispatch_name_48,Materials_Special,False,False,60000,Quest,1701,1458,2400,2100,20000,7600,reward_id,5011,reward_id,4016.0,reward_id,3020.0
149,[파견. 49] [위험/특수] 거대 랩처 소탕 작전 V,5,rebuildEden_icn_material_04,Locale_Event:rebe_dispatch_name_49,Materials_Special,False,True,60000,Quest,1701,625,2000,7500,20000,8000,reward_id,5011,reward_id,4018.0,reward_id,3022.0
150,[파견. 50] [위험/특수] 야간 랩처 습격 작전 III,5,rebuildEden_icn_material_04,Locale_Event:rebe_dispatch_name_50,Materials_Special,False,True,60000,Quest,1701,625,2000,8000,20000,8000,reward_id,5011,reward_id,4018.0,reward_id,3022.0
