id,group,day,buff_data/0/buff_target_type,buff_data/0/buff_target,buff_data/0/buff_id,buff_data/0/buff_thumbnail,buff_data/1/buff_target_type,buff_data/1/buff_target,buff_data/1/buff_id,buff_data/1/buff_thumbnail
10101,101,1,Corporation,Elysion,111,icn_corp_01,Corporation,Missilis,112,icn_corp_02
10102,101,2,Corporation,Missilis,112,icn_corp_02,Corporation,Tetra,113,icn_corp_03
10103,101,3,Corporation,Tetra,113,icn_corp_03,Corporation,Pilgrim,114,icn_corp_04
10104,101,4,Corporation,Pilgrim,114,icn_corp_04,Corporation,Elysion,111,icn_corp_01
10105,101,5,Class,Attacker,121,icn_class_attacker,Class,Defender,122,icn_class_defender
10106,101,6,Class,Defender,122,icn_class_defender,Class,Supporter,123,icn_class_supporter
10107,101,7,Class,Supporter,123,icn_class_supporter,Class,Attacker,121,icn_class_attacker
20101,201,1,Corporation,AbNormal,115,icn_corp_05,Corporation,Elysion,111,icn_corp_01
20102,201,2,Corporation,AbNormal,115,icn_corp_05,Corporation,Missilis,112,icn_corp_02
20103,201,3,Corporation,AbNormal,115,icn_corp_05,Corporation,Tetra,113,icn_corp_03
20104,201,4,Corporation,AbNormal,115,icn_corp_05,Corporation,Pilgrim,114,icn_corp_04
30101,301,1,Corporation,Tetra,113,icn_corp_03,Corporation,Tetra,133,icn_corp_03
30102,301,2,Corporation,Tetra,113,icn_corp_03,Corporation,Tetra,133,icn_corp_03
30103,301,3,Corporation,Tetra,113,icn_corp_03,Corporation,Tetra,133,icn_corp_03
30201,302,1,Corporation,Elysion,111,icn_corp_01,Corporation,Elysion,131,icn_corp_01
30202,302,2,Corporation,Elysion,111,icn_corp_01,Corporation,Elysion,131,icn_corp_01
30203,302,3,Corporation,Elysion,111,icn_corp_01,Corporation,Elysion,131,icn_corp_01
30301,303,1,Corporation,Missilis,112,icn_corp_02,Corporation,Missilis,132,icn_corp_02
30302,303,2,Corporation,Missilis,112,icn_corp_02,Corporation,Missilis,132,icn_corp_02
30303,303,3,Corporation,Missilis,112,icn_corp_02,Corporation,Missilis,132,icn_corp_02
30401,304,1,Corporation,Pilgrim,114,icn_corp_04,Corporation,Pilgrim,134,icn_corp_04
30402,304,2,Corporation,Pilgrim,114,icn_corp_04,Corporation,Pilgrim,134,icn_corp_04
30403,304,3,Corporation,Pilgrim,114,icn_corp_04,Corporation,Pilgrim,134,icn_corp_04
30501,305,1,Corporation,AbNormal,115,icn_corp_05,Corporation,AbNormal,135,icn_corp_05
30502,305,2,Corporation,AbNormal,115,icn_corp_05,Corporation,AbNormal,135,icn_corp_05
30503,305,3,Corporation,AbNormal,115,icn_corp_05,Corporation,AbNormal,135,icn_corp_05
