id,record_type,record_title_locale,record_main_archive_event_id,record_list_order,unlock_ticket_id,unlock_ticket_count,reward_info_list_id,event_quest_clear_reward_id,recommended_story_list_id,included_contents_group_id,record_slot_bg_addressable,record_unlock_bg_addressable,messenger_group_id,event_quest_banner_table,event_quest_banner_id
100,StoryEvent,Locale_System:RECORD_EVENT_TITLE_1,40001,1,7120001,1,100,0,0,100,event_archive_nocallerid,event_archive_nocallerid,,,
200,StoryEvent,Locale_System:RECORD_EVENT_TITLE_2,1080300,2,7120001,1,200,0,0,200,event_archive_overzone,event_archive_overzone,,,
300,StoryEvent,Locale_System:RECORD_EVENT_TITLE_3,40010,3,7120001,1,300,0,0,300,event_archive_bow-wowparadise,event_archive_bow-wowparadise,,,
400,StoryEvent,Locale_System:RECORD_EVENT_TITLE_4,40012,4,7120001,1,400,0,0,400,event_archive_ltk,event_archive_ltk,,,
500,StoryEvent,Locale_System:RECORD_EVENT_TITLE_5,80100,5,7120001,1,500,0,0,500,event_archive_miraclesnow,event_archive_miraclesnow,,,
600,StoryEvent,Locale_System:RECORD_EVENT_TITLE_6,40015,6,7120001,1,600,0,0,600,event_archive_queensorder,event_archive_queensorder,40015.0,,
700,StoryEvent,Locale_System:RECORD_EVENT_TITLE_7,40022,7,7120001,1,700,0,0,700,event_archive_nya-nyaparadise,event_archive_nya-nyaparadise,40022.0,,
800,StoryEvent,Locale_System:RECORD_EVENT_TITLE_8,40011,8,7120001,1,800,0,0,800,event_archive_cherryblossom,event_archive_cherryblossom,,,
900,StoryEvent,Locale_System:RECORD_EVENT_TITLE_9,40006,9,7120001,1,900,0,0,900,event_archive_d-outsiders,event_archive_d-outsiders,,,
1000,StoryEvent,Locale_System:RECORD_EVENT_TITLE_10,40007,10,7120001,1,1000,0,0,1000,event_archive_maidinvalentine,event_archive_maidinvalentine,,,
1100,StoryEvent,Locale_System:RECORD_EVENT_TITLE_11,40014,11,7120001,1,1100,0,0,1100,event_archive_bunny777,event_archive_bunny777,40014.0,,
1200,StoryEvent,Locale_System:RECORD_EVENT_TITLE_12,40028,12,7120001,1,1200,0,0,1200,event_archive_schooloflock,event_archive_schooloflock,40028.0,,
1300,StoryEvent,Locale_System:RECORD_EVENT_TITLE_13,80800,13,7120001,1,1300,0,0,1300,event_archive_redash,event_archive_redash,,,
1400,StoryEvent,Locale_System:RECORD_EVENT_TITLE_14,40005,14,7120001,1,1400,0,0,1400,event_archive_brandnewyear,event_archive_brandnewyear,,,
1500,StoryEvent,Locale_System:RECORD_EVENT_TITLE_15,40002,15,7120001,1,1500,0,0,1500,event_archive_hightechtoy,event_archive_hightechtoy,,,
