id,event_id,field_design_map,field_art_map_standard,field_hud,field_first_entry_resource,link_event_pass_id,progress_event_group_id,is_use_roaming_npc,roaming_npc_limit,roaming_npc_type,roaming_npc_fixed_sd_character_group_id,roaming_npc_speed_minimum,roaming_npc_speed_maximum,player_squad_type,player_squad_value,player_squad_speed,sd_character_size,event_mission_group,recollection_hub_group_id,field_enter_scenario,field_enter_scenario_story_archive_id,event_field_currency_list/0/event_field_currency_type,event_field_currency_list/0/event_field_currency_id,event_field_currency_list/1/event_field_currency_type,event_field_currency_list/1/event_field_currency_id
1010003,1080300,febg_lostcity_001,febg_lostcity_001_01,hud_event_field_overzone,event_enter_overzone,0,101003,True,17,FixedSDCharacter,1010032,100,250,FixedSquad,1010031,100,100,0,10003,,0,Material,7121003,None,0
10001,80100,febg_christmas_001,febg_christmas_001_01,hud_event_field_miraclesnow,event_enter_miraclesnow,0,1001,True,5,UserCharacter,0,100,250,UserSquad,5,100,100,0,10001,,0,Material,7122003,Material,7070005
10007,80800,febg_mothership_001,febg_mothership_001_01,hud_event_field_redash_part1,event_enter_redash,0,1007,False,0,FixedSDCharacter,10035,100,250,FixedSquad,10033,100,100,0,10007,event_redash_prologue,40031,Material,7122031,None,0
10004,80400,febg_tropical_001,febg_tropical_001_01,hud_event_field_bluewaterisland,event_enter_bluewaterisland,0,1004,False,5,UserCharacter,0,100,250,UserSquad,5,100,100,0,10004,,0,Material,7122020,Material,7061002
10005,80600,febg_tropical_002,febg_tropical_002_01,hud_event_field_seayouagain_night,event_enter_seayouagain,0,1005,False,5,UserCharacter,0,100,250,UserSquad,5,100,100,0,10005,,0,Material,7122024,None,0
10010,81200,febg_oldcastle_001,febg_oldcastle_001_01,hud_event_field_lastkingdom,event_enter_lastkingdom,0,1010,False,0,UserCharacter,0,100,250,FixedSquad,10037,100,100,0,10010,event_lastkingdom1_prologue,40045,Material,7122045,None,0
10008,80900,febg_hotspring_001,febg_hotspring_001_01,hud_event_field_neverland,event_enter_neverland,0,1008,False,0,UserCharacter,0,100,250,UserSquad,5,100,100,0,10008,event_neverland1_prologue,40034,Material,7122034,None,0
10013,81500,febg_mmrschool_001,febg_mmrschool_001_01,hud_event_field_ce004_02,event_enter_ce004,0,1013,False,0,UserCharacter,0,100,250,UserSquad,5,100,100,0,10013,event_ce004_1_prologue,40055,Material,7122055,None,0
10016,81600,febg_mirrordimension_001,febg_mirrordimension_001_01,hud_event_field_oldtales_01,event_enter_oldtales,0,1016,False,0,UserCharacter,0,100,250,FixedSquad,101611,100,100,0,10016,event_oldtales1_prologue,40061,Material,7122061,None,0
10012,81400,febg_tropical_003,febg_tropical_003_01,hud_event_field_beautyfullshot_daytime,event_enter_beautyfullshot,0,1012,False,0,UserCharacter,0,100,250,UserSquad,5,100,100,0,10012,event_beautyfullshot1_prologue,40051,Material,7122051,None,0
10011,81300,febg_coinrush_001,febg_coinrush_001_01,hud_event_field_goldencoinrush,event_enter_goldencoinrush,0,1011,False,0,UserCharacter,0,100,250,UserSquad,5,100,100,0,10011,event_goldencoinrush1_prologue,40048,Material,7122048,None,0
10019,82000,febg_aquarium_001,febg_aquarium_001_01,hud_event_field_unbreakablesphere,event_enter_unbreakablesphere,0,1019,True,20,UserCharacter,0,100,250,FixedSquad,101911,100,100,0,10019,event_unbreakablesphere1_prologue,40075,Material,7122075,None,0
