id,event_group_id,event_type,bonus_value,icon,title_localkey,description_localkey
3,140002,Intercept,2,icn_reward_up_intercept,Locale_System:REWARDUP_INTERCEPT_TITLE,Locale_System:REWARDUP_INTERCEPT_DESCRIPTION
4,140002,SimulationRoom,2,icn_reward_up_simulationroom,Locale_System:REWARDUP_SIMULATIONROOM_TITLE,Locale_System:REWARDUP_SIMULATIONROOM_DESCRIPTION
5,140003,Intercept,2,icn_reward_up_intercept,Locale_System:REWARDUP_INTERCEPT_TITLE,Locale_System:REWARDUP_INTERCEPT_DESCRIPTION
6,140003,SimulationRoom,2,icn_reward_up_simulationroom,Locale_System:REWARDUP_SIMULATIONROOM_TITLE,Locale_System:REWARDUP_SIMULATIONROOM_DESCRIPTION
7,140004,Intercept,2,icn_reward_up_intercept,Locale_System:REWARDUP_INTERCEPT_TITLE,Locale_System:REWARDUP_INTERCEPT_DESCRIPTION
8,140004,SimulationRoom,2,icn_reward_up_simulationroom,Locale_System:REWARDUP_SIMULATIONROOM_TITLE,Locale_System:REWARDUP_SIMULATIONROOM_DESCRIPTION
9,140005,Intercept,2,icn_reward_up_intercept,Locale_System:REWARDUP_INTERCEPT_TITLE,Locale_System:REWARDUP_INTERCEPT_DESCRIPTION
10,140005,SimulationRoom,2,icn_reward_up_simulationroom,Locale_System:REWARDUP_SIMULATIONROOM_TITLE,Locale_System:REWARDUP_SIMULATIONROOM_DESCRIPTION
11,140006,Intercept,2,icn_reward_up_intercept,Locale_System:REWARDUP_INTERCEPT_TITLE,Locale_System:REWARDUP_INTERCEPT_DESCRIPTION
12,140006,SimulationRoom,2,icn_reward_up_simulationroom,Locale_System:REWARDUP_SIMULATIONROOM_TITLE,Locale_System:REWARDUP_SIMULATIONROOM_DESCRIPTION
13,140007,Intercept,2,icn_reward_up_intercept,Locale_System:REWARDUP_INTERCEPT_TITLE,Locale_System:REWARDUP_INTERCEPT_DESCRIPTION
14,140007,SimulationRoom,2,icn_reward_up_simulationroom,Locale_System:REWARDUP_SIMULATIONROOM_TITLE,Locale_System:REWARDUP_SIMULATIONROOM_DESCRIPTION
15,140008,Intercept,2,icn_reward_up_intercept,Locale_System:REWARDUP_INTERCEPT_TITLE,Locale_System:REWARDUP_INTERCEPT_DESCRIPTION
16,140008,SimulationRoom,2,icn_reward_up_simulationroom,Locale_System:REWARDUP_SIMULATIONROOM_TITLE,Locale_System:REWARDUP_SIMULATIONROOM_DESCRIPTION
