id,event_id,prologue_scenario,dungeon_id,album_category_group,ui_prefab,archive_ticket_item_id,archive_currency_item_id
10001,40001,event_nocallerid_prologue,1,1000,nocallerid,7121002,7121001
10013,80303,event_overzone_prologue,13,1012,overzone_part1,7121004,7121003
10014,80304,,14,1013,overzone_part2,7121004,7121003
10010,40010,event_bowwowparadise_prologue,10,1009,bow-wowparadise,7121006,7121005
10012,40012,event_ltk_prologue,12,1011,ltk,7123012,7122012
10003,40003,event_miraclesnow1_prologue,3,1002,miraclesnow,7123003,7122003
10004,40004,,4,1003,eternalmemory,7123003,7122003
10016,40015,event_queensorder_prologue,17,1015,queensorder,7123016,7122016
10022,40022,event_nyanyaparadise_prologue,22,1022,nya-nyaparadise,7123022,7122022
10011,40011,event_cherryblossom_prologue,11,1010,cherryblossom,7123011,7122011
10006,40006,event_doutsiders_prologue,6,1005,d-outsiders,7123006,7122006
10007,40007,event_maidinvalentine_prologue,7,1006,maidinvalentine,7123007,7122007
10015,40014,event_BunnyX777_prologue,16,1014,bunny777,7123014,7122014
10028,40028,event_schooloflock_prologue,28,1028,schooloflock,7123028,7122028
10031,40031,,31,1031,redash_part1,7123031,7122031
10032,40032,,32,1032,redash_part2,7123031,7122031
10005,40005,event_brandnewyear_prologue,5,1004,brandnewyear,7123005,7122005
10002,40002,event_hightechtoy_prologue,2,1001,hightechtoy,7123002,7122001
10023,40023,event_goldenship_prologue,23,1023,goldenship,7123023,7122023
10029,40029,event_dazzlingcupid_prologue,29,1029,dazzlingcupid,7123029,7122029
10020,40020,event_bluewaterisland_prologue,20,1020,bluewaterisland_part1,7123020,7122020
10021,40021,,21,1021,bluewaterisland_part2,7123020,7122020
10024,40024,event_seayouagain1_prologue,24,1024,seayouagain_part01,7123024,7122024
10025,40025,,25,1025,seayouagain_part02,7123024,7122024
10030,40030,event_freezeacpu_prologue,30,1030,acpufreeze,7123030,7122030
10038,40038,event_dirtybackyard_prologue,38,1038,dirtybackyard,7123038,7122038
10037,40037,event_lionheart_prologue,37,1037,lionheart,7123037,7122037
10045,40045,,45,1045,lastkingdom_part1,7123045,7122045
10046,40046,,46,1046,lastkingdom_part2,7123045,7122045
10036,40036,event_newyearnewsword_prologue,36,1036,newyearnewsword,7123036,7122036
10034,40034,,34,1034,neverland_part1,7123034,7122034
10035,40035,,35,1035,neverland_part2,7123034,7122034
10047,40047,event_darkhero_prologue,47,1047,darkhero,7123047,7122047
10033,40033,event_alonesurvivor_prologue,33,1033,alonesurvivor,7123033,7122033
10039,40039,event_perfectmaid_prologue,39,1039,perfectmaid,7123039,7122039
10040,40040,event_boomsday_prologue,40,1040,boomsday,7123040,7122040
10055,40055,,55,1055,ce004_part1,7123055,7122055
10056,40056,,56,1056,ce004_part2,7123055,7122055
10057,40057,,57,1057,ce004_part3,7123055,7122055
10044,40044,event_onemoretime_prologue,44,1044,onemoretime,7123044,7122044
10061,40061,,61,1061,oldtales_part1,7123061,7122061
10062,40062,,62,1062,oldtales_part2,7123061,7122061
10043,40043,event_killthelord_prologue,43,1043,killthelord,7123043,7122043
10050,40050,event_claymore_prologue,50,1050,claymore,7123050,7122050
10053,40053,event_juveniledays_prologue,53,1053,juveniledays,7123053,7122053
10054,40054,event_colorless_prologue,54,1054,colorless,7123054,7122054
10051,40051,,51,1051,beautyfullshot_part1,7123051,7122051
10052,40052,,52,1052,beautyfullshot_part2,7123051,7122051
10058,40058,event_jinxplayer_prologue,58,1058,jinxplayer,7123058,7122058
10048,40048,,48,1048,goldencoinrush_part1,7123048,7122048
10049,40049,,49,1049,goldencoinrush_part2,7123048,7122048
