id,world_id,sort_id,surface_item_id,surface_item_value,produce_time,production_count_max,price/0/price_type,price/0/price_id,price/0/price_value,price/1/price_type,price/1/price_id,price/1/price_value,price/2/price_type,price/2/price_id,price/2/price_value,unlock_condition_array/0/unlock_condition_type,unlock_condition_array/0/unlock_condition_id,unlock_condition_array/0/unlock_condition_category_locale,unlock_condition_array/0/unlock_condition_desc_locale,unlock_condition_array/1/unlock_condition_type,unlock_condition_array/1/unlock_condition_id,unlock_condition_array/1/unlock_condition_category_locale,unlock_condition_array/1/unlock_condition_desc_locale
4000001,4,4001,204001001,1,10,0,SurfaceItemMaterial,204007001,1,SurfaceCurrency,104000002,18750,SurfaceCurrency,104000003,18750,None,0,,,None,0,,
4000002,4,4002,204001002,1,600,0,SurfaceItemMaterial,204007002,1,SurfaceCurrency,104000002,78750,SurfaceCurrency,104000003,78750,SurfaceFactoryunlock_SectorOpen,4001002,Locale_Surface:SURFACE_FACTORY_UNLOCK_CONDITION_CATEGORY_01,Locale_Surface:SURFACE_UNLOCK_CONDITION_SECTOR_OPEN_2,None,0,,
4000003,4,4003,204001003,1,7200,0,SurfaceItemMaterial,204007003,1,SurfaceCurrency,104000002,210000,SurfaceCurrency,104000003,210000,SurfaceFactoryunlock_SectorOpen,4001003,Locale_Surface:SURFACE_FACTORY_UNLOCK_CONDITION_CATEGORY_01,Locale_Surface:SURFACE_UNLOCK_CONDITION_SECTOR_OPEN_3,None,0,,
4000004,4,4004,204001004,1,43200,0,SurfaceItemMaterial,204007004,1,SurfaceCurrency,104000002,315000,SurfaceCurrency,104000003,315000,SurfaceFactoryunlock_SectorOpen,4001004,Locale_Surface:SURFACE_FACTORY_UNLOCK_CONDITION_CATEGORY_01,Locale_Surface:SURFACE_UNLOCK_CONDITION_SECTOR_OPEN_4,None,0,,
4000101,4,4007,204002001,1,10,0,SurfaceCurrency,104000004,2000,None,0,0,None,0,0,None,0,Locale_Surface:SURFACE_FACTORY_UNLOCK_CONDITION_CATEGORY_01,,None,0,,
4000102,4,4008,204002002,1,120,0,SurfaceCurrency,104000004,4000,None,0,0,None,0,0,SurfaceFactoryunlock_SectorOpen,4001002,Locale_Surface:SURFACE_FACTORY_UNLOCK_CONDITION_CATEGORY_01,Locale_Surface:SURFACE_UNLOCK_CONDITION_SECTOR_OPEN_2,None,0,,
4000103,4,4009,204002003,1,1440,0,SurfaceCurrency,104000004,6000,None,0,0,None,0,0,SurfaceFactoryunlock_SectorOpen,4001003,Locale_Surface:SURFACE_FACTORY_UNLOCK_CONDITION_CATEGORY_01,Locale_Surface:SURFACE_UNLOCK_CONDITION_SECTOR_OPEN_3,None,0,,
4000104,4,4010,204002004,1,8640,0,SurfaceCurrency,104000004,8000,None,0,0,None,0,0,SurfaceFactoryunlock_SectorOpen,4001004,Locale_Surface:SURFACE_FACTORY_UNLOCK_CONDITION_CATEGORY_01,Locale_Surface:SURFACE_UNLOCK_CONDITION_SECTOR_OPEN_4,None,0,,
4000201,4,4013,204003001,1,10,0,SurfaceCurrency,104000002,20000,SurfaceCurrency,104000003,12000,None,0,0,None,0,,,None,0,,
4000202,4,4014,204003002,1,300,0,SurfaceCurrency,104000002,40000,SurfaceCurrency,104000003,24000,None,0,0,SurfaceFactoryunlock_SectorOpen,4001002,Locale_Surface:SURFACE_FACTORY_UNLOCK_CONDITION_CATEGORY_01,Locale_Surface:SURFACE_UNLOCK_CONDITION_SECTOR_OPEN_2,None,0,,
4000203,4,4015,204003003,1,3600,0,SurfaceCurrency,104000002,80000,SurfaceCurrency,104000003,48000,None,0,0,SurfaceFactoryunlock_SectorOpen,4001003,Locale_Surface:SURFACE_FACTORY_UNLOCK_CONDITION_CATEGORY_01,Locale_Surface:SURFACE_UNLOCK_CONDITION_SECTOR_OPEN_3,None,0,,
