id,payback_id,step,gacha_count,reward_id
201,2,1,20,19000201
202,2,2,60,19000202
203,2,3,100,19000203
204,2,4,140,19000204
205,2,5,180,19000205
206,2,6,220,19000206
207,2,7,260,19000207
208,2,8,300,19000208
209,2,9,370,19000209
210,2,10,440,19000210
211,2,11,520,19000211
212,2,12,600,19000212
213,2,13,700,19000213
301,3,1,20,19000301
302,3,2,60,19000302
303,3,3,100,19000303
304,3,4,140,19000304
305,3,5,180,19000305
306,3,6,220,19000306
307,3,7,260,19000307
308,3,8,300,19000308
309,3,9,370,19000309
310,3,10,440,19000310
311,3,11,520,19000311
312,3,12,600,19000312
313,3,13,700,19000313
401,4,1,20,19000401
402,4,2,60,19000402
403,4,3,100,19000403
404,4,4,140,19000404
405,4,5,180,19000405
406,4,6,220,19000406
407,4,7,260,19000407
408,4,8,300,19000408
409,4,9,370,19000409
410,4,10,440,19000410
411,4,11,520,19000411
412,4,12,600,19000412
413,4,13,700,19000413
