id,random_group_id,option_type/0/option_type,option_type/1/option_type,option_type/2/option_type
110000,9110000,ELYSION,None,None
112100,9112100,ELYSION,Attacker,None
112131,9112131,ELYSION,Attacker,Module_A
112132,9112132,ELYSION,Attacker,Module_B
112133,9112133,ELYSION,Attacker,Module_C
112134,9112134,ELYSION,Attacker,Module_D
112200,9112200,ELYSION,Defender,None
112231,9112231,ELYSION,Defender,Module_A
112232,9112232,ELYSION,Defender,Module_B
112233,9112233,ELYSION,Defender,Module_C
112234,9112234,ELYSION,Defender,Module_D
112300,9112300,ELYSION,Supporter,None
112331,9112331,ELYSION,Supporter,Module_A
112332,9112332,ELYSION,Supporter,Module_B
112333,9112333,ELYSION,Supporter,Module_C
112334,9112334,ELYSION,Supporter,Module_D
120000,9120000,MISSILIS,None,None
122100,9122100,MISSILIS,Attacker,None
122131,9122131,MISSILIS,Attacker,Module_A
122132,9122132,MISSILIS,Attacker,Module_B
122133,9122133,MISSILIS,Attacker,Module_C
122134,9122134,MISSILIS,Attacker,Module_D
122200,9122200,MISSILIS,Defender,None
122231,9122231,MISSILIS,Defender,Module_A
122232,9122232,MISSILIS,Defender,Module_B
122233,9122233,MISSILIS,Defender,Module_C
122234,9122234,MISSILIS,Defender,Module_D
122300,9122300,MISSILIS,Supporter,None
122331,9122331,MISSILIS,Supporter,Module_A
122332,9122332,MISSILIS,Supporter,Module_B
122333,9122333,MISSILIS,Supporter,Module_C
122334,9122334,MISSILIS,Supporter,Module_D
130000,9130000,TETRA,None,None
132100,9132100,TETRA,Attacker,None
132131,9132131,TETRA,Attacker,Module_A
132132,9132132,TETRA,Attacker,Module_B
132133,9132133,TETRA,Attacker,Module_C
132134,9132134,TETRA,Attacker,Module_D
132200,9132200,TETRA,Defender,None
132231,9132231,TETRA,Defender,Module_A
132232,9132232,TETRA,Defender,Module_B
132233,9132233,TETRA,Defender,Module_C
132234,9132234,TETRA,Defender,Module_D
132300,9132300,TETRA,Supporter,None
132331,9132331,TETRA,Supporter,Module_A
132332,9132332,TETRA,Supporter,Module_B
132333,9132333,TETRA,Supporter,Module_C
132334,9132334,TETRA,Supporter,Module_D
140000,9140000,PILGRIM,None,None
142100,9142100,PILGRIM,Attacker,None
142131,9142131,PILGRIM,Attacker,Module_A
142132,9142132,PILGRIM,Attacker,Module_B
142133,9142133,PILGRIM,Attacker,Module_C
142134,9142134,PILGRIM,Attacker,Module_D
142200,9142200,PILGRIM,Defender,None
142231,9142231,PILGRIM,Defender,Module_A
142232,9142232,PILGRIM,Defender,Module_B
142233,9142233,PILGRIM,Defender,Module_C
142234,9142234,PILGRIM,Defender,Module_D
142300,9142300,PILGRIM,Supporter,None
142331,9142331,PILGRIM,Supporter,Module_A
142332,9142332,PILGRIM,Supporter,Module_B
142333,9142333,PILGRIM,Supporter,Module_C
142334,9142334,PILGRIM,Supporter,Module_D
150000,9150000,ABNORMAL,None,None
152100,9152100,ABNORMAL,Attacker,None
152131,9152131,ABNORMAL,Attacker,Module_A
152132,9152132,ABNORMAL,Attacker,Module_B
152133,9152133,ABNORMAL,Attacker,Module_C
152134,9152134,ABNORMAL,Attacker,Module_D
152200,9152200,ABNORMAL,Defender,None
152231,9152231,ABNORMAL,Defender,Module_A
152232,9152232,ABNORMAL,Defender,Module_B
152233,9152233,ABNORMAL,Defender,Module_C
152234,9152234,ABNORMAL,Defender,Module_D
152300,9152300,ABNORMAL,Supporter,None
152331,9152331,ABNORMAL,Supporter,Module_A
152332,9152332,ABNORMAL,Supporter,Module_B
152333,9152333,ABNORMAL,Supporter,Module_C
152334,9152334,ABNORMAL,Supporter,Module_D
210000,9210000,Attacker,None,None
213100,9213100,Attacker,Module_A,None
213200,9213200,Attacker,Module_B,None
213300,9213300,Attacker,Module_C,None
213400,9213400,Attacker,Module_D,None
220000,9220000,Defender,None,None
223100,9223100,Defender,Module_A,None
223200,9223200,Defender,Module_B,None
223300,9223300,Defender,Module_C,None
223400,9223400,Defender,Module_D,None
230000,9230000,Supporter,None,None
233100,9233100,Supporter,Module_A,None
233200,9233200,Supporter,Module_B,None
233300,9233300,Supporter,Module_C,None
233400,9233400,Supporter,Module_D,None
310000,9310000,Module_A,None,None
320000,9320000,Module_B,None,None
330000,9330000,Module_C,None,None
340000,9340000,Module_D,None,None
