id,manager_id,upgrade_group_order,upgrade_group_icon,upgrade_target_type,upgrade_target_tower_group_id,upgrade_list_group_id
100101,1001,1,icn_upgrade_group_guntower,NormalTower,1001101.0,100101
100102,1001,2,icn_upgrade_group_pulseguntower,NormalTower,1001102.0,100102
100103,1001,3,icn_upgrade_group_cannontower,NormalTower,1001103.0,100103
100104,1001,4,icn_upgrade_group_icecannontower,NormalTower,1001104.0,100104
100105,1001,5,icn_upgrade_group_herotower,HeroTower,,100105
100106,1001,6,icn_upgrade_group_global,Global,,100106
100201,1002,1,icn_upgrade_group_guntower,NormalTower,1002101.0,100201
100202,1002,2,icn_upgrade_group_pulseguntower,NormalTower,1002102.0,100202
100203,1002,3,icn_upgrade_group_cannontower,NormalTower,1002103.0,100203
100204,1002,4,icn_upgrade_group_icecannontower,NormalTower,1002104.0,100204
100205,1002,5,icn_upgrade_group_herotower,HeroTower,,100205
100206,1002,6,icn_upgrade_group_global,Global,,100206
