Key,Value
sub_quest_description_1011,Chapter 2 - Help Chilipepper Investigate
sub_quest_description_1021,Chapter 2 - Collect Rapture Parts for the Collector
sub_quest_description_1031,Chapter 2 - Battle for the Video
sub_quest_description_1091,Chapter 3 - Help Cervan Investigate
sub_quest_description_1061,Chapter 3 - Help Treasure Hunter Investigate
sub_quest_description_1101,Chapter 3 - Help Raptilion Investigate
sub_quest_description_1062,Chapter 4 - Help Treasure Hunter Investigate
sub_quest_description_1081,Chapter 4 - Battle for the Photo
sub_quest_description_1102,Chapter 4 - Help Raptilion Investigate
sub_quest_description_1041,Chapter 5 - Help Central Government Investigate
sub_quest_description_1051,Chapter 5 - Activate Central Power Unit for Ghost
sub_quest_description_1103,Chapter 5 - Help Raptilion Investigate
sub_quest_description_1092,Chapter 6 - Meet with Cervan
sub_quest_description_1201,Chapter 6 - Complete Coree's Assignment
sub_quest_description_1104,Chapter 6 - Meet with Raptilion
sub_quest_description_1093,Chapter 7 - Collect a Flower for Cervan
sub_quest_description_1042,Chapter 7 - Help Central Government Investigate
sub_quest_description_1105,Chapter 7 - Meet with Raptilion
sub_quest_description_1012,Chapter 8 - Help Chilipepper Investigate
sub_quest_description_1022,Chapter 8 - Meet with the Collector
sub_quest_description_1111,Chapter 8 - Help the Old Man Investigate
sub_quest_description_1063,Chapter 9 - Help Treasure Hunter Investigate
sub_quest_description_1191,Chapter 9 - Search for Volt Jr.
sub_quest_description_1281,Chapter 9 - Battle for the Work Record
sub_quest_description_1121,Chapter 10 - Search for a Four-Leaf Clover
sub_quest_description_1151,Chapter 10 - Help Spade Investigate
sub_quest_description_1211,Chapter 10 - Help Roam Investigate
sub_quest_description_1131,Chapter 11 - Collect Food From the Surface
sub_quest_description_1141,Chapter 11 - Search for Parts With Pressure Sensors
sub_quest_description_1221,Chapter 11 - Meet With Music Aficionado's Instructor
sub_quest_description_1161,Chapter 12 - Battle for the Video
sub_quest_description_1171,Chapter 12 - Investigate the Strange Message
sub_quest_description_1181,Chapter 12 - Meet with Teddy
