Key,Value
memorial_01_name,A Man's Memoir
memorial_01_description,The memoirs of a man sequestered inside the bunker.
memorial_01_01_name,"February 7, XX."
memorial_01_01_description,"It's been four months since I entered this bunker.
There's only canned food, but at least there's enough to go around. There's a stable power supply as well.
I know the army will come to my rescue. All I have to do is wait.
They'll exterminate all those insect-like machines we call Raptures and take me away from this place.
Until that day comes, I have to hold on."
memorial_01_02_name,"August 21, XX."
memorial_01_02_description,"No one has come to my rescue.
Has the army been defeated?
That can't be. The TV said we were winning the war against the Raptures.
They just haven't found me yet.
I have to try to make the SOS signal stronger.
I'm a bit worried about the power, but help will be here soon enough. Everything will work out in the end."
memorial_01_03_name,"December 5, XX."
memorial_01_03_description,"Used up the last of the rations.
Plenty of power remaining, but electricity doesn't put food in my stomach.
It's time for me to go outside.
I wonder, have I been afraid of nothing this entire time?
All right, I'll go outside.
Perhaps people will interview me when they see me.
They'll tell me the war has been over for some time now, and I'll look like a right fool for staying in this bunker for as long as I have. 
I'm setting out tomorrow at sunrise.
I haven't seen another human being for ages. My stomach is already in knots."
memorial_02_name,Survival Guide 01
memorial_02_description,A guide to surviving on the surface. Author unknown.
memorial_02_01_name,1. How To Avoid Raptures
memorial_02_01_description,"Don't make any loud noises.
When conversing with others, keep your voice as low as possible.
Watch your footsteps and tread lightly.
Shooting is a guaranteed way of exposing yourself.
In other words, it's better to ignore armed marauders.
If you fire your gun, the first bullet that is ejected will seal your fate."
memorial_02_02_name,2. How to Secure Food
memorial_02_02_description,"Throw away everything but canned food.
Avoid areas nearby ponds.
If you want to go anywhere, don't move an inch until it's been 10 minutes since you last heard Rapture gunshots."
memorial_02_03_name,3. How To Sleep
memorial_02_03_description,"Never lie down unless you're in an enclosed space.
If at all possible, sleep with your body tied up.
This way, you won't move during sleep.
If someone you're with has a habit of talking in their sleep, snuggling up to them is the last thing you want to do. Keep your distance.
That way, your partner may be a goner, but at least you'll have a chance of surviving the night."
memorial_02_04_name,4. How To Deal With Strangers
memorial_02_04_description,"Trying to intimidate them with a weapon is useless.
If anything, it'll only be counterproductive if the people you're up against know about Tip No.1.
After you've gotten what you want out of them, go after their legs.
Raptures will only move on to the next location after clearing the other. This will buy you some time."
memorial_02_05_name,5. How To Keep Your Humanity
memorial_02_05_description,Get started on a good noose.
memorial_03_name,Call Log 017515
memorial_03_description,A call log left on a cell phone.
memorial_03_01_name,2:01 PM
memorial_03_01_description,"A: Honey, have you seen the TV? It's near our place.
B: Yeah, the whole area is crawling with soldiers. What a mess.
A: Really? This is all a bit unsettling...
B: But they haven't told us to take shelter or anything.
A: Well, don't go outside, just to be safe.
B: I won't. I'll stay home and tuck into a good book.
A: Okay. I'll call you later.
B: Okay."
memorial_03_02_name,03:42 PM
memorial_03_02_description,"B: Jesus, now they're sending in tanks?
A: Tanks?
B: More and more soldiers are gathering outside. Guess aliens really do exist.
A: Don't be ridiculous.
B: This is the first time I've seen something like this. Looks pretty serious.
A: Should we hide?
B: Why? You don't get to see this everyday."
memorial_03_03_name,4:17 PM
memorial_03_03_description,"B: Hello?
A: Are you all right?
B: I'm okay. I tried getting out as fast as possible, but something didn't feel right.
A: Get out of there now.
B: I can't. The roads have collapsed.
A: Well, you can't stay there! Use your legs!
B: I told you, I can't make it!
A: Well, what should we do then?!
B: I-I don't know.
A: Honey.
B: The soldiers are broadcasting something. I'll call you later."
memorial_03_04_name,6:08 PM
memorial_03_04_description,"A: Run! Those missiles they launched are heading straight for you!
B: What are you talking about? They told us to stand by.
A: The news just said the missiles are...
B: Ahhhh!!
A: Honey? Honey!
B: Wh-what is this? What are those things!
A: Honey!
B: Don't come any closer! Doooon't!!
A: Honey!
B: Ahhhhhhhh!!"
memorial_04_name,Ark Lottery Ticket
memorial_04_description,Text document written by someone.
memorial_04_01_name,1
memorial_04_01_description,I heard Henry downstairs has won the Ark Lottery. Unbelievable. That freeloader hasn't had a decent job his whole life. Some upstanding citizen he would make! Surely there's been a mistake.
memorial_04_02_name,2
memorial_04_02_description,"I checked, and the data is correct. Why not me? I asked them why Henry was the one who won, but they told me it was classified. Now I'm positive. Henry bribed someone at the lottery offices somehow. Becoming an Ark citizen is the greatest glory one can hope to achieve. Does he really think he can buy his way in there? Well, he better think again."
memorial_04_03_name,3
memorial_04_03_description,"I went to see Henry.
I told him it was a waste letting someone like him inside the Ark, and that he should give the lottery ticket to me.
Henry flashed that stupid grin that he's always got plastered on his face and said,
""Sorry, no can do.""
Damn him.
An ingrate like him doesn't deserve to go to the Ark."
memorial_04_04_name,4
memorial_04_04_description,"I got it.
The ticket had some stains, but I managed to get all the red out.
Now I can become a true Ark citizen.
Those with talent are the ones who should prosper
and contribute towards mankind.
All for humanity."
memorial_05_name,Goddess Squad Report
memorial_05_description,A short written report.
memorial_05_01_name,A
memorial_05_01_description,"Sent into battle immediately after retreat.
Result: A complete victory with an avg. damage rate of 2%."
memorial_05_02_name,B
memorial_05_02_description,"Carried out 20 operations in a two-week time span.
Result: 100% completion."
memorial_05_03_name,C
memorial_05_03_description,"Battled with Codename: Ultra
Result: Victory with an avg. damage rate of 72.3%."
memorial_05_04_name,D
memorial_05_04_description,"Stage-1 corruption confirmed
Result: Disposal."
memorial_05_05_name,E
memorial_05_05_description,"Executed Operation Ark Guardian.
Result: 72% of the target achieved."
memorial_06_name,Nikke Subject Recruitment
memorial_06_description,A poster of Lilith pointing forward into the distance.
memorial_06_01_name,Outline for Round 1 of Recruitment
memorial_06_01_description,"Humanity needs you.

Please contact the three manufacturer research centers nearby for more details."
memorial_06_02_name,Outline for Round 2 of Recruitment
memorial_06_02_description,"Are you doing your best for humanity?

Please contact the three manufacturer research centers nearby for more details.
*Eligibility Criteria: Adults aged 20-30."
memorial_06_03_name,Outline for Round 3 of Recruitment
memorial_06_03_description,"Your resolution is vital to the continuation of humanity.

Please contact the three manufacturer research centers nearby for more details.
*Eligibility Criteria: Females aged 10-25.
*No requirements for the health status.
*However, an extra examination will be performed by the research center if you have a brain disease."
memorial_07_name,Call Log 028594
memorial_07_description,A research insitute's call log.
memorial_07_01_name,10:01 AM
memorial_07_01_description,"A: Hello, this is the Missilis Research Institute.
B: I'm calling about donating... I'd like to become a Nikke.
A: Okay. Can I have your name, please?
B: Rachel Hope. H-O-P-E.
A: All right, Ms. Hope. One of our researchers will pay you a visit shortly.
B: So... Will I be turned into a member of the Goddesses? Like in the ad?
A: Of course. There's a high chance you'll become even more exceptional than that."
memorial_07_02_name,02:49 PM
memorial_07_02_description,"B: Hello, is this the Missilis Research Institute?
A: Yes.
B: My daughter, Rachel Hope, participated in a Nikke experiment not too long ago.
A: That's right.
B: Can you tell me what has become of the experiment?
A: I'm afraid we are not at liberty to disclose such military secrets.
B: But I'm her mother!
A: We're terribly sorry, but please understand."
memorial_07_03_name,11:39 AM
