Key,Value
skill_name_1001,Burst Skill
skill_name_1002,Skill 1
skill_name_1003,Skill 2
10_equipment_option_description,Increase ATK
11_equipment_option_description,Increase Recovery
20_equipment_option_description,Increase Hit Rate
incelementdmg_description,Increase Element Damage Dealt
stataccuracycircle_description,Increase Hit Rate
statammo_description,Increase Max Ammunition Capacity
statatk_description,Increase ATK
statchargedamage_description,Increase Charge Damage
statcriticaldamage_description,Increase Critical Rate
statdef_description,Increase DEF
stathpheal_description,Increase Max HP
drainhpbuff_description,HP Recovery From Attack Damage
statcritical_description,Increase Critical Damage
statchargetime_description,Increase Charge Speed
sk_name_buff_Shot_01,Buff Skill
sk_name_buff_Shot_02,Buff Skill
sk_name_buff_Shot_03,Buff Skill
sk_name_f_sc1_pe0_rl_pro,Rockets Away
sk_name_f_sc1_pe0_ar_ins,Rifle Blast
sk_name_f_sc4_pe0_ar_ins,Repeating Rifle
sk_name_f_sc1_pe0_sr_ins,Snipe
sk_name_f_sc1_pe1_sr_ins,Snipe (Pierce)
sk_name_m_sc1_pe0_rl_pro,Run and Launch
sk_name_m_sc1_pe0_ar_ins,Run and Gun
sk_name_m_sc4_pe0_ar_ins,Moving Volley
sk_name_m_sc1_pe0_sr_ins,Run and Snipe
sk_name_m_sc1_pe1_sr_ins,Run and Snipe (Pierce)
sk_name_m_sc2_pe0_ar_ins,Moving Volley
sk_name_f_sc4_pe0_rl_pro,Sniper Barrage
sk_name_harvester_Shot_01,Rapid-Fire Rifle
sk_name_harvester_Shot_02,Large Caliber Rifle
sk_name_harvester_Shot_03,Guided Explosive Missile
sk_name_harvester_Shot_05,Head Laser
sk_name_harvester_Shot_06,Signal for Help
sk_name_harvester_Shot_07,Spider Stamp
sk_name_harvester_Shot_04,Head Laser Ver.02
sk_name_blacksmith_Shot_01,Large Caliber Rifle
sk_name_blacksmith_Shot_02,Multi-Barrel Machine Gun
sk_name_blacksmith_Shot_03,Mechanical Mine Missile
sk_name_blacksmith_Shot_04,Highly Concentrated Particle Cannon
sk_name_blacksmith_Shot_05,Corrosive Tentacle
sk_name_blacksmith_Shot_06,Explosive Tentacle
sk_name_blacksmith_Shot_12,Curved Missile Launch
sk_name_blacksmith_Shot_13,Random Missiles
sk_name_landeater_Shot_01,Heavy Particle Cannon
