Key,Value
PREPARING,Preparing
TOUCH_ANYWHEARE,Tap to continue.
TOUCH_TO_NEXT,Tap to continue.
TOUCH_TO_NEXTCONTENTS,Tap to go to the following area.
TOUCH_TO_CLOSE_SCREEN,Tap to close.
TOUCH_TO_GET_REWARD,Tap to claim rewards.
PLEASE_TOUCH_NEXT,Tap the blank area to continue.
EMPTY_CHARACTER_INFO,No Nikke.
EMPTY_LIST_INFO,No match found.
EMPTY_ITEM_INFO,No items available.
NOT_CHOICE_ITEM,Selected item does not exist.
END,End
MAIN_LOBBY_MENU_NIKKE,Nikke
MAIN_LOBBY_MENU_PARTY,Squad
MAIN_LOBBY_MENU_LOBBY,Lobby
MAIN_LOBBY_MENU_INVENTORY,Inventory
MAIN_LOBBY_MENU_SUMMON,Recruit
CONFIRM,Confirm
YES,Yes
NO,No
ACCEPT,Accept
REJECT,Decline
APPLY,Apply
CANCEL,Cancel
RESET_SELECTION,Reset
CLOSE,Close
RETRY,Retry
RETRY_2,Retry
ERROR,Error
SYSTEM,System
CHEAT_RESULT,Cheat Result
MAX,Max
MIN,Min
MAX_ENG,Max
MIN_ENG,Min
SUM_RESULT,Total
PAUSE_EN,Pause
RETREAT_EN,Retreat
RETURN_EN,Return
MOVE,Move
SAVE,Save
BACK,Back
RECEIVE,Claim
RECEIVE_ALL,Claim All
NEXT,Continue
NEXT_STAGE,Next Stage
SKIP,SKIP
NOT_ENOUGH_CURRENCY,Not enough currency
NICKNAME,Nickname
ID,ID
SELL,Sell
BUY,Buy
BUY_NOW,Purchase Now
BUY_COMPLET,Purchase complete
ALREADY_BOUGHT,Purchased
COUNT,Quantity
BUY_COUNT,Buy Qty
SELL_COUNT,Sell Qty
NEED_CHARACTER,Required
GET_REWARD,Claim
GET_REWARD_02,Claim rewards
GET_REWARD_POSSIBILITY,Claimable
RECEIVE_REWARD,Claim
RECEIVE_REWARD_ALREADY,Reward Claimed
RECEIVE_REWARD_ALREADY_DESC,Rewards have already been claimed.
REWARD_ALREADY_OBTAINED_INFO,You already own this item.
REWARD_RECEIVED,Claimed
REWARD_RECEIVED_02,Claimed
REWARD_NOT_ENOUGH_CONDITION,Condition not met.
CONSUME,Consume
AUTO_SELECT,"Auto
Select"
DO_USE,Use
DO_USE_SMALL,Use
GET,Claimed
DETAIL_VIEW,View Details
DO_BUY,Buy
GO_SHORT_CUT,Go
LEVELUP,Upgrade
EQUIP,Equip
EQUIP_ING,Equipping
GO_HOME,Homepage
DO_CHANGE,Trade
GO_OUTPOST,Go to Outpost
GO_RECYCLE_ROOM,Go to Recycling Room
EQUIP_AUTO,Quick Equip
UNEQUIP_ALL,Unequip All
DAMAGE_DEALT_VALUE,Damage
PLAY_REWARD,Rewards
SHOW_INFO,Info
LEVEL_INIT,Level Reset
LV_INIT_COST,Level Reset Cost
LIST_REFRESH,Refresh List
BATTLE_LOG,Battle Records
NOT_UNLOCK,Unlock conditions not met
BATTLE_FIELD_INFO,Battlefield Info
CLEAR_INFO,Clear Info
NOW_LOCATION_SHORT_CUTS_BTN_DESC,Current Location
DAILY_REWARD,Daily Reward
SEASON_REWARD,Season Reward
FIXED_PARTY,Preset Squad
QUICK_BATTLE,Quick Battle
QUICK_BATTLE_DENIED_DESC,Not enough Power to launch Quick Battle.
QUICK_BATTLE_DENIED_DESC_2,Clear the stage at least once to activate Quick Battle.
QUICK_BATTLE_DENIED_DESC_3,Unable to launch Quick Battle in cleared or locked stages.
VIEW_RECORD,View Record
LOCK_FUNCTION,Locked Feature
LOCK_FUNCTION_DESC,Unlocks after the tutorial.
LOCK_FUNCTION_FULL,"Unavailable.
Unlocks after the tutorial."
TUTORIAL_SKIP,Do you want to skip the tutorial?
TUTORIAL_SKIP_SPOT,The tutorial is currently in progress. Skip anyway?
DUMMY,DUMMY
NOT_ENTRY,No Entry
REFRESH,Refreshed
NONE,None
GUIDE,Guide
START,Campaign
START_EN,Campaign
notice,Notice
confirm,Confirm
cancel,Cancel
MATCH_ING,Matching
CAUTION,Attention
COMPLETE,Confirm
COMPLETE_EN,Complete
CHANGE_COMPLETED,Changed
LOCK_BUTTON,Locked
READY_EN,Ready
CLOSED_EN,Closed
NICKNAME_CAUTION,Please note that the nickname should not be your real name.
NICKNAME_CAUTION_FREE_NICKNAME_CHANGE,"You can change your nickname in the game for free the first time.
Please don't use your real name as your nickname."
LANGUAGE_KR,Korean
LANGUAGE_EN,English
LANGUAGE_JP,Japanese
LANGUAGE_CH,Chinese
CHARGE,Paid
FREE,Free
NO_DATA_ENG,No Data
VERSION,Version
SLASH,/
CHAPTER,Chapter
NOT_ACHIEVED,Incomplete
QUIT,Quit
SEND,Send
SEND_COMPLETE,Sent
SELECT,Options
IS_ACTIVE,Active
IS_INACTIVE,Inactive
COST,Cost
SEASON_RESET,Season Reset
CONTENT_ACCESS_DENIED_TITLE,Unable to proceed
CONTENT_ACCESS_DENIED_DESC,"Events currently not available.
Returning to the lobby."
NEED_CONFRIM,Confirmation required
CLEAR_CACHE_BTN,Clear Cache
CLEAR_CACHE_DESC,Clear Cache?
HELP_TIP_TITLE,Help
DIFFICULTY,Difficulty
VALUE_OR_MORE,Above {0}
DENOMINATOR,Shared
THANKS_COMMANDER,"Thank you for your continued support, Commander!"
INFORMATION,Notice
NOTICE,Notice
TIME,Time
CASH,Gem
