Key,Value
d_main_01_01_s_1,"BA-01 down!
BA-01 down!"
d_main_01_01_s_2,"Please respond!
We've been shot down!"
d_main_01_01_s_3,"BA-01 down!
BA-01...!"
d_main_01_01_s_4,Useless piece of...!
d_main_01_01_s_5,Commander! I can't get through to the Ark!
d_main_01_01_s_6,... Commander?
d_main_01_01_s_7,...!!
d_main_01_01_s_8,No! You're going into cardiac arrest...!
d_main_01_01_s_9,A... AED...! AED!
d_main_01_01_s_10,Charging...!
d_main_01_01_s_11,Clear!
d_main_01_01_s_12,*Thump*
d_main_01_01_s_13,!!
d_main_01_01_s_14,Commander! Are you okay?
d_main_01_01_s_15,Can you hear me? Smile if you can hear me!
d_main_01_01_s_16,"All right, all right, I smiled."
d_main_01_01_s_17,Finally! Can you tell me which section you're from?
d_main_01_01_s_18,Central Government. Nikke Management Department.
d_main_01_01_s_19,"All right then, up and at 'em. Raise your arms up."
d_main_01_01_s_20,Okay.
d_main_01_01_s_21,STR cleared!
d_main_01_01_s_22,Great...! Everything is normal!
d_main_01_01_s_23,"Commander, can you hear me?"
d_main_01_01_s_24,We were attacked en route to our destination. The transport ship is down.
d_main_01_01_s_25,Any Rapture within a hundred-mile radius must have heard that explosion and is headed our way.
d_main_01_01_s_26,"I realize this is all a bit sudden, but I am now under your command. You're giving the orders."
d_main_01_01_s_27,Can you do it?
d_main_01_01_s_28,I'll give it a shot.
d_main_01_01_s_29,"Yes, Commander!"
d_main_01_01_s_30,Time to get to work. Keep your head down.
d_main_01_01_s_31,Please don't worry.
d_main_01_01_s_32,I will protect you
d_main_01_01_s_33,no matter what happens.
d_main_01_01_s_34,"Marian, activating combat mode."
d_main_01_01_s_35,... Engaging!
d_main_01_01_e_1,All enemies down! Transitioning to non-combat state.
d_main_01_01_e_2,...
d_main_01_01_e_3,Argh... My leg...
d_main_01_01_e_4,Are you hurt?
d_main_01_01_e_5,"I suppose you could say that. Hurt, or rather... malfunctioning?"
d_main_01_01_e_6,"Either way, my mobility hasn't been affected."
d_main_01_01_e_7,I start bandaging Marian's leg.
d_main_01_01_e_8,Um... Commander... This isn't of much use to a Nikke.
d_main_01_01_e_9,...
d_main_01_01_e_10,"Nonetheless, I... appreciate the gesture. Thank you, Commander."
d_main_01_01_e_11,I thought you'd be more of a rough and tumble kind of person.
d_main_01_01_e_12,Let's keep moving. The rendezvous point should be close by.
d_main_01_02_1,We're almost there. Are you feeling all right?
d_main_01_02_2,"A little dizzy, but I'm fine."
d_main_01_02_3,"Your heart had stopped back there, but I managed to resuscitate you."
d_main_01_02_4,"If you're tired of walking, I can carry you."
d_main_01_02_5,I'm okay.
d_main_01_02_6,"It's nothing, really. Carrying you is like lifting a feather for me."
d_main_01_02_7,Come on.
d_main_01_02_8,I can walk by myself. Don't worry.
d_main_01_02_9,If you insist...
d_main_01_02_10,In that case...
d_main_01_02_11,Marian approaches and grabs your arm.
d_main_01_02_12,At least hold onto me a bit.
d_main_01_02_13,Let me know if you need a rest.
d_main_01_02_14,... I'll keep that in mind.
d_main_01_02_15,Roger.
d_main_01_02_16,Let's keep moving then.
d_main_01_02_17,...
d_main_01_02_18,We've got Raptures up ahead.
d_main_01_02_19,I don't see any way around them.
d_main_01_02_20,Stay here and wait for me.
d_main_01_02_21,This will all be over soon.
d_main_01_03_s_1,It should be somewhere around here...
d_main_01_03_s_2,Huh? Where is everyone?
d_main_01_03_s_3,Did the plan change after the transport ship crashed?
d_main_01_03_s_4,*Rat-tat-tat-tat*
d_main_01_03_s_5,!!
d_main_01_03_s_6,Gunfire!
d_main_01_03_s_7,Let's go check it out!
d_main_01_03_s_8,How long are we going to wait here?!
d_main_01_03_s_9,Until they come.
d_main_01_03_s_10,We're sitting ducks out here!
d_main_01_03_s_11,We'll wait until they come.
d_main_01_03_s_12,Did you not see how hard they went down?!
d_main_01_03_s_13,You saw that explosion! What are the odds of them coming out of that alive?
d_main_01_03_s_14,We haven't received any confirmation of death.
d_main_01_03_s_15,"What, so we're waiting here until we do?"
d_main_01_03_s_16,This is the rendezvous point. Leaving here would throw a wrench into the works.
d_main_01_03_s_17,This is absurd!
d_main_01_03_s_18,Everyone!
d_main_01_03_s_19,Ah! You scared me!
d_main_01_03_s_20,!!
