Key,Value
PRODUCT_MONTHLY_AMOUNT_NORMAL_NAME,30-Day Supply
PRODUCT_MONTHLY_AMOUNT_SPECIAL_NAME,30-Day Premium Supply
PRODUCT_MONTHLY_AMOUNT_NORMAL_REWARD_INFO,30-Day Supply Daily Reward
PRODUCT_MONTHLY_AMOUNT_SPECIAL_REWARD_INFO,30-Day Premium Supply Daily Reward
PRODUCT_MONTHLY_AMOUNT_DESC,"This item lasts for 30 days. You will receive your reward immediately after purchase, and you will receive a daily reward when you log in to the game each day. If you do not log in to the game, you will not be rewarded."
NOTICE_POPUP_PACKAGE_PRODUCT_CLOSE,"If you close the pop-up, the item will be moved to the Limited Package Shop and will no longer be available once the remaining time runs out."
PRODUCT_CAMPAIGN_PACKAGE_01_NAME,Surface Retrieval Support I
PRODUCT_CAMPAIGN_PACKAGE_02_NAME,Surface Retrieval Support II
PRODUCT_CAMPAIGN_PACKAGE_01_DESC,"Rewards will be issued based on your progress in Campaign Chapters 1–10. 
You will receive corresponding rewards immediately after purchase.
※ This package contains <color=#0EA0FF>Free</color> Gems."
PRODUCT_CAMPAIGN_PACKAGE_02_DESC,"Rewards will be issued based on your progress in Campaign Chapters 11–14.
You will receive corresponding rewards immediately after purchase.
※ This package contains <color=#0EA0FF>Free</color> Gems."
CASH_SHOP_PRODUCT_NAME,{product_value} Gem(s)
CASH_SHOP_PRODUCT_DESCRIPTION,"The gems shine forever.
No matter how dark the world is, they never lose their radiance.

Free Gems are consumed first during recruitment and shopping.
If there are insufficient Free Gems, Paid Gems are used automatically instead."
PACKAGESHOP_PRODUCT_DESC,"Items sold by the Central Government.
They're reliable, stable, and of good quality.
※ This package contains <color=#0EA0FF>Free</color> Gems."
PACKAGESHOP_PRODUCT_WITHOUT_CASH_DESC,"Items sold by the Central Government.
They're reliable, stable, and of good quality."
PACKAGESHOP_SERVEROPEN_PRODUCT_NAME,Recommended Package
PACKAGESHOP_PICKUP_PRODUCT_NAME,Pick-Up Package
PACKAGESHOP_LIMIT_PRODUCT_NAME,Limited Package
PACKAGESHOP_DAILY_PRODUCT_NAME,Daily Package
PACKAGESHOP_WEEKLY_PRODUCT_NAME,Weekly Package
PACKAGESHOP_MONTHLY_PRODUCT_NAME,Monthly Package
PACKAGESHOP_SERVEROPEN_PRODUCT_01_NAME,First Encounter I
PACKAGESHOP_SERVEROPEN_PRODUCT_02_NAME,First Encounter II
PACKAGESHOP_SERVEROPEN_PRODUCT_03_NAME,First Encounter III
PACKAGESHOP_SERVEROPEN_PRODUCT_04_NAME,First Encounter IV
