Key,Value
swimsuit_2022_name,Summer Business
cbt_2022_name,White Promise
daily_2022_category,Halcyon Days
winter_2022_category,Snow Crystal
party_2023_category,Sunrise Party
valentine_2023_category,Sweet Dream
bunny_category,Bunny Kiss
car_racer_category,Engine of Dreams
ce_02_category,YoRHa
halloween_category,Halloween Night
abnormal_category,Abnormal Wear
awakeningfate_category,Awakening Fate
anotherdream_category,Another Dream
swimsuit_2022_description,Even the sweltering summer heat can't stop them from working.
cbt_2022_description,"The symbol of a promise, sewn with white thread."
daily_2022_description,"The peaceful, everyday lives of Nikkes away from the battlefield."
winter_2022_description,Miraculous snow crystals from above.
party_2023_description,"New day, new clothes, new mood."
valentine_2023_description,Sweet and bitter—sumptuous combination of opposing flavors.
bunny_description,Who'll be the lucky fella to get a kiss from the bunnies?
car_racer_description,Together with the heart-fluttering engine.
ce_02_description,Glory to mankind.
halloween_description,Enjoy a spooky night with some mischievous companions.
abnormal_description,For special guests who come to this world.
awakeningfate_description,The path of fate finally awakens.
anotherdream_description,"Amidst the fantasy, their presence appears dreamlike."
82_01_costume_name,Guardfish
costume_name_142_swimsuit_2022,Sea of Sloth
142_01_costume_name,Sea of Sloth
costume_name_201_swimsuit_2022,Sunrise Market
131_01_costume_name,Ocean Vitamin
10_02_costume_name,Classic Vacation
201_01_costume_name,Sunrise Market
350_01_costume_name,A Pirate's Heart
181_02_costume_name,Under The Sun
400_01_costume_name,Wave of Disbelief
112_02_costume_name,Shine of Love
350_02_costume_name,Mast the Diver
351_01_costume_name,Anchor the Diver
80_02_costume_name,Ocean Repair
192_02_costume_name,Sunblaze
16_01_costume_name,Red Flavor
costume_name_10_CBT_2022,White Promise
10_01_costume_name,White Promise
160_01_costume_name,Pretty in Pink
11_01_costume_name,Bling Bullet
30_01_costume_name,Sweet Holic
70_01_costume_name,Model Worker
72_01_costume_name,Strawberry Flower
72_02_costume_name,Black Sunday
102_01_costume_name,Mechanic White
181_01_costume_name,Covert Nurse
170_01_costume_name,Government Grunt
141_01_costume_name,Extreme Fighter
80_01_costume_name,Supreme Holiday
430_01_costume_name,Cherry Blossom Stage
800_01_costume_name,Coat Off
191_01_costume_name,Sweet Home
90_02_costume_name,Office Therapy
282_01_costume_name,Midnight Stealth
260_01_costume_name,First Affection
70_02_costume_name,Black Moon
271_01_costume_name,Black Rabbit
270_01_costume_name,White Rabbit
140_02_costume_name,Wild Backyard
210_02_costume_name,Gamer
280_01_costume_name,Ms. Dangerous
30_02_costume_name,Cheer Up Police
220_01_costume_name,White Knight
450_01_costume_name,Elegant Date
451_01_costume_name,Lovely Date
321_01_costume_name,School Days
382_01_costume_name,Zoo Keeper
32_01_costume_name,Thief of Justice
192_01_costume_name,Baseball Fan
225_01_costume_name,Longing Flower
390_01_costume_name,First Festa
391_01_costume_name,Handmade Festa
450_02_costume_name,Last Girlhood
352_02_costume_name,Post-Shower Moment
381_01_costume_name,Spring Puppy
451_02_costume_name,Sweet Chef
310_01_costume_name,Maid In Spring
514_01_costume_name,Beautiful You
511_02_costume_name,Beautiful Me
162_01_costume_name,Pain Eater
270_02_costume_name,No. 77 Batter
271_02_costume_name,Baseball Cheerleader
281_01_costume_name,Off-Duty Queen
170_03_costume_name,Destined in Blue
150_02_costume_name,Summer Romance
95_01_costume_name,Day Off
90_01_costume_name,Color me Red
210_01_costume_name,Joy to the Nerds
212_01_costume_name,Penguin Holmes
150_01_costume_name,Mild Nocturne
140_01_costume_name,Hard-Boiled
352_01_costume_name,Chandelier
202_01_costume_name,Dark Rose
170_02_costume_name,Banquet Princess
230_01_costume_name,Banquet Witch
233_01_costume_name,Nostalgia
82_02_costume_name,Cute Sunflower
180_01_costume_name,Dark Tracer
430_02_costume_name,Classic Diva
72_04_costume_name,Midnight Strawberry
470_01_costume_name,Nonsense Red
43_01_costume_name,Secret Party Cleaner
231_01_costume_name,Honeymoon Party
511_01_costume_name,Glass Princess
513_01_costume_name,Abyss Flower
22_01_costume_name,Dramatic Chocolate
101_02_costume_name,Maid For Villain
501_01_costume_name,Sweet Step
401_01_costume_name,Backstreet Dream
112_01_costume_name,Toxic Rabbit
200_01_costume_name,Rabbit Deluxe
242_01_costume_name,Moist Rabbit
130_01_costume_name,Medical Rabbit
210_03_costume_name,Hacker Rabbit
101_01_costume_name,Villain Racer
810_01_costume_name,Metamorphic Damage
810_02_costume_name,YoRHa Uniform 1
811_01_costume_name,Metamorphic Damage
811_02_costume_name,YoRHa Uniform Prototype
810_03_costume_name,YoRHa Unofficial Waterfront Gear I
811_03_costume_name,YoRHa Unofficial Waterfront Gear Prototype
212_02_costume_name,Detective Nurse
820_01_costume_name,Handy Maid
820_02_costume_name,Pure Blossom
821_01_costume_name,Clumsy Maid
821_02_costume_name,Spring Breeze
830_01_costume_name,Asuka's School Uniform
831_01_costume_name,Rei's School Uniform
832_01_costume_name,Mari's School Uniform
830_02_costume_name,Cynical Street
831_02_costume_name,Peaceful Vacation
832_02_costume_name,Leisure Travel
830_03_costume_name,Test Plugsuit
834_01_costume_name,Miss Lookalike from Village-3
834_02_costume_name,Soul Connect
835_01_costume_name,Final Battle: Asuka
835_02_costume_name,Ocean's Lament
832_03_costume_name,Final Battle: Mari
832_04_costume_name,Mystery Muse
850_01_costume_name,Keyhole Dress
850_02_costume_name,Neurolink Suit
850_03_costume_name,Skin Suit
851_01_costume_name,Planet Diving Suit (6th) V2
851_02_costume_name,Midsummer Alice
222_01_costume_name,Racer's High
330_01_costume_name,Naked King
260_02_costume_name,Second Affection
431_01_costume_name,Beat the Gun
91_01_costume_name,Ark Mage
obtain_costume_event_shop,"{0} costume.
Obtained from the Event Shop."
obtain_costume_costume_shop,"{0} costume.
Obtained from the Costume Shop."
obtain_costume_cbt_player,"{0} costume.
Obtained from CBT Special Costume."
obtain_mission_pass,"{0} costume.
Obtained from a Mission Pass."
obtiain_event_pass,"{0} costume.
Obtained from an Event Pass."
obtain_package_shop,"{0} costume.
Obtained from a package."
10_1_description,"Rapi costume.
Obtained from the CBT Special Costume."
11_1_description,"Neon costume.
Obtained from a package."
30_1_description,"Poli costume.
Obtained from the Costume Shop."
70_1_description,"Brid costume.
Obtained from the Costume Shop."
102_1_description,"Maxwell costume.
Obtained from a Mission Pass."
72_2_description,"Diesel costume.
Obtained from a Mission Pass."
181_1_description,"Maiden costume.
Obtained from the Costume Shop."
90_1_description,"Emma costume.
Obtained from an Event Pass."
210_1_description,"Exia costume.
Obtained from the Costume Shop."
