Key,Value
EStageType/None,Destroy
EStageType/Extermination,Destroy
EStageType/Boss,Boss
EStageType/Defense,Defense Battle
EStageType/Survive,Survive
EStageType/Destroy,Sabotage
EStageType/Escape,Retreat
EStageType/Intercept,Interception
EStageType/ShootingRange,Shooting Range
EStageType/WorldRaid,Union Raid
EStageType/SoloRaid,Solo Raid
EStageType/BaseDefense,Base Defense
EStageTypeEng/Boss,BOSS STAGE
EStageTypeEng/Defense,OBSTRUCTION
EStageTypeEng/BaseDefense,BASE DEFENSE
EStageDescription/None,Defeat target Rapture.
EStageDescription/Extermination,Defeat target Rapture.
EStageDescription/Boss,Defeat Boss Rapture
EStageDescription/Defense,Prevent Raptures from advancing
EStageDescription/Survive,Stay alive for the allotted time period
EStageDescription/Destroy,Sabotage the target
EStageDescription/Intercept,Defeat target Rapture.
EStageDescription/ShootingRange,Undergo training
EStageDescription/BaseDefense,Defend the target zone to your last breath
EStageDescription/WorldRaid,Defeat target Rapture.
EStageDescription/SolodRaid,Defeat target Rapture.
EStageDetail/None,■ Win by defeating target
EStageDetail/Extermination,■ Win by defeating target
EStageDetail/Defense,■ Win by preventing enemies from advancing within the time limit
EStageDetail/BaseDefense,"■ Increase occupation percentage by killing enemies or keeping the defense zone empty
■ Win by keeping occupation percentage above 50% when the time ends
■ Win by increasing occupation percentage to 100%"
EStageDetail/WorldRaid,Attack target
EStageDetail/SoloRaid,Attack target
stage_purpose_desc_0101,Defeat target
stage_purpose_desc_0102,Defeat target
stage_purpose_desc_0103,Defeat target
stage_purpose_desc_0104,Defeat target
stage_purpose_desc_0105,Defeat target
stage_purpose_desc_0106,Defeat target
stage_purpose_desc_0909,Defeat target
stage_field_auto_position,Auto Formation
stage_field_battle_start,Start Battle
stage_clear_purpose,Clear Goal
stage_field_platoon_set_position,Select the area to deploy your squad.
stage_field_limit_time,Time remaining
stage_field_pause_retreat,RETREAT
stage_field_pause_return,RETURN
stage_field_retreat,Go back to the lobby?
stage_field_platoon_select,Select the squad to deploy.
stage_field_platoon_change,Select the replacement squad.
stage_field_platoon_already,This squad has already been deployed on the field.
stage_field_spot_link_platoon_power,SQUAD POWER
stage_field_spot_link_monster_power,Target Power
stage_field_spot_link_shooter_power,Elite Nikke Power
stage_field_spot_link_boss_power,Elite Target Power
stage_field_spot_link_recommend_power,Recommended Combat Power
stage_field_platoon_not_enought,"Deployment is not complete.
Are you sure to proceed?"
stage_field_spot_link_battle,Spot Battle
stage_field_platoon_change_already,"Squad has been deployed.
Do you wish to swap?"
stage_field_platoon_null,"No squad deployed.
Please deploy a squad."
stage_token_statup_value,"{0} {1}% up, {2} {3}% up, {4} {5}% up, {6} {7}% up"
stage_character_lv_info,Fixed at Lv. {0}
stage_character_lv_info_limit,Level Limit: Lv. {0}
stage_not_encounter_message,Enter combat after Encounter.
chapter_list_number_001,CHAPTER. 01
chapter_list_number_002,CHAPTER. 02
chapter_list_number_003,CHAPTER. 03
chapter_list_number_004,CHAPTER. 04
chapter_list_number_005,CHAPTER. 05
chapter_list_number_006,CHAPTER. 06
chapter_list_number_007,CHAPTER. 07
chapter_list_number_008,CHAPTER. 08
chapter_list_number_009,CHAPTER. 09
chapter_list_number_010,CHAPTER. 10
chapter_list_number_011,CHAPTER. 11
chapter_list_number_012,CHAPTER. 12
chapter_list_number_013,CHAPTER. 13
chapter_list_number_014,CHAPTER. 14
chapter_list_number_015,CHAPTER. 15
chapter_list_number_016,CHAPTER. 16
chapter_list_number_017,CHAPTER. 17
chapter_list_number_018,CHAPTER. 18
chapter_list_number_019,CHAPTER. 19
chapter_list_number_020,CHAPTER. 20
chapter_list_number_021,CHAPTER. 21
chapter_list_number_022,CHAPTER. 22
chapter_list_number_023,CHAPTER. 23
chapter_list_number_024,CHAPTER. 24
chapter_list_number_025,CHAPTER. 25
chapter_list_number_026,CHAPTER. 26
chapter_list_number_027,CHAPTER. 27
chapter_list_number_028,CHAPTER. 28
6000001_name,0-1 STAGE
6000002_name,0-2 STAGE
6000003_name,0-3 BOSS
6001001_name,1-1 STAGE
6001002_name,1-2 STAGE
6001003_name,1-3 STAGE
6001004_name,1-4 BOSS
6001005_name,EX STAGE
6001006_name,EX STAGE
6001007_name,EX STAGE
6001008_name,EX STAGE
6001009_name,SUB 1-2 STAGE
6001010_name,SUB 1-3 STAGE
6001011_name,SUB 1-4 STAGE
6001012_name,SUB 1-5 STAGE
6001013_name,SUB 1-6 STAGE
6001014_name,SUB 1-3 STAGE
6001015_name,SUB 1-4 STAGE
6001016_name,SUB 1-5 STAGE
6001017_name,SUB 1-6 STAGE
6002001_name,2-1 STAGE
6002002_name,2-2 STAGE
6002003_name,2-3 STAGE
6002004_name,2-4 STAGE
6002005_name,2-5 STAGE
6002006_name,SUB 2-1 STAGE
6002007_name,SUB 2-2 STAGE
6002008_name,2-6 STAGE
6002009_name,2-7 STAGE
6002010_name,2-8 STAGE
6002011_name,2-9 STAGE
6002012_name,2-10 STAGE
6002013_name,2-11 STAGE
6002014_name,SUB 2-3 STAGE
6002015_name,SUB 2-4 STAGE
6002016_name,2-12 BOSS
6002017_name,SUB 2-5 STAGE
6002018_name,SUB 2-6 STAGE
6002019_name,EX STAGE
6003001_name,3-1 STAGE
6003002_name,3-2 STAGE
6003003_name,3-3 STAGE
6003004_name,3-4 STAGE
6003005_name,3-5 STAGE
6003006_name,SUB 3-1 STAGE
6003007_name,SUB 3-2 STAGE
6003008_name,SUB 3-3 STAGE
6003009_name,3-6 STAGE
6003010_name,3-7 STAGE
6003011_name,3-8 STAGE
6003012_name,3-9 STAGE
6003013_name,3-10 STAGE
6003014_name,3-11 STAGE
6003015_name,3-12 STAGE
6003016_name,3-13 STAGE
6003017_name,3-14 STAGE
6003018_name,SUB 3-4 STAGE
6003019_name,SUB 3-5 STAGE
6003020_name,3-15 STAGE
6003021_name,3-16 BOSS
6003022_name,SUB 3-6 STAGE
6003023_name,SUB 3-7 STAGE
6003024_name,EX STAGE
6004001_name,4-1 STAGE
6004002_name,4-2 STAGE
6004003_name,4-3 STAGE
6004004_name,4-4 STAGE
6004005_name,4-5 STAGE
6004006_name,4-6 STAGE
6004007_name,4-7 STAGE
6004008_name,4-8 STAGE
6004009_name,4-9 STAGE
6004010_name,SUB 4-1 STAGE
6004011_name,SUB 4-2 STAGE
6004012_name,SUB 4-3 STAGE
6004013_name,4-10 STAGE
6004014_name,4-11 STAGE
6004015_name,4-12 STAGE
6004016_name,4-13 STAGE
6004017_name,4-14 STAGE
6004018_name,4-15 STAGE
6004019_name,SUB 4-4 STAGE
6004020_name,SUB 4-5 STAGE
6004021_name,4-16 STAGE
6004022_name,4-17 STAGE
6004023_name,4-18 BOSS
6004024_name,SUB 4-6 STAGE
6004025_name,SUB 4-7 STAGE
6004026_name,SUB 4-8 STAGE
6004027_name,EX STAGE
6004028_name,SUB 4-10 STAGE
6004029_name,SUB 4-11 STAGE
6005001_name,5-1 STAGE
6005002_name,5-2 STAGE
6005003_name,5-3 STAGE
6005004_name,5-4 STAGE
6005005_name,5-5 STAGE
6005006_name,5-6 STAGE
6005007_name,SUB 5-1 STAGE
6005008_name,SUB 5-2 STAGE
6005009_name,SUB 5-3 STAGE
6005010_name,5-7 STAGE
6005011_name,5-8 STAGE
6005012_name,5-9 STAGE
6005013_name,5-10 STAGE
6005014_name,5-11 STAGE
6005015_name,5-12 STAGE
6005016_name,5-13 STAGE
6005017_name,5-14 STAGE
6005018_name,5-15 STAGE
6005019_name,5-16 STAGE
6005020_name,5-17 STAGE
6005021_name,5-18 STAGE
6005022_name,SUB 5-4 STAGE
6005023_name,SUB 5-5 STAGE
6005024_name,SUB 5-6 STAGE
6005025_name,5-19 STAGE
6005026_name,5-20 BOSS
6005027_name,SUB 5-7 STAGE
6005028_name,SUB 5-8 STAGE
6005029_name,SUB 5-9 STAGE
6005030_name,EX STAGE
6005031_name,EX STAGE
6005032_name,SUB 5-12 STAGE
6006001_name,6-1 STAGE
6006002_name,6-2 STAGE
6006003_name,6-3 STAGE
6006004_name,6-4 STAGE
6006005_name,6-5 STAGE
6006006_name,6-6 STAGE
6006007_name,6-6A-1 STAGE
6006008_name,6-6A-2 STAGE
6006009_name,6-6B-1 STAGE
6006010_name,6-6B-2 STAGE
6006011_name,6-7 STAGE
6006012_name,6-8 STAGE
6006013_name,6-9 STAGE
6006014_name,6-9A-1 STAGE
6006015_name,6-9A-2 STAGE
6006016_name,SUB 6-1 STAGE
6006017_name,SUB 6-2 STAGE
6006018_name,6-10 STAGE
6006019_name,6-11 STAGE
6006020_name,6-12 STAGE
6006021_name,6-13 STAGE
6006022_name,6-14 STAGE
6006023_name,6-15 STAGE
6006024_name,6-16 STAGE
6006025_name,6-17 STAGE
6006026_name,6-18 STAGE
6006027_name,SUB 6-3 STAGE
6006028_name,SUB 6-4 STAGE
6006029_name,SUB 6-5 STAGE
6006030_name,6-19 STAGE
6006031_name,6-20 STAGE
6006032_name,6-21 STAGE
6006033_name,6-22 STAGE
6006034_name,6-23 STAGE
6006035_name,6-24 BOSS
6006036_name,SUB 6-6 STAGE
6006037_name,SUB 6-7 STAGE
6006038_name,SUB 6-8 STAGE
6006039_name,EX STAGE
6006040_name,EX STAGE
6006041_name,SUB 6-11 STAGE
6006042_name,SUB 6-12 STAGE
6006043_name,EX STAGE
6006044_name,EX STAGE
6007001_name,7-1 STAGE
6007002_name,7-2 STAGE
6007003_name,7-3 STAGE
6007004_name,7-4 STAGE
6007005_name,7-5 STAGE
6007006_name,7-6 STAGE
6007007_name,7-6A-1 STAGE
6007008_name,7-6A-2 STAGE
6007009_name,7-6A-3 STAGE
6007010_name,7-6B-1 STAGE
6007011_name,7-6B-2 STAGE
6007012_name,7-6B-3 STAGE
6007013_name,SUB 7-1 STAGE
6007014_name,SUB 7-2 STAGE
6007015_name,7-7 STAGE
6007016_name,7-8 STAGE
6007017_name,7-9 STAGE
6007018_name,7-10 STAGE
6007019_name,7-11 STAGE
6007020_name,7-12 STAGE
6007021_name,7-13 STAGE
6007022_name,7-14 STAGE
6007023_name,7-15 STAGE
6007024_name,7-16 STAGE
6007025_name,7-17 STAGE
6007026_name,7-18 STAGE
6007027_name,7-18A-1 STAGE
6007028_name,7-18A-2 STAGE
6007029_name,7-18B-1 STAGE
6007030_name,7-18B-2 STAGE
6007031_name,SUB 7-3 STAGE
6007032_name,SUB 7-4 STAGE
6007033_name,SUB 7-5 STAGE
6007034_name,SUB 7-6 STAGE
6007035_name,SUB 7-7 STAGE
6007036_name,7-19 STAGE
6007037_name,7-20 STAGE
6007038_name,7-21 STAGE
6007039_name,7-22 STAGE
6007040_name,7-23 STAGE
6007041_name,7-24 BOSS
6007042_name,EX STAGE
6007043_name,EX STAGE
6008001_name,8-1 STAGE
6008002_name,8-2 STAGE
6008003_name,8-3 STAGE
6008004_name,8-4 STAGE
6008005_name,8-5 STAGE
6008006_name,8-6 STAGE
6008007_name,8-7 STAGE
6008008_name,8-8 STAGE
6008009_name,8-9 STAGE
6008010_name,SUB 8-1 STAGE
6008011_name,SUB 8-2 STAGE
6008012_name,SUB 8-3 STAGE
6008013_name,8-10 STAGE
6008014_name,8-11 STAGE
6008015_name,8-12 STAGE
6008016_name,8-13 STAGE
6008017_name,8-14 STAGE
6008018_name,8-15 STAGE
6008019_name,8-16 STAGE
6008020_name,8-17 STAGE
6008021_name,8-18 STAGE
6008022_name,SUB 8-4 STAGE
6008023_name,SUB 8-5 STAGE
6008024_name,8-19 STAGE
6008025_name,8-20 STAGE
6008026_name,8-21 STAGE
6008027_name,8-22 STAGE
6008028_name,8-23 STAGE
6008029_name,8-24 STAGE
6008030_name,8-25 STAGE
6008031_name,8-26 STAGE
6008032_name,8-27 BOSS
6008033_name,SUB 8-6 STAGE
6008034_name,SUB 8-7 STAGE
6008035_name,SUB 8-8 STAGE
6008036_name,EX STAGE
6008037_name,EX STAGE
6009001_name,9-1 STAGE
6009002_name,9-2 STAGE
6009003_name,9-3 STAGE
6009004_name,9-4 STAGE
6009005_name,9-5 STAGE
6009006_name,9-6 STAGE
6009007_name,9-7 STAGE
6009008_name,9-8 STAGE
6009009_name,9-9 STAGE
6009010_name,9-10 STAGE
6009011_name,9-11 STAGE
6009012_name,9-12 STAGE
6009013_name,SUB 9-1 STAGE
6009014_name,SUB 9-2 STAGE
6009015_name,9-13 STAGE
6009016_name,9-14 STAGE
6009017_name,9-15 STAGE
6009018_name,SUB 9-3 STAGE
6009019_name,SUB 9-4 STAGE
6009020_name,SUB 9-5 STAGE
6009021_name,9-16 STAGE
6009022_name,9-17 STAGE
6009023_name,9-18 STAGE
6009024_name,9-19 STAGE
6009025_name,9-20 STAGE
6009026_name,9-21 STAGE
6009027_name,9-22 STAGE
6009028_name,9-23 STAGE
6009029_name,9-24 STAGE
6009030_name,9-25 STAGE
6009031_name,9-26 STAGE
6009032_name,9-27 BOSS
6009033_name,SUB 9-6 STAGE
6009034_name,SUB 9-7 STAGE
6009035_name,SUB 9-8 STAGE
6009036_name,EX STAGE
6009037_name,EX STAGE
6010001_name,10-1 STAGE
6010002_name,10-2 STAGE
6010003_name,10-3 STAGE
6010004_name,10-4 STAGE
6010005_name,10-5 STAGE
6010006_name,10-6 STAGE
6010007_name,10-7 STAGE
6010008_name,10-8 STAGE
6010009_name,10-9 STAGE
6010010_name,10-10 STAGE
6010011_name,SUB 10-1 STAGE
6010012_name,SUB 10-2 STAGE
6010013_name,10-11 STAGE
6010014_name,10-12 STAGE
6010015_name,10-13 STAGE
6010016_name,10-14 STAGE
6010017_name,10-15 STAGE
