Key,Value
SURFACE_SELECT_ALL,Select All
SURFACE_USE_CURRENCY,Use Currency
SURFACE_NOTICE,Notice
SURFACE_CONFIRM,Confirm
SURFACE_NO,Cancel
SURFACE_ITEM_RECOVERY_CHARACTER_SELECT_CONFIRM,Confirm
SURFACE_STANDARD_BATTLE_POWER,Standard Power (Average)
SURFACE_RECOMMEND_SQUAD_COUNT,Standard Squad (Quantity)
SURFACE_FIRST_CLEAR_REWARD_ITEM_TAG,First
SURFACE_BATTLE_INFO_UI_DESC,Select an enemy to view their profile.
SURFACE_ELEMENT_AND_RANGE_BONUS,Element and Range Bonus Effects
SURFACE_ENEMY_INFO,Enemy Info
SURFACE_SKILL_INFO,Skill Info
SURFACE_ENEMY_RANK_TYPE_RADIAL_NAME,Radial
SURFACE_ENEMY_RANK_TYPE_HIGH_RANK_NAME,High Rank
SURFACE_ENEMY_RANK_TYPE_RADIAL_DESC,"Enemies are scattered across the surface.
They don't seem to be carrying out any special mission."
SURFACE_ENEMY_RANK_TYPE_HIGH_RANK_DESC,"An enemy on a special mission.
They seem quite strong."
SURFACE_REWARD_INFO,Reward Info
SURFACE_PROTECT_TARGET,Protection Target
SURFACE_ENEMY_RANK_TYPE,Rank Type
SURFACE_MONSTER_GRADE_MINION_EN,Minion
SURFACE_MONSTER_GRADE_ELITE_EN,Elite
SURFACE_MONSTER_GRADE_CENTURION_EN,Centurion
SURFACE_MONSTER_GRADE_THRASH_EN,Thrash
SURFACE_PREPARING,Preparing
SURFACE_BASE_AREA_SHORT_CUT_BTN,Base
SURFACE_ERROR_TOAST_UNABLE_TO_MOVE,Unable to move.
SURFACE_BATTLE_INFO_CONTENTS_PLAY_TIP_SUPPRESS_BOSSRAID,Defeat the boss.
SURFACE_CONTENTS_PLAY_TIME_SUPPRESS,Time Limit
SURFACE_BATTLE_INFO_CONTENTS_PLAY_TIP_SUPPRESS_LEGIONRAID_TIMELIMIT_TIME,Defend the target against enemy waves during the time limit.
SURFACE_BATTLE_INFO_CONTENTS_PLAY_TIP_SUPPRESS_LEGIONRAID_TIMELIMIT_SWEEP,Defeat all enemies swarming in during the time limit.
SURFACE_BATTLE_INFO_CONTENTS_PLAY_TIP_SUPPRESS_LEGIONRAID_TIME,Defend the target against enemy waves.
