Key,Value
MINI_GAME_BAN_NOTICE_DESC,Abnormality detected. Progress will not be saved.
event_title_1001,Daily Login Reward
event_description_1001,Daily Login Reward
daily_login_event_name,Daily Login Event
daily_mission_event_name,New Commander Support Event (One-Time Only)
cooperation_event_name,Coordinated Operation
story_event_name_001,No Caller ID
story_event_name_002,Hightech Toy
story_event_name_003,Miracle Snow
story_event_name_004,Eternal Memory
story_event_name_005,Brand New Year
CHRISMAS_PASS_NAME,SNOW FLAKE PASS
NEW_YEAR_PASS_NAME,SUNRISE PASS
CE_01_PASS_NAME,NIKKE X CHAINSAW MAN PASS
HALF_PASS_NAME,WONDER LAND PASS
BLUEWATER_ISLAND_PASS_NAME,BLUEWATER PASS
SEA_YOU_AGAIN_PASS_NAME,MIGHTY SUMMER PASS
PASS_FINAL_REWARD_INFO,Obtain {0} by completing Pass Missions!
CE_01_PASS_DESCRIPTION,"Obtain <color=#FDE900>Chainsaw Man Frame, Advanced Recruit Voucher*15, and Recruit Voucher*15</color>"
daily_login_event_description,"During the event, complete the daily logins to obtain rewards."
daily_login_event_description_02,Get rewards during the event!
daily_login_event_description_03,"Commanders, thank you for your support!"
daily_mission_event_description,"During the event, complete missions to obtain rewards."
cooperation_event_description,Eliminate powerful enemies with other Commanders to obtain rewards.
story_event_description_001,Go to the surface and find the unknown sender behind the mysterious voice message.
story_event_description_002,"A useful tool, or a hero?"
story_event_description_003,A wondrous Christmas miracle
story_event_description_004,A wondrous Christmas miracle
story_event_description_005,A new start for everyone
daily_event_name_20101,Day 1
daily_event_name_20102,Day 1
daily_event_name_20103,Day 1
daily_event_name_20104,Day 1
daily_event_name_20105,Day 1
daily_event_name_20201,Day 2
daily_event_name_20202,Day 2
daily_event_name_20203,Day 2
daily_event_name_20204,Day 2
daily_event_name_20205,Day 2
daily_event_name_20301,Day 3
daily_event_name_20302,Day 3
daily_event_name_20303,Day 3
daily_event_name_20304,Day 3
daily_event_name_20305,Day 3
daily_event_name_20401,Day 4
daily_event_name_20402,Day 4
daily_event_name_20403,Day 4
daily_event_name_20404,Day 4
daily_event_name_20405,Day 4
daily_event_name_20501,Day 5
daily_event_name_20502,Day 5
daily_event_name_20503,Day 5
daily_event_name_20504,Day 5
daily_event_name_20505,Day 5
daily_event_name_20801,Final Reward
daily_event_description_20101,Participate in 5 Campaigns
daily_event_description_20102,Complete 5 Campaigns
daily_event_description_20103,Clear 1 Chapter
daily_event_description_20104,Complete the Main Mission 3 times
daily_event_description_20105,Upgrade a Nikke 10 times
daily_event_description_20201,Clear Tribe Tower 1 time
daily_event_description_20202,Clear Elysion Tower 1 time
daily_event_description_20203,Clear Missilis Tower 1 time
daily_event_description_20204,Clear Tetra Tower 1 time
daily_event_description_20205,Clear Pilgrim Tower 1 time
daily_event_description_20301,Claim Outpost Defense rewards 2 times
daily_event_description_20302,Wipe Out 1 time
daily_event_description_20303,Dispatch 5 times
daily_event_description_20304,Upgrade any Outpost Building to Lv. 5
daily_event_description_20305,Take on the Tribe Tower 10 times
daily_event_description_20401,Upgrade a Nikke 20 times
daily_event_description_20402,Break a Nikke's Limit and reinforce their Core 2 times
daily_event_description_20403,Reinforce a Nikke Core to +1 for the first time
daily_event_description_20404,Increase your bond with any Nikke to Lv. 5 for the first time
daily_event_description_20405,Recruit 10 Nikkes
daily_event_description_20501,Send Friendship Points 10 times
daily_event_description_20502,Upgrade equipment 5 times
daily_event_description_20503,Obtain 1 BGM
daily_event_description_20504,Complete 1 Side Mission
daily_event_description_20505,Complete 10 Main Missions
dice_event_lack_ticket,Not enough event currency
dice_event_lack_ticket_desc,Insufficient currency for this event.
dice_event_heropower,Hero Power
dice_event_heropower_charge,Acquire Hero Power
dice_event_heropower_decrease,Hero Power Decreased
dice_event_get_reward,Claim Rewards
dice_event_title_leisure,Rest
dice_event_title_training,Training
dice_event_title_contract,Combat
dice_event_title_contract_01,Operation Successful
dice_event_title_contract_02,Operation Successful: With Honors
dice_event_title_contract_03,Operation Successful: With High Distinction
dice_event_title_poorcondition,Poor Condition
dice_event_title_boardfinish,Go the Distance bonus
dice_event_title_start,Go the Distance
dice_event_title_goto,Move Cells
dice_event_title_clear,Reward for destroying {0} time(s).
dice_event_title_reward,Item reward
dice_event_description_leisure,Rest fully to recharge.
dice_event_description_training_01,Training is the cornerstone for any hero!
dice_event_description_training_02,Complete 2 rounds of training.
dice_event_description_training_03,Complete 3 rounds of training.
dice_event_description_contract_01,Operation completed!
dice_event_description_contract_02,A resounding success!
dice_event_description_contract_03,Your actions have proven you a true hero.
dice_event_description_poorcondition,Ow... My knees...
dice_event_description_boardfinish,Crossed the finish line successfully!
dice_event_description_clear,Held out against the Rapture invasion.
dice_event_warning,Outpost is under attack.
dice_event_reward_already_earned,Claimed
dice_event_reward_repeatable,Reward will repeat after {0} time(s).
dice_event_roll_dice,Roll dice
dice_event_clear_time,Destruction(s)
dice_event_reward_info_detail,Reward
dice_event_touch_to_exit,Tap to exit
dice_event_tutorial,Event Tutorial
dice_event_title,Mini Game
dice_event_next_reward,Next Destruction Reward
dice_event_tutorial_reward_01,Obtain reward for that cell
dice_event_tutorial_leisure_01,Get {0} Hero Power.
dice_event_tutorial_training_01,"Get {0} Hero Power.
You can earn additional Hero Power by triggering events in quick succession."
dice_event_tutorial_contract_01,"Get {0} Hero Power.
There's a chance to get extra Hero Power."
dice_event_tutorial_poorcondition_01,Reduce {0} Hero Power
dice_event_tutorial_goto_01,Move {0} cells towards the direction of the arrow
dice_event_tutorial_start_01,"""Go the Distance"" will be triggered when you skip over a cell. Move {0} cells towards the direction of the arrow upon arrival."
event_contents_storydungeon_before,Story I
event_contents_storydungeon_after,Story II
event_contents_storydungeon_story_03,STORY III
event_contents_login,Login Stamp
event_contents_shop,Shop
event_contents_minigame,Mini Game
event_contents_challenge,Challenge
event_contents_whitememory,White Memory
event_field_npc_open_condition_mission,Condition
event_field_npc_open_condition_stage,Clearance Required
event_field_npc_open_condition_time,Release
event_field_npc_closed,This event has ended.
event_field_notice_replay_first_entry,Play the opening cutscene of the event.
event_enter_condition_not_on_time_value,Available in {0}
event_enter_condition_quest_not_orderd_value,{0} mission not in progress
event_enter_condition_stage_not_cleared_value,Clear {0} to Proceed
EVENT_SORTOUT_TUTORIAL,Gameplay
EVENT_SORTOUT_GAMESTART,Start
EVENT_SORTOUT_PRACTICE,Practice
EVENT_SORTOUT_FEVER,FULL BURST
EVENT_SORTOUT_RESULT,RESULT
EVENT_SORTOUT_RESULT_POINT,TOTAL POINTS
EVENT_SORTOUT_RESULT_RANK,RANK
EVENT_SORTOUT_RESULT_RANK_D,D
EVENT_SORTOUT_RESULT_RANK_C,C
EVENT_SORTOUT_RESULT_RANK_B,B
EVENT_SORTOUT_RESULT_RANK_A,A
EVENT_SORTOUT_RESULT_RANK_S,S
EVENT_SORTOUT_REPLAY,Retry
EVENT_SORTOUT_GOBACK,Return
EVENT_SORTOUT_RANKUP,RANK UP
EVENT_SORTOUT_PRACTICE_NO_REWARD,Unable to obtain rewards in Practice Mode.
come_back_event_description,Obtain awesome rewards in the Welcome Back event by <color=#00AEFF>logging in and doing quests</color>!
rewardup_event_name_001,Full Burst Day
rewardup_event_description_001,"Tap ""Go"" to move to the corresponding gameplay."
EVENT_QUEST_FOOLSDAY,FULL FOOL DAY
