Key,Value
MaterialName_0001,Boost Module
MaterialName_0002,Ultra Boost Module
MaterialDescription_0001,A device that improves the equipment's performance by updating its OS.
MaterialDescription_0002,"A device that updates the equipment's OS to improve its performance.
Has a much higher performance than Boost Module."
MaterialName_77001,Common Building Material
MaterialName_77002,Combat Support Material
MaterialName_77003,Living Facilities Material
MaterialName_77004,Power Generation Booster
MaterialName_77101,RE-Energy
MaterialName_7000102,Wipe Out rewards
MaterialName_7200302,Observatory Blueprint
MaterialName_7200303,Police Station Blueprint
MaterialName_7200304,Hotel Blueprint
MaterialName_7200305,Maid Cafe Blueprint
MaterialName_7200306,Toy Store Blueprint
MaterialName_7200307,Train Station Blueprint
MaterialName_7200308,Workshop Blueprint
MaterialName_7200309,Armory Blueprint
MaterialName_7200310,Generator Blueprint
MaterialName_7200311,Trendy Bar Blueprint
MaterialName_7200312,Library Blueprint
MaterialName_7200313,Hospital Blueprint
MaterialName_7200314,Cafe Blueprint
MaterialName_7200315,Theater Blueprint
MaterialName_7200316,Seedy Club Blueprint
MaterialName_7200317,Courthouse Blueprint
MaterialName_7200318,Church Blueprint
MaterialName_7200319,Clothing Store Blueprint
MaterialName_7200320,Shopping Mall Blueprint
MaterialName_7200321,Radio Tower Blueprint
MaterialName_7200322,Goddess of Victory Blueprint
MaterialName_7200323,Wings of Victory Blueprint
MaterialName_7200324,Fitness Club Blueprint
MaterialDescription_77001,"Basic materials used to construct buildings.
The most basic, and most essential, of all building materials."
MaterialDescription_77002,"Material used to construct Combat Support Buildings.
Quite heavy, so be careful when carrying it."
MaterialDescription_77003,"Materials used to construct Living Facilities.
Strangely seems to give off a pleasant fragrance."
MaterialDescription_77004,"Materials used to construct Power Generation Boosters.
Very compact and must be handled with care."
MaterialDescription_77005,"A device that enhances Nikke's inherent abilities.
It's essential for an excellent Nikke."
MaterialDescription_77101,"The most basic material used in Recycling Room.

Obtained from Outpost Defense, and Body Label Shop"
MaterialDescription_7000102,"Item Chests that drop during Wipe Out.
It's impossible to tell what's inside before opening them."
MaterialDescription_7200302,"A blueprint required for the construction of the Observatory.

Obtained from Lost Relics in Normal Campaign Chapter 3"
MaterialDescription_7200303,"A blueprint required for the construction of the Police Station.

Obtained from Lost Relics in Normal Campaign Chapter 3"
MaterialDescription_7200304,"A blueprint required for the construction of the Hotel.

Obtained from Lost Relics in Normal Campaign Chapter 3"
MaterialDescription_7200305,"A blueprint required for the construction of the Maid Cafe.

Obtained from Lost Relics in Normal Campaign Chapter 3"
MaterialDescription_7200306,"A blueprint required for the construction of the Toy Store.

Obtained from Lost Relics in Normal Campaign Chapter 3"
MaterialDescription_7200307,"A blueprint required for the construction of the Train Station.

Obtained from Lost Relics in Normal Campaign Chapter 3"
MaterialDescription_7200308,"A blueprint required for the construction of the Workshop.

Obtained from Lost Relics in Normal Campaign Chapter 4"
MaterialDescription_7200309,"A blueprint required for the construction of the Armory.

Obtained from Lost Relics in Normal Campaign Chapter 4"
MaterialDescription_7200310,"A blueprint required for the construction of the Generator.

Obtained from Lost Relics in Normal Campaign Chapter 4"
MaterialDescription_7200311,"A blueprint required for the construction of the Trendy Bar.

Obtained from Lost Relics in Normal Campaign Chapter 5"
MaterialDescription_7200312,"A blueprint required for the construction of the Library.

Obtained from Lost Relics in Normal Campaign Chapter 5"
MaterialDescription_7200313,"A blueprint required for the construction of the Hospital.

Obtained from Lost Relics in Normal Campaign Chapter 5"
MaterialDescription_7200314,"A blueprint required for the construction of the Cafe. 

Obtained from Lost Relics in Normal Campaign Chapter 6"
MaterialDescription_7200315,"A blueprint required for the construction of the Theater. 

Obtained from Lost Relics in Normal Campaign Chapter 6"
MaterialDescription_7200316,"A blueprint required for the construction of the Seedy Club.

Obtained from Lost Relics in Normal Campaign Chapter 6"
MaterialDescription_7200317,"A blueprint required for the construction of the Courthouse. 

Obtained from Lost Relics in Normal Campaign Chapter 7"
MaterialDescription_7200318,"A blueprint required for the construction of the Church. 

Obtained from Lost Relics in Normal Campaign Chapter 7"
MaterialDescription_7200319,"The blueprint used for constructing the Clothing Store.

Obtained from Lost Relics in Normal Campaign Chapter 8"
MaterialDescription_7200320,"A blueprint required for the construction of the Shopping Mall. 

Obtained from Lost Relics in Normal Campaign Chapter 8"
MaterialDescription_7200321,"A blueprint required for the construction of the Radio Tower. 

Obtained from Lost Relics in Normal Campaign Chapter 9"
MaterialDescription_7200322,"A blueprint required for the construction of the Goddess of Victory.

Obtained from Lost Relics in Normal Campaign Chapter 9"
MaterialDescription_7200323,"A blueprint required for the construction of the Wings of Victory.

Obtained from Lost Relics in Normal Campaign Chapter 10"
MaterialDescription_7200324,"A blueprint required for the construction of the Fitness Club.

Obtained from Lost Relics in Normal Campaign Chapter 10"
EquipName_1000_A,Test Visor
EquipName_2000_A,Test Vest
piece,"Can be used for Nikkes' Limit Breaks.
If a Nikke's Limit Break has reached the max level, any additional Spare Bodies for that Nikke will be converted to Body Labels."
piece_summon,Collect a certain amount of this item to recruit SR or SSR Nikkes.
piece_elysion,"Used as a material for Elysion Manufacturer Research in the Recycling Room.

Obtained from Body Label Shop"
piece_missilis,"Used as a material for Missilis Manufacturer Research in the Recycling Room.

Obtained from Body Label Shop"
piece_tetra,"Used as a material for Tetra Manufacturer Research in the Recycling Room.

Obtained from Body Label Shop"
piece_pilgrim,"Used as a material for Pilgrims Manufacturer Research in the Recycling Room.

Obtained from Body Label Shop"
piece_abnormal,"Used as a material for Abnormal Manufacturer Research in the Recycling Room.

Obtained from Body Label Shop"
piece_attacker,"Used as a material for Attackers Class Research in the Recycling Room.

Obtained from Body Label Shop"
piece_defender,"Used as a material for Defenders Class Research in the Recycling Room.

Obtained from Body Label Shop"
piece_supporter,"Used as a material for Supporters Class Research in the Recycling Room.

Obtained from Body Label Shop"
piece_50102,Maxwell's Spare Body
piece_50140,Sugar's Spare Body
piece_50210,Exia's Spare Body
piece_50191,Alice's Spare Body
piece_50090,Emma's Spare Body
piece_50160,Yuni's Spare Body
piece_50170,Privaty's Spare Body
piece_50010,Rapi's Spare Body
piece_50011,Neon's Spare Body
piece_50020,Delta's Spare Body
piece_50091,Vesti's Spare Body
piece_50130,Mary's Spare Body
piece_50240,Rumani's Spare Body
piece_50202,Dolla's Spare Body
piece_50030,Poli's Spare Body
piece_50012,Anis' Spare Body
piece_50241,Epinel's Spare Body
piece_50022,Signal's Spare Body
piece_50180,Guillotine's Spare Body
piece_50161,Mihara's Spare Body
piece_50032,Miranda's Spare Body
piece_50040,D's Spare Body
piece_50041,K's Spare Body
piece_50070,Brid's Spare Body
piece_50071,Soline's Spare Body
piece_50080,Centi's Spare Body
piece_50092,Eunhwa's Spare Body
piece_50100,Laplace's Spare Body
piece_50101,Drake's Spare Body
piece_50120,N102's Spare Body
piece_50131,Pepper's Spare Body
piece_50141,Milk's Spare Body
piece_50142,Frima's Spare Body
piece_50150,Julia's Spare Body
piece_50171,Yulha's Spare Body
piece_50172,Admi's Spare Body
piece_50190,Ludmilla's Spare Body
piece_50200,Rupee's Spare Body
piece_50201,Yan's Spare Body
piece_50212,Novel's Spare Body
piece_50270,Blanc's Spare Body
piece_50271,Noir's Spare Body
piece_50082,Liter's Spare Body
piece_50220,Snow White's Spare Body
piece_50231,Isabel's Spare Body
piece_50072,Diesel's Spare Body
piece_50110,Crow's Spare Body
piece_50181,Maiden's Spare Body
piece_50242,Folkwang's Spare Body
piece_50221,Rapunzel's Spare Body
piece_50222,Scarlet's Spare Body
piece_50230,Harran's Spare Body
piece_50232,Noah's Spare Body
piece_50260,Modernia's Spare Body
piece_50060,Belorta's Spare Body
piece_50061,Mica's Spare Body
piece_50291,Ether's Spare Body
piece_50282,Sakura's Spare Body
piece_50290,Mana's Spare Body
piece_50111,Jackal's Spare Body
piece_50281,Moran's Spare Body
piece_50112,Viper's Spare Body
piece_50280,Rosanna's Spare Body
piece_50300,Soldier EG's Spare Body
piece_50301,Soldier FA's Spare Body
piece_50302,Product 08's Spare Body
piece_50303,Product 12's Spare Body
piece_50304,iDoll Flower's Spare Body
piece_50305,iDoll Ocean's Spare Body
piece_58001,Attacker Common Console
piece_58002,Defender Common Console
piece_58003,Supporter Common Console
piece_58004,Elysion Common Console
piece_58005,Missilis Common Console
piece_58006,Tetra Common Console
piece_58007,Pilgrim Common Console
piece_58008,Abnormal Common Console
piece_59001,Mid-Quality Mold
piece_59002,High-Quality Mold
piece_331001,Ade's Spare Body
piece_232001,Bibli's Spare Body
piece_232101,Marciana's Spare Body
piece_272,Rouge's Spare Body
piece_311,Cocoa's Spare Body
piece_312,Soda's Spare Body
piece_331,Chime's Spare Body
piece_361,Kilo's Spare Body
piece_381,Biscuit's Spare Body
piece_400,Guilty's Spare Body
piece_401,Sin's Spare Body
piece_402,Quency's Spare Body
piece_132,Mary: Bay Goddess' spare body
piece_330,Crown's Spare Body
piece_352,Helm's Spare Body
piece_360,Milly's Spare Body
piece_380,Nero's Spare Body
piece_392,Rei's Spare Body
piece_432,Aria's Spare Body
piece_014,Neon: Blue Ocean's Spare Body
piece_223,Nayuta's Spare Body
piece_410,Leaf's Spare Body
piece_430,Noise's Spare Body
piece_431,Volume's Spare Body
piece_192,Tove's Spare Body
piece_33,Quiry's Spare Body
piece_152,Forte's Spare Body
piece_193,Neve's Spare Body
piece_121,Anne: Miracle Fairy's Spare Body
piece_341,X's Spare Body
piece_203,Rupee: Winter Shopper's Spare Body
piece_390,Zwei's Spare Body
piece_800,Makima's Spare Body
piece_801,Power's Spare Body
piece_802,Himeno's Spare Body
piece_292,Soma's Spare Body
piece_382,Leona's Spare Body
piece_261,Nihilister's Spare Body
piece_262,Liberalio's Spare Body
piece_233,Dorothy's Spare Body
piece_351,Anchor's Spare Body
piece_391,Ein's Spare Body
piece_350,Mast's Spare Body
piece_810,2B's Spare Body
piece_811,A2's Spare Body
piece_812,Pascal's Spare Body
piece_15,Anis: Sparkling Summer's Spare Body
piece_353,Helm: Aquamarine's Spare Body
piece_450,Naga's Spare Body
piece_451,Tia's Spare Body
piece_470,Red Hood's Spare Body
piece_224,Snow White: Innocent Days's Spare Body
piece_194,Ludmilla: Winter Owner's Spare Body
piece_62,Mica: Snow Buddy's Spare Body
piece_225,Scarlet: Black Shadow's Spare Body
piece_313,Privaty: Unkind Maid's Spare Body
piece_500,Elegg's Spare Body
piece_820,Rem's Spare Body
piece_821,Emilia's Spare Body
piece_822,Ram's Spare Body
piece_43,D: Killer Wife's Spare Body
piece_550,Bay's Spare Body
piece_501,Trony's Spare Body
piece_314,Soda: Twinkling Bunny's Spare Body
piece_195,Alice: Wonderland Bunny's Spare Body
piece_551,Clay's Spare Body
piece_283,Rosanna: Chic Ocean's Spare Body
piece_284,Sakura: Bloom in Summer's Spare Body
piece_830,Asuka's Spare Body
piece_831,Rei's Spare Body
piece_832,Mari's Spare Body
piece_833,Misato's Spare Body
piece_403,Quency: Escape Queen's Spare Body
piece_580,Phantom's Spare Body
piece_226,Rapunzel: Pure Grace's Spare Body
piece_511,Cinderella's Spare Body
piece_514,Grave's Spare Body
piece_411,Flora's Spare Body
piece_183,Maiden: Ice Rose's Spare Body
piece_182,Guillotine: Winter Slayer's Spare Body
piece_16,Rapi: Red Hood's Spare Body
piece_354,Mast: Romantic Maid's Spare Body
piece_355,Anchor: Innocent Maid's Spare Body
piece_834,Rei (Tentative Name)'s Spare Body
piece_835,Asuka: WILLE's Spare Body
piece_836,Sakura's Spare Body
piece_412,Trina's Spare Body
piece_520,Bready's Spare Body
piece_521,Crust's Spare Body
piece_513,Little Mermaid's Spare Body
piece_162,Mihara: Bonding Chain's Spare Body
piece_590,Mori's Spare Body
piece_581,Arcana's Spare Body
piece_41,K's Spare Body
piece_850,EVE's Spare Body
piece_851,Raven's Spare Body
piece_852,Lily's Spare Body
piece_532,Sora's Spare Body
piece_234,Dorothy: Serendipity's Spare Body
piece_502,Elegg: Boom and Shock's Spare Body
piece_93,Emma: Tactical Upgrade's Spare Body
piece_94,Vesti: Tactical Upgrade's Spare Body
piece_95,Eunhwa: Tactical Upgrade's Spare Body
piece_143,Milk: Blooming Bunny's Spare Body
piece_315,Ade: Agent Bunny's Spare Body
consume_exp,Battle Data Set
consume_exp2,Core Dust
consume_gold,Credit
consume_exp_desc,"Training data created by extracting battle records from fallen Nikkes.
Can be used to make a Nikke become stronger."
consume_exp2_desc,"An unknown substance that can be extracted in very small amounts from a Rapture's core.
It contains various information related to any given Rapture unit's combat experience.
Can be used to make a Nikke grow stronger."
consume_gold_desc,"Virtual currency contingent upon one's citizenship.
Usage is tracked by the Central Government."
consume_exp_time,Battle Data Set Case
consume_exp2_time,Core Dust Case
consume_gold_time,Credit Case
consume_exp_time_desc,"A case full of Battle Data Sets.
One glance seems almost enough for leveling up.

Use it to obtain a set number of Battle Data Sets equivalent to the amount of time stated on the label. The amount of Battle Data Sets given will also vary depending on Outpost Defense Level."
consume_exp2_time_desc,"A case full of Core Dust.
If it feels like you're watched by evil crimson eyes in this case, feel free to close it.

Use it to obtain a set amount of Core Dust equivalent to the amount of time stated on the label. The amount of Core Dust given will also vary depending on Outpost Defense Level."
consume_gold_time_desc,"A case full of Credit Devices.
Credits are typically stored inside chips.
They can, however, also be transferred into one of these stand-alone devices, where they can be used as currency.
While their efficiency leaves more to be desired, you can't ignore the satisfaction you get from using it.


Use it to obtain a set amount of Credits equivalent to the amount of time stated on the label. The number of Credits given will also vary depending on Outpost Defense Level."
consume_box_attacker,Attacker Equipment Box
consume_box_defender,Defender Equipment Box
consume_box_suppoter,Supporter Equipment Box
consume_box_piece,Spare Body Selection Box
bundle_box_test,Building Supply Box
bundle_box_test_desc,"A box containing various materials necessary for construction.
When used, you acquire all the materials inside."
random_box_r_equipment,Equipment Support Box I
random_box_sr_equipment,Equipment Support Box II
random_box_ssr_equipment,Equipment Support Box III
random_box_r_item,Item Support Box I
random_box_sr_item,Item Support Box II
random_box_ssr_item,Item Support Box III
random_box_r_cash,Gem Support Box I
random_box_sr_cash,Gem Support Box II
random_box_ssr_cash,Gem Support Box III
random_box_r_gold,Credit Support Box I
random_box_sr_gold,Credit Support Box II
random_box_ssr_gold,Credit Support Box III
random_box_r_equipment_desc,"An old equipment support box provided by the Central Government.
The shabby exterior betrays the fact of it being a hand-me-down from several squads before you."
random_box_sr_equipment_desc,"An equipment support box that anyone belonging to the Central Government can receive.
Contains decent standard equipment."
random_box_ssr_equipment_desc,"If you receive this support box, it shows that the Central Government is counting on your squad. Contains advanced equipment that M.M.R has inspected."
random_box_r_item_desc,"An old support box provided by the Central Government.
The shabby exterior betrays the fact of it being a hand-me-down from several squads before you."
random_box_sr_item_desc,"This is a supply box that anyone who belongs to the Central Government can receive.
Contains items that are necessary both on and off the battlefield."
random_box_ssr_item_desc,"If you have received this support box, 
it means the Central Government is counting on your squad.
Contains the finest items the Merchant Union has to offer."
random_box_r_cash_desc,"A small gem support box provided by the Central Government.
It may not be much, but it's better than nothing."
random_box_sr_cash_desc,"A standard gem support box provided by the Central Government.
You never know when or where it may come in handy, so it's wise to keep it on hand."
random_box_ssr_cash_desc,"A support box that can hold a plethora of gems.
However, if you spend your money too hastily, you'll soon find your coffers emptied."
random_box_r_gold_desc,"An old credit support box that was distributed during tougher times.
It may not be much, but it's better than nothing."
random_box_sr_gold_desc,"A credit support box supplied by the Central Government.
Acts as a salary for the military."
random_box_ssr_gold_desc,"A support box containing a large number of credits given to commanders who have made a difference.
Think of it as an incentive.
Enough that you could afford to splurge a little, but doesn't quite measure up to the cost of one's life."
select_box_ssr_characterskillmaterial_element,Code Manual Selection Box
select_box_ssr_characterskillmaterial_element_desc,Open to select a Code Manual of your choosing.
select_box_ssr_characterskillmaterial_A,Skill Manual Selection Box
select_box_ssr_characterskillmaterial_A_desc,Open to select a Skill Manual of your choice.
select_box_ssr_characterskillmaterial_B,Burst Manual Selection Box
select_box_ssr_characterskillmaterial_B_desc,Open to select a Burst Manual of your choice.
present_all_r,A Helping Hand
