Key,Value
tuto01_00_description,"Take care, Commander!"
tuto01_01_title,ATTACKING ENEMIES
tuto01_01_description,"Tap inside the indicated area and <color=#00AEFF>drag</color> to move the crosshair.
Try moving the crosshair and shooting on your own."
tuto01_02_title,ATTACK SIGNAL
tuto01_02_description,"Did you see? Raptures send <color=#00AEFF>attack signals</color> before attacking. After the attack signals gather in the core of the Rapture, they'll start to attack."
tuto01_03_title,ATTACK SIGNAL
tuto01_03_description,"If we take down the Raptures before the attack signals stabilize, we can avoid being attacked. Shoot the Raptures down now."
tuto01_04_title,ATTACK SIGNAL
tuto01_04_description,Additional Raptures identified.
tuto01_05_title,ATTACK SIGNAL
tuto01_05_description,Raptures are preparing to attack. Please pay attention.
tuto03_01_title,RELOADING
tuto03_01_description,"When a Nikke stops shooting or runs out of ammo, she will <color=#00AEFF>reload</color> automatically."
tuto04_01_title,TARGET ENEMIES
tuto04_01_description,"In your fight against Raptures, you will encounter high-ranking enemies that act as leaders. These are your <color=#00AEFF>targets</color>.
<color=#00AEFF>Defeat</color> these targets to achieve <color=#00AEFF>victory</color>."
tuto02_01_title,TAKING COVER
tuto02_01_description,"When a Nikke is not shooting, she will take <color=#00AEFF>cover</color>.
While taking cover, a Nikke is invulnerable to enemy fire."
tuto02_02_title,DESTROYING COVER
tuto02_02_description,"<color=#00AEFF>Cover</color> can be <color=#00AEFF>destroyed</color> if it sustains too much damage, so be careful!"
tuto05_00_title,BURST SKILLS
tuto05_00_description,"As the battle progresses, your squad will enter <color=#00AEFF>Burst</color> mode, and <color=#00AEFF>Burst skills</color> will become available."
tuto05_01_title,BURST SKILLS
tuto05_01_description,Be sure to <color=#00AEFF>use</color> your <color=#00AEFF>Burst skills</color> before Burst mode ends.
tuto05_02_title,BURST SKILLS
tuto05_02_description,Using Burst skills will not only deal damage to enemies but also trigger some unique effects.
tuto05_03_title,CHIPSET
tuto05_03_description,"Our Rapture friends possess something called a ""chipset."" Think of them as a power source, the engine behind the machine that is a Rapture."
tuto05_04_title,CHIPSET
tuto05_04_description,Did you see the target's core? You can determine the chipset model by checking the color of the core. Looks like our target is packing a fire chipset.
tuto05_05_title,BURST SKILLS
tuto05_05_description,"This chipset happens to be susceptible to my Burst skill.
Try to <color=#00AEFF>use</color> the <color=#00AEFF>skill</color> before Burst mode is over!"
tuto05_06_title,BLOWOUT
tuto05_06_description,"The Burst skill landed and triggered a blowout!
Hitting a target with a chipset susceptible to your Burst Skill will cause a blowout."
tuto05_07_title,BLOWOUT
tuto05_07_description,Targets will become vulnerable after a blowout. Let's destroy the target ahead of us.
tuto06_01_title,CHANGING NIKKE
tuto06_01_description,"Looks like there's a heavy concentration of Raptures up ahead.
That means it's time to bust out the <color=#00AEFF>rocket launcher</color>!
How about <color=#00AEFF>switching</color> your controlled <color=#00AEFF>Nikke</color> to me?"
tuto06_02_title,WEAPON TYPE: ROCKET LAUNCHER
tuto06_02_description,"Rocket launchers deal splash damage to enemies around the area of impact.
Tap inside the indicated area, then drag to move the crosshair and attack!"
tuto07_01_title,CHARGED SHOTS
tuto07_01_description,"Well done, Commander!
Weapons like rocket launchers or sniper rifles can be <color=#00AEFF>charged up</color> before firing.
<color=#00AEFF>Release your finger after aiming</color> to unleash a charged shot!"
tuto07_02_title,CHARGED SHOTS
tuto07_02_description,"See the <color=#00AEFF>charge gauge</color> to the right of the crosshair?
The longer you charge that gauge, the greater the damage will be."
tuto07_03_title,FIRING
tuto07_03_description,"Let's go get them!
Hold your finger down to charge, then release to fire!"
