Key,Value
d_ex_armory_01_title,Armory Ghost Story
d_ex_armory_01_1,Commander...
d_ex_armory_01_2,"Have you ever heard of the Talking Gun?
It's one of the 7 mysteries of the Outpost."
d_ex_armory_01_3,Never heard of it.
d_ex_armory_01_4,Really? Then allow me to explain.
d_ex_armory_01_5,"A long time ago, back before Nikkes existed,"
d_ex_armory_01_6,"when humans were powerless against the Raptures,"
d_ex_armory_01_7,Elysion's weapon institute crafted a whole bunch of experimental weapons.
d_ex_armory_01_8,"The Talking Gun was rumored to be one of them, and one of the materials used to create it was..."
d_ex_armory_01_9,... living human beings!
d_ex_armory_01_10,Eeek!
d_ex_armory_01_11,That's why it can talk like a human. Hehehe.
d_ex_armory_01_12,Emma... you know I can't stand creepy stories like that.
d_ex_armory_01_13,"You're not scared, are you?"
d_ex_armory_01_14,"After all, Nikkes are basically a weapons system with a human brain as a component."
d_ex_armory_01_15,"Yeah, but..."
d_ex_armory_01_16,at least we're living things. A gun is... just an object.
d_ex_armory_01_17,"Hmm. Oh well.
Commander, what do you think?"
d_ex_armory_01_18,Nikkes are living beings.
d_ex_armory_01_19,I'm not sure.
d_ex_armory_01_20,...
d_ex_armory_01_21,I'm glad you feel that way.
d_ex_armory_01_22,"What do you think, Emma?"
d_ex_armory_01_23,Me?
d_ex_armory_01_24,Well...
d_ex_armory_01_25,"I agree with the Commander, of course!"
d_ex_armory_01_26,You're just kissing up to him.
d_ex_armory_01_27,Am not!
d_ex_armory_01_28,"Hmm, most unexpected."
d_ex_armory_01_29,I assumed your answer would be filled with confidence.
d_ex_armory_01_30,I believe this is something that cannot be easily defined.
d_ex_armory_01_31,"Right...
Nowadays, nearly everyone relies on machines to live in some capacity."
d_ex_armory_01_32,"Humans have machines inside them, and vice versa with Nikkes."
d_ex_armory_01_33,"How little separation must there be before the definition of ""life"" must be changed?"
d_ex_armory_01_34,I'm still not sure.
d_ex_armory_01_35,"Uhh, Emma."
d_ex_armory_01_36,Why bother thinking about this kinda stuff anyway?
d_ex_armory_01_37,"""Living"" or not,"
d_ex_armory_01_38,"all we gotta do is kill whatever gets in our way, and let the rest pass on by."
d_ex_armory_01_39,Hmm...
d_ex_armory_01_40,I suppose that's a good argument.
