id,amplitude_x,amplitude_y,amplitude_z,amplitude_fov,frequency_x,frequency_y,frequency_z,frequency_fov,loop
Low,1.0,1.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0
Middle,2.0,3.0,0.0,0.0,20.0,20.0,20.0,20.0,1.0
High,4.0,4.0,0.0,0.0,40.0,40.0,40.0,40.0,2.0
Low_1,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,1.0
Middle_1,2.0,3.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0
Elevator,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Elevator_1,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
Poli_1,1.0,1.0,1.0,1.0,5.0,0.0,0.0,10.0,1.0
Low_2,0.3,0.3,0.3,0.3,20.0,20.0,20.0,20.0,1.0
Low_2_Loop,0.3,0.3,0.3,0.3,20.0,20.0,20.0,20.0,0.0
Low_3_Loop,0.1,0.1,0.1,0.1,20.0,20.0,20.0,20.0,0.0
