id,group_Id,priority,is_DialogFirstPoint,printType,portrait_id,name_localkey,scenario_localkey,play_sound,play_bgm,scenario_effect_type,scenario_effect_value,execute_DelayTime,execute_Rate,first_show_check,ConditionData/0/useCondition_Type,ConditionData/0/useCondition_Value/0,set_background,set_background_cord_X,set_background_cord_Y,set_background_scale,SpineData/0/show_spine_resource_id,SpineData/0/spine_anim_resource_id,SpineData/0/spine_resource_cord_X,SpineData/0/spine_resource_cord_Y,SpineData/0/spine_resource_scale,SpineData/4/show_spine_resource_id,SpineData/4/spine_anim_resource_id,SpineData/4/spine_resource_cord_X,SpineData/4/spine_resource_cord_Y,SpineData/5/show_spine_resource_id,SpineData/5/spine_anim_resource_id,SpineData/5/spine_resource_cord_X,SpineData/5/spine_resource_cord_Y,SpineData/6/show_spine_resource_id,SpineData/6/spine_anim_resource_id,SpineData/6/spine_resource_cord_X,SpineData/6/spine_resource_cord_Y,SpineData/7/show_spine_resource_id,SpineData/7/spine_anim_resource_id,SpineData/8/show_spine_resource_id,SpineData/8/spine_anim_resource_id,SpineData/1/show_spine_resource_id,SpineData/1/spine_anim_resource_id,SpineData/1/spine_resource_cord_X,SpineData/1/spine_resource_cord_Y,SpineData/1/spine_resource_scale,SpineData/2/show_spine_resource_id,SpineData/2/spine_anim_resource_id,SpineData/2/spine_resource_cord_X,SpineData/2/spine_resource_cord_Y,SpineData/2/spine_resource_scale,hide_background,SpineData/0/hide_spine_resource_id,SpineData/1/hide_spine_resource_id,ConditionData/0/useCondition_Value/1,ConditionData/0/useCondition_Value/2,ConditionData/1/useCondition_Type,ConditionData/1/useCondition_Value/0,SpineData/2/hide_spine_resource_id,SpineData/3/show_spine_resource_id,SpineData/3/spine_anim_resource_id,SpineData/3/spine_resource_cord_X,SpineData/3/spine_resource_cord_Y,SpineData/3/spine_resource_scale,SpineData/3/hide_spine_resource_id,SpineData/4/spine_resource_scale,SpineData/8/spine_resource_cord_X,SpineData/8/spine_resource_cord_Y,SpineData/8/spine_resource_scale,SpineData/5/spine_resource_scale,SpineData/8/hide_spine_resource_id,SpineData/5/hide_spine_resource_id,SpineData/7/spine_resource_cord_X,SpineData/7/spine_resource_cord_Y,SpineData/7/spine_resource_scale,SpineData/7/hide_spine_resource_id,SpineData/6/spine_resource_scale,SpineData/6/hide_spine_resource_id,SpineData/9/show_spine_resource_id,SpineData/9/spine_anim_resource_id,SpineData/9/spine_resource_cord_X,SpineData/9/spine_resource_cord_Y,SpineData/9/spine_resource_scale,SpineData/9/hide_spine_resource_id,SpineData/4/hide_spine_resource_id
1,NKSmini_Dialog_Group_01,1,True,Stage,NKS_characterDialog_c220,Locale_Character:220_name,Locale_Event:NKS_ScenarioDialog_001_01,sfx,bgm,set_camera_shake,Low_1,1500.0,10000.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NKSmini_Dialog_Group_01,1,False,Stage,NKS_characterDialog_c220,Locale_Character:233_name,Locale_Event:NKS_ScenarioDialog_001_01,sfx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NKSmini_Dialog_Group_01,1,False,Stage,NKS_characterDialog_c470,Locale_Character:220_name,Locale_Event:NKS_ScenarioDialog_001_01,,bgm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NKSmini_Dialog_Group_02,2,True,Stage,NKS_characterDialog_c220,Locale_Character:220_name,Locale_Event:NKS_ScenarioDialog_001_01,,,white,2,1500.0,10000.0,True,Check_ItemHold,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NKSmini_Dialog_Group_02,2,False,Stage,NKS_characterDialog_c220,Locale_Character:220_name,Locale_Event:NKS_ScenarioDialog_001_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,NKSmini_Dialog_Group_03,2,False,Stage,NKS_characterDialog_c470,Locale_Character:233_name,Locale_Event:NKS_ScenarioDialog_001_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,NKSmini_Dialog_Group_03,2,False,Stage,NKS_characterDialog_c470,Locale_Character:220_name,Locale_Event:NKS_ScenarioDialog_001_01,,,white,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,NKSmini_Dialog_Group_05,3,True,Stage,NKS_characterDialog_c220,Locale_Character:220_name,Locale_Event:NKS_ScenarioDialog_001_01,,,,,1500.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NKSmini_Dialog_Group_05,3,False,Stage,NKS_characterDialog_c470,Locale_Character:233_name,Locale_Event:NKS_ScenarioDialog_001_01,,,black,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100001,NKSmini_Dialog_Group_07_A,1,True,Stage,NKS_characterDialog_c220,Locale_Character:220_name,Locale_Event:NKS_ScenarioDialog_001_01,,event_bgm_redash_minigame_grassland,,,1500.0,3000.0,,,,NKS_sbg_02,0.0,0.0,0.2,NKS_characterDialog_c220_00,characterDialog_sprite_00,-20.0,100.0,1.0,NKS_characterDialog_emoji,characterDialog_emoji_00,-50.0,120.0,NKS_characterDialog_emoji,characterDialog_emoji_03,-70.0,120.0,NKS_characterDialog_emoji,characterDialog_emoji_07,-90.0,120.0,NKS_characterDialog_c928_00,characterDialog_sprite_00,NKS_characterDialog_c966_01,characterDialog_sprite_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
