id,group,order,name,open_condition_type,open_condition_value,stage_group
10011,1001,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1001101
10012,1001,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1001201
10021,1002,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1002101
10022,1002,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1002201
10031,1003,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1003101
10041,1004,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1004101
10042,1004,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1004201
10051,1005,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1005101
10052,1005,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1005201
10061,1006,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1006101
10062,1006,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,8,1006201
10071,1007,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1007101
10072,1007,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1007201
10081,1008,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1008101
10091,1009,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1009101
10092,1009,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1009201
10101,1010,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1010101
10102,1010,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1010201
10111,1011,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1011101
10112,1011,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1011201
10121,1012,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1012101
10122,1012,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1012201
10131,1013,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1013101
10141,1014,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1014101
10142,1014,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1014201
10151,1015,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1015101
10161,1016,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1016101
10162,1016,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1016201
10171,1017,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1017101
10172,1017,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1017201
10201,1020,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1020101
10211,1021,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1021101
10212,1021,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1021201
10221,1022,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1022101
10222,1022,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1022201
10231,1023,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1023101
10232,1023,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1023201
10241,1024,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1024101
10251,1025,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1025101
10252,1025,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1025201
10261,1026,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1026101
10271,1027,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1027101
10272,1027,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1027201
10281,1028,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1028101
10282,1028,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1028201
10291,1029,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1029101
10292,1029,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1029201
10301,1030,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1030101
10302,1030,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1030201
10311,1031,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1031101
10321,1032,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1032101
10322,1032,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1032201
10331,1033,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1033101
10332,1033,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1033201
10341,1034,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1034101
10351,1035,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1035101
10352,1035,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1035201
10361,1036,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1036101
10362,1036,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1036201
10371,1037,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1037101
10372,1037,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1037201
10381,1038,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1038101
10382,1038,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1038201
10391,1039,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1039101
10392,1039,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,10,1039201
10401,1040,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1040101
10402,1040,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1040201
10411,1041,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1041101
10421,1042,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1042101
10422,1042,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1042201
10431,1043,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1043101
10432,1043,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1043201
10441,1044,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1044101
10442,1044,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1044201
10451,1045,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1045101
10461,1046,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1046101
10462,1046,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1046201
10471,1047,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1047101
10472,1047,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1047201
10481,1048,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1048101
10491,1049,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1049101
10492,1049,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1049201
10501,1050,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1050101
10502,1050,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1050201
10511,1051,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1051101
10521,1052,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1052101
10522,1052,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1052201
10531,1053,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1053101
10532,1053,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1053201
10541,1054,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1054101
10542,1054,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1054201
10551,1055,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1055101
10561,1056,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1056101
10571,1057,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1057101
10572,1057,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1057201
10581,1058,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1058101
10582,1058,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1058201
10591,1059,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1059101
10592,1059,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1059201
10601,1060,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1060101
10602,1060,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1060201
10611,1061,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1061101
10621,1062,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1062101
10622,1062,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1062201
10631,1063,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1063101
10632,1063,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1063201
10641,1064,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1064101
10651,1065,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1065101
10652,1065,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1065201
10661,1066,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1066101
10671,1067,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,EventDay,7,1067101
10672,1067,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,14,1067201
10681,1068,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1068101
10682,1068,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1068201
10691,1069,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1069101
10692,1069,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1069201
10701,1070,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1070101
10711,1071,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1071101
10712,1071,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1071201
10721,1072,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1072101
10722,1072,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1072201
10731,1073,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1073101
10732,1073,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1073201
10741,1074,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1074101
10742,1074,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1074201
10751,1075,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1075101
10761,1076,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1076101
10762,1076,2,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_HARD,EventDay,7,1076201
10771,1077,1,Locale_Stage:STORY_EVENT_DUNGEON_DIFFICULT_NORMAL,None,0,1077101
