id,livewallpaper_type,sub_type,order,name_localkey,description_localkey,live_wallpaper_resource_id,thumbnail_resource_id,si_resource_id,bgm_resource_id,is_secret,condition_type,condition_resource_id,condition_id
10,Scenario,Scenario,10001,Locale_LiveWallpaper:live_wallpaper_name_10,Locale_LiveWallpaper:live_wallpaper_description_10,livewallpaper/EventScene_Main_01_01,EventScene_Main_01_01_mi,EventScene_Main_01_01_si,bgm_Speed_01,False,None,0,0.0
11,Scenario,Scenario,10002,Locale_LiveWallpaper:live_wallpaper_name_11,Locale_LiveWallpaper:live_wallpaper_description_11,livewallpaper/EventScene_Main_01_03,EventScene_Main_01_03_mi,EventScene_Main_01_03_si,bgm_Speed_01,False,None,0,0.0
12,Scenario,Scenario,10003,Locale_LiveWallpaper:live_wallpaper_name_12,Locale_LiveWallpaper:live_wallpaper_description_12,livewallpaper/EventScene_Chap_02_After_01,EventScene_Chap_02_After_01_mi,EventScene_Chap_02_After_01_si,bgm_Speed_01,False,None,0,0.0
13,Scenario,Scenario,10004,Locale_LiveWallpaper:live_wallpaper_name_13,Locale_LiveWallpaper:live_wallpaper_description_13,livewallpaper/EventScene_Chap_04_01,EventScene_Chap_04_01_mi,EventScene_Chap_04_01_si,bgm_Speed_01,False,None,0,0.0
14,Scenario,Scenario,10005,Locale_LiveWallpaper:live_wallpaper_name_14,Locale_LiveWallpaper:live_wallpaper_description_14,livewallpaper/EventScene_Chap_04_After_01,EventScene_Chap_04_After_01_mi,EventScene_Chap_04_After_01_si,bgm_Speed_01,False,None,0,0.0
10001,Scenario,Event,20001,Locale_LiveWallpaper:live_wallpaper_name_10001,Locale_LiveWallpaper:live_wallpaper_description_10001,livewallpaper/EventScene_NoCallerID_01,EventScene_NoCallerID_01_mi,EventScene_NoCallerID_01_si,bgm_Speed_01,True,None,0,0.0
10002,Scenario,Event,20002,Locale_LiveWallpaper:live_wallpaper_name_10002,Locale_LiveWallpaper:live_wallpaper_description_10002,livewallpaper/EventScene_MiracleSnow_01,EventScene_MiracleSnow_01_mi,EventScene_MiracleSnow_01_si,bgm_Speed_01,True,None,0,0.0
10003,Scenario,Event,20003,Locale_LiveWallpaper:live_wallpaper_name_10003,Locale_LiveWallpaper:live_wallpaper_description_10003,livewallpaper/EventScene_D-Outsider_01,EventScene_D-Outsider_01_mi,EventScene_D-Outsider_01_si,bgm_Speed_01,True,None,0,0.0
10004,Scenario,Event,20004,Locale_LiveWallpaper:live_wallpaper_name_10004,Locale_LiveWallpaper:live_wallpaper_description_10004,livewallpaper/EventScene_BrandNewYear_02,EventScene_BrandNewYear_02_mi,EventScene_BrandNewYear_02_si,bgm_Speed_01,True,None,0,0.0
10005,Scenario,Event,20005,Locale_LiveWallpaper:live_wallpaper_name_10005,Locale_LiveWallpaper:live_wallpaper_description_10005,livewallpaper/EventScene_HightechToy_01,EventScene_HightechToy_01_mi,EventScene_HightechToy_01_si,bgm_Speed_01,True,None,0,0.0
15,Scenario,Event,20006,Locale_LiveWallpaper:live_wallpaper_name_15,Locale_LiveWallpaper:live_wallpaper_description_15,livewallpaper/EventScene_MaidInValentine_01,EventScene_MaidInValentine_01_mi,EventScene_MaidInValentine_01_si,bgm_Speed_01,True,None,0,0.0
16,Scenario,Event,20007,Locale_LiveWallpaper:live_wallpaper_name_16,Locale_LiveWallpaper:live_wallpaper_description_16,livewallpaper/EventScene_BowWowParadise_01,EventScene_BowWowParadise_01_mi,EventScene_BowWowParadise_01_si,bgm_Speed_01,True,None,0,0.0
17,Scenario,Event,20008,Locale_LiveWallpaper:live_wallpaper_name_17,Locale_LiveWallpaper:live_wallpaper_description_17,livewallpaper/EventScene_CherryBlossom_01,EventScene_CherryBlossom_01_mi,EventScene_CherryBlossom_01_si,bgm_Speed_01,True,None,0,0.0
18,Scenario,Event,20009,Locale_LiveWallpaper:live_wallpaper_name_18,Locale_LiveWallpaper:live_wallpaper_description_18,livewallpaper/EventScene_ltk_01,EventScene_LTK_01_mi,EventScene_LTK_01_si,bgm_Speed_01,True,None,0,0.0
19,Scenario,Event,20010,Locale_LiveWallpaper:live_wallpaper_name_19,Locale_LiveWallpaper:live_wallpaper_description_19,livewallpaper/EventScene_OverZone_02,EventScene_OverZone_02_mi,EventScene_OverZone_02_si,bgm_Speed_01,True,None,0,0.0
20,Scenario,Event,20011,Locale_LiveWallpaper:live_wallpaper_name_20,Locale_LiveWallpaper:live_wallpaper_description_20,livewallpaper/EventScene_BunnyX777_01,EventScene_BunnyX777_01_mi,EventScene_BunnyX777_01_si,bgm_Speed_01,True,None,0,0.0
21,Scenario,Event,20012,Locale_LiveWallpaper:live_wallpaper_name_21,Locale_LiveWallpaper:live_wallpaper_description_21,livewallpaper/EventScene_QueensOrder_01,EventScene_QueensOrder_01_mi,EventScene_QueensOrder_01_si,bgm_Speed_01,True,None,0,0.0
22,Scenario,Event,20013,Locale_LiveWallpaper:live_wallpaper_name_22,Locale_LiveWallpaper:live_wallpaper_description_22,livewallpaper/EventScene_BluewaterIsland_01,EventScene_BluewaterIsland_01_mi,EventScene_BluewaterIsland_01_si,bgm_Speed_01,True,None,0,0.0
23,Scenario,Event,20014,Locale_LiveWallpaper:live_wallpaper_name_23,Locale_LiveWallpaper:live_wallpaper_description_23,livewallpaper/EventScene_NyaNyaParadise_01,EventScene_NyaNyaParadise_01_mi,EventScene_NyaNyaParadise_01_si,bgm_Speed_01,True,None,0,0.0
24,Scenario,Event,20015,Locale_LiveWallpaper:live_wallpaper_name_24,Locale_LiveWallpaper:live_wallpaper_description_24,livewallpaper/EventScene_GoldenShip_01,EventScene_GoldenShip_01_mi,EventScene_GoldenShip_01_si,bgm_Speed_01,True,None,0,0.0
25,Scenario,Event,20016,Locale_LiveWallpaper:live_wallpaper_name_25,Locale_LiveWallpaper:live_wallpaper_description_25,livewallpaper/EventScene_SeaYouAgain_04_2,EventScene_SeaYouAgain_04_2_mi,EventScene_SeaYouAgain_04_2_si,bgm_Speed_01,True,None,0,0.0
26,Scenario,Event,20017,Locale_LiveWallpaper:live_wallpaper_name_26,Locale_LiveWallpaper:live_wallpaper_description_26,livewallpaper/EventScene_CE_02_01,EventScene_CE_02_01_mi,EventScene_CE_02_01_si,bgm_Speed_01,True,None,0,0.0
27,Scenario,Event,20018,Locale_LiveWallpaper:live_wallpaper_name_27,Locale_LiveWallpaper:live_wallpaper_description_27,livewallpaper/EventScene_SchoolOfLock_01,EventScene_SchoolOfLock_01_mi,EventScene_SchoolOfLock_01_si,bgm_Speed_01,True,None,0,0.0
28,Scenario,Event,20019,Locale_LiveWallpaper:live_wallpaper_name_28,Locale_LiveWallpaper:live_wallpaper_description_28,livewallpaper/EventScene_Dazzlingcupid_02,EventScene_Dazzlingcupid_02_mi,EventScene_Dazzlingcupid_02_si,bgm_Speed_01,True,None,0,0.0
29,Scenario,Event,20020,Locale_LiveWallpaper:live_wallpaper_name_29,Locale_LiveWallpaper:live_wallpaper_description_29,livewallpaper/EventScene_Dazzlingcupid_01,EventScene_Dazzlingcupid_01_mi,EventScene_Dazzlingcupid_01_si,bgm_Speed_01,True,None,0,0.0
30,Scenario,Event,20021,Locale_LiveWallpaper:live_wallpaper_name_30,Locale_LiveWallpaper:live_wallpaper_description_30,livewallpaper/EventScene_ACPUFreeze_01,EventScene_ACPUFreeze_01_mi,EventScene_ACPUFreeze_01_si,bgm_Speed_01,True,None,0,0.0
31,Scenario,Event,20022,Locale_LiveWallpaper:live_wallpaper_name_31,Locale_LiveWallpaper:live_wallpaper_description_31,livewallpaper/EventScene_redash_05_1,EventScene_redash_05_1_mi,EventScene_redash_05_1_si,bgm_Speed_01,True,None,0,0.0
32,Scenario,Event,20023,Locale_LiveWallpaper:live_wallpaper_name_32,Locale_LiveWallpaper:live_wallpaper_description_32,livewallpaper/EventScene_AloneSurvivor_01,EventScene_AloneSurvivor_01_mi,EventScene_AloneSurvivor_01_si,bgm_Speed_01,True,None,0,0.0
33,Scenario,Event,20024,Locale_LiveWallpaper:live_wallpaper_name_33,Locale_LiveWallpaper:live_wallpaper_description_33,livewallpaper/EventScene_neverland_01,EventScene_NeverLand_01_mi,EventScene_NeverLand_01_si,bgm_Speed_01,True,None,0,0.0
34,Scenario,Event,20025,Locale_LiveWallpaper:live_wallpaper_name_34,Locale_LiveWallpaper:live_wallpaper_description_34,livewallpaper/EventScene_neverland_02,EventScene_NeverLand_06_mi,EventScene_NeverLand_06_si,bgm_Speed_01,True,None,0,0.0
35,Scenario,Event,20026,Locale_LiveWallpaper:live_wallpaper_name_35,Locale_LiveWallpaper:live_wallpaper_description_35,livewallpaper/EventTitle_snowfalloasis_02,EventScene_SnowfallOasis_02_mi,EventScene_SnowfallOasis_02_si,bgm_Speed_01,True,None,0,0.0
36,Scenario,Event,20027,Locale_LiveWallpaper:live_wallpaper_name_36,Locale_LiveWallpaper:live_wallpaper_description_36,livewallpaper/EventScene_NewyearNewsword_01,EventScene_NewyearNewsword_01_mi,EventScene_NewyearNewsword_01_si,bgm_Speed_01,True,None,0,0.0
37,Scenario,Event,20028,Locale_LiveWallpaper:live_wallpaper_name_37,Locale_LiveWallpaper:live_wallpaper_description_37,livewallpaper/EventScene_LionHeart_01,EventScene_LionHeart_01_mi,EventScene_LionHeart_01_si,bgm_Speed_01,True,None,0,0.0
38,Scenario,Event,20029,Locale_LiveWallpaper:live_wallpaper_name_38,Locale_LiveWallpaper:live_wallpaper_description_38,livewallpaper/EventScene_DirtyBackyard_01,EventScene_DirtyBackyard_01_mi,EventScene_DirtyBackyard_01_si,bgm_Speed_01,True,None,0,0.0
39,Scenario,Event,20030,Locale_LiveWallpaper:live_wallpaper_name_39,Locale_LiveWallpaper:live_wallpaper_description_39,livewallpaper/EventScene_PerfectMaid_01,EventScene_PerfectMaid_01_mi,EventScene_PerfectMaid_01_si,bgm_Speed_01,True,None,0,0.0
40,Scenario,Event,20031,Locale_LiveWallpaper:live_wallpaper_name_40,Locale_LiveWallpaper:live_wallpaper_description_40,livewallpaper/EventScene_BOOMSDAY_01,EventScene_BOOMSDAY_01_mi,EventScene_BOOMSDAY_01_si,bgm_Speed_01,True,None,0,0.0
41,Scenario,Event,20033,Locale_LiveWallpaper:live_wallpaper_name_41,Locale_LiveWallpaper:live_wallpaper_description_41,livewallpaper/EventScene_CE003_01,EventScene_CE003_01_mi,EventScene_CE003_01_si,bgm_Speed_01,True,None,0,0.0
42,Scenario,Event,20032,Locale_LiveWallpaper:live_wallpaper_name_42,Locale_LiveWallpaper:live_wallpaper_description_42,livewallpaper/EventScene_KillTheLord_01,EventScene_KillTheLord_01_mi,EventScene_KillTheLord_01_si,bgm_Speed_01,True,None,0,0.0
