id,hub_group,helptip_group,helptip_group_order,helptip_title_localkey,is_hidden
100101,1001,10024,1,Locale_Event:mvg_basics_hub_title,False
100102,1001,10025,2,Locale_Event:mvg_move_hub_title,False
100103,1001,10026,3,Locale_Event:mvg_skill_b_hub_title,True
100104,1001,10027,4,Locale_Event:mvg_skill_c_hub_title,True
100105,1001,10028,5,Locale_Event:mvg_skill_d_hub_title,True
100106,1001,10029,6,Locale_Event:mvg_dash_hub_title,True
100107,1001,10030,7,Locale_Event:mvg_d_jum_hub_title,True
100108,1001,10031,8,Locale_Event:mvg_burst_hub_title,True
100109,1001,10032,9,Locale_Event:mvg_shield_hub_title,True
100110,1001,10033,10,Locale_Event:mvg_first_memory_hub_title,True
100111,1001,10034,11,Locale_Event:mvg_first_key_hub_title,True
100112,1001,10035,12,Locale_Event:mvg_first_module_hub_title,True
100113,1001,10036,24,Locale_Event:mvg_challenge_hub_title,False
100114,1001,10037,13,Locale_Event:mvg_easy_mode_hub_title,False
100115,1001,10038,14,Locale_Event:mvg_module_page_hub_title,False
100116,1001,10039,15,Locale_Event:mvg_collection_page_hub_title,False
100117,1001,10040,16,Locale_Event:mvg_mission_page_hub_title,False
100118,1001,10041,17,Locale_Event:mvg_save_point_hub_title,True
100119,1001,10042,19,Locale_Event:mvg_shop_hub_title,False
100120,1001,10043,20,Locale_Event:mvg_jump_hub_title,False
100121,1001,10044,21,Locale_Event:mvg_short_cut_key_title,False
100122,1001,10045,22,Locale_Event:mvg_minimap_hub_title,False
100123,1001,10046,23,Locale_Event:mvg_interaction_title,True
100124,1001,10047,18,Locale_Event:mvg_shop_normal_hub_title,False
100201,1002,10051,1,Locale_Event:EventBM_tutorial_title_010,False
100202,1002,10052,2,Locale_Event:EventBM_tutorial_title_020,False
100203,1002,10053,3,Locale_Event:EventBM_tutorial_title_030,False
100204,1002,10054,4,Locale_Event:EventBM_tutorial_title_040,False
100205,1002,10055,5,Locale_Event:EventBM_tutorial_title_050,False
100206,1002,10056,6,Locale_Event:EventBM_tutorial_title_060,False
100207,1002,10057,7,Locale_Event:EventBM_tutorial_title_070,False
100208,1002,10058,8,Locale_Event:EventBM_tutorial_title_080,False
