id,selection_group_id,selection_number,event_function_type,event_function_target_type,event_function_target_value,event_function_value_type,event_function_value,name_localkey,description_localkey
100101,10010,1,Heal,All,0,Percent,3000,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_HEAL_NAME,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_HEAL_DESC
100102,10010,2,Resurrection,Random,1,Percent,10000,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_RESURRECTION_RANDOM_NAME,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_RESURRECTION_RANDOM_DESC
100201,10020,1,Heal,All,0,Percent,2000,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_HEAL_NAME,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_HEAL_DESC
100202,10020,2,Resurrection,Random,1,Percent,5000,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_RESURRECTION_RANDOM_NAME,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_RESURRECTION_RANDOM_DESC
100301,10030,1,Heal,All,0,Percent,3000,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_HEAL_NAME,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_HEAL_DESC
100302,10030,2,Resurrection,Random,1,Percent,10000,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_RESURRECTION_RANDOM_NAME,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_RESURRECTION_RANDOM_DESC
100401,10040,1,Heal,All,0,Percent,10000,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_HEAL_NAME,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_HEAL_DESC
100402,10040,2,Resurrection,All,0,Percent,10000,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_RESURRECTION_ALL_NAME,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_RESURRECTION_ALL_DESC
210101,21010,1,ChangeBubble,Select,1,BubbleType,301,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_CHOICE_FIRST_NAME,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_CHANGE_BUBBLE_TYPE_A_DESC
210102,21010,2,ChangeBubble,Select,1,BubbleType,302,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_CHOICE_SECOND_NAME,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_CHANGE_BUBBLE_TYPE_B_DESC
210103,21010,3,ChangeBubble,Select,1,BubbleType,303,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_CHOICE_THIRD_NAME,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_CHANGE_BUBBLE_TYPE_C_DESC
210104,21010,4,ChangeBubble,Select,1,BubbleType,304,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_CHOICE_FOURTH_NAME,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_CHANGE_BUBBLE_TYPE_D_DESC
210105,21010,5,None,None,0,None,0,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_CHOICE_PASS_NAME,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_CHOICE_PASS_DESC
210201,21020,1,UpgradeBuff,Select,1,None,0,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_CHOICE_FIRST_NAME,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_UPGRADE_BUFF_SELECT_DESC
210202,21020,2,None,None,0,None,0,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_CHOICE_PASS_NAME,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_CHOICE_PASS_DESC
210301,21030,1,GainBuff,Random,1,Grade,103,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_CHOICE_FIRST_NAME,Locale_System:SIMULATIONROOM_EVENT_FUNCTION_GAIN_BUFF_GRADE_SSR_DESC
