id,name_localkey,npc_prefab,interaction_distance,chapter_mod,short_cut,quest_type,interaction_quest_id,show_condition_quest_id,hide_condition_quest_id,balloon_always_id,balloon_always_play_type,balloon_always_cycle,balloon_always_end_condition,scenario_type,scenario_id,scenario_play_type,fixed_scenario_type,fixed_scenario_id
5005001,Locale_Character:npc_149_name,c955_00_var,200,Normal,6,Sub,1103.0,1103.0,1103.0,,,,,,,,,
5006001,Locale_Character:npc_149_name,c955_00_var,200,Normal,7,Sub,1104.0,1104.0,1104.0,,,,,,,,,
5009001,Locale_Character:npc_957_name,c957_00_var,200,Normal,10,Sub,1191.0,1191.0,1191.0,,,,,,,,,
5013001,Locale_Character:npc_957_name,c957_00_var,200,Normal,14,Sub,1192.0,1192.0,1192.0,,,,,,,,,
5014001,Locale_Character:npc_954_name,c954_00_var,200,Normal,15,Sub,1212.0,1212.0,1212.0,,,,,,,,,
5016001,Locale_Character:npc_149_name,c955_00_var,200,Normal,17,Sub,1106.0,1106.0,1106.0,,,,,,,,,
5019001,Locale_Character:npc_957_name,c957_00_var,200,Normal,20,Sub,1193.0,1193.0,1193.0,,,,,,,,,
5019002,Locale_Character:npc_954_name,c954_00_var,200,Normal,20,Sub,1213.0,1213.0,1213.0,,,,,,,,,
7001001,Locale_Character:npc_954_name_var_01,c954_00_var,200,Normal,1,None,,,,,,,,,,,,
7001002,Locale_Character:npc_954_name_var_02,c954_01_var,200,Normal,1,None,,,,,,,,,,,,
7001003,Locale_Character:npc_954_name_var_03,c954_02_var,200,Normal,1,None,,,,,,,,,,,,
7001004,Locale_Character:npc_956_name_var_01,c956_00_var,200,Normal,1,None,,,,,,,,,,,,
7001005,Locale_Character:npc_956_name_var_02,c956_01_var,200,Normal,1,None,,,,,,,,,,,,
7001006,Locale_Character:npc_956_name_var_03,c956_02_var,200,Normal,1,None,,,,,,,,,,,,
7001007,Locale_Character:npc_5001_name,c5001_00_var,200,Normal,1,None,,,,,,,,,,,,
7002001,Locale_Character:npc_107_name,c5002_00_var,200,Normal,1,None,,,,,,,,,,,,
7003001,Locale_Character:npc_5023_name,c5023_00_var,200,Normal,1,None,,,,,,,,,,,,
7003002,Locale_Character:npc_5024_name,c5024_00_var,200,Normal,1,None,,,,,,,,,,,,
7003003,Locale_Character:npc_5025_name,c5025_00_var,200,Normal,1,None,,,,,,,,,,,,
7003004,Locale_Character:npc_5027_name,c5027_02_var,200,Normal,1,None,,,,,,,,,,,,
7003005,Locale_Character:npc_5027_name,c5027_03_var,200,Normal,1,None,,,,,,,,,,,,
7003006,Locale_Character:npc_5027_name,c5027_01_var,200,Normal,1,None,,,,,,,,,,,,
7003007,Locale_Character:352_name,c5018_00_var,200,Normal,1,None,,,,,,,,,,,,
7003008,Locale_Character:12_name,c5015_00_var,200,Normal,1,None,,,,,,,,,,,,
