id,name_localkey,description_localkey,resource_id,item_type,item_sub_type,item_rare,item_value,material_type,material_value,stack_max
7010001,Locale_Item:MaterialName_0001,Locale_Item:MaterialDescription_0001,icn_material_equipment_exp_r,Material,Equip_Material,R,100,None,0,9999999
7010002,Locale_Item:MaterialName_0002,Locale_Item:MaterialDescription_0002,icn_material_equipment_exp_sr,Material,Equip_Material,SR,1000,None,0,9999999
7010003,Locale_Item:MaterialName_7200301,Locale_Item:MaterialDescription_7200301,icn_material_equipment_exp_ssr,Material,Equip_Material,SSR,10000,None,0,9999999
7020001,Locale_Item:MaterialName_72001,Locale_Item:MaterialDescription_72001,icn_material_harmonycube_assault_1,Material,HarmonyCube_Material,SSR,1,None,0,9999999
7020002,Locale_Item:MaterialName_72002,Locale_Item:MaterialDescription_72002,icn_material_harmonycube_assault_2,Material,HarmonyCube_Material,SSR,1,None,0,9999999
7020003,Locale_Item:MaterialName_72003,Locale_Item:MaterialDescription_72003,icn_material_harmonycube_bear_1,Material,HarmonyCube_Material,SSR,1,None,0,9999999
7020004,Locale_Item:MaterialName_72004,Locale_Item:MaterialDescription_72004,icn_material_harmonycube_bear_2,Material,HarmonyCube_Material,SSR,1,None,0,9999999
7020005,Locale_Item:MaterialName_72005,Locale_Item:MaterialDescription_72005,icn_material_harmonycube_boost_1,Material,HarmonyCube_Material,SSR,1,None,0,9999999
7020006,Locale_Item:MaterialName_72006,Locale_Item:MaterialDescription_72006,icn_material_harmonycube_boost_2,Material,HarmonyCube_Material,SSR,1,None,0,9999999
7020007,Locale_Item:MaterialName_72007,Locale_Item:MaterialDescription_72007,icn_material_harmonycube_attacker,Material,HarmonyCube_Material,SSR,1,None,0,9999999
7020008,Locale_Item:MaterialName_72201,Locale_Item:MaterialDescription_72201,icn_material_harmonycube_defender,Material,HarmonyCube_Material,SSR,1,None,0,9999999
7020009,Locale_Item:MaterialName_72008,Locale_Item:MaterialDescription_72008,icn_material_harmonycube_supporter,Material,HarmonyCube_Material,SSR,1,None,0,9999999
7020010,Locale_Item:MaterialName_72009,Locale_Item:MaterialDescription_72009,icn_material_harmonycube_defender,Material,HarmonyCube_Material,SSR,1,None,0,9999999
7020011,Locale_Item:MaterialName_72302,Locale_Item:MaterialDescription_72302,icn_material_harmonycube_supporter_2,Material,HarmonyCube_Material,SSR,1,None,0,9999999
7020012,Locale_Item:MaterialName_72202,Locale_Item:MaterialDescription_72202,icn_material_harmonycube_defender_2,Material,HarmonyCube_Material,SSR,1,None,0,9999999
7020013,Locale_Item:MaterialName_72012,Locale_Item:MaterialDescription_72012,icn_material_harmonycube_boost_3,Material,HarmonyCube_Material,SSR,1,None,0,9999999
7020014,Locale_Item:MaterialName_72013,Locale_Item:MaterialDescription_72013,icn_material_harmonycube_assault_3,Material,HarmonyCube_Material,SSR,1,None,0,9999999
7020015,Locale_Item:MaterialName_72014,Locale_Item:MaterialDescription_72014,icn_material_harmonycube_bear_3,Material,HarmonyCube_Material,SSR,1,None,0,9999999
7031001,Locale_Item:MaterialName_77001,Locale_Item:MaterialDescription_77001,icn_material_outpost_all,Material,OutpostBuild_Material,R,1,None,0,9999999
