id,resource_id,tab_type,user_profile_type,filter_type,order,name_localkey,description_localkey,is_sub_resource_prism,sub_resource_id
1,uf_100,Normal,None,None,10001,Locale_Profile:uf_name_100,Locale_Profile:uf_description_100,False,
7,icn_ranking_frame_1st_gamma,Normal,Ark,None,10201,Locale_Profile:uf_name_106,Locale_Profile:uf_description_106,False,
8,icn_ranking_frame_1st_beta,Normal,Ark,None,10202,Locale_Profile:uf_name_107,Locale_Profile:uf_description_107,False,
9,icn_ranking_frame_1st_alpha,Normal,Ark,None,10203,Locale_Profile:uf_name_108,Locale_Profile:uf_description_108,False,
10,icn_ranking_frame_5th_gamma,Normal,Ark,None,10301,Locale_Profile:uf_name_109,Locale_Profile:uf_description_109,False,
11,icn_ranking_frame_5th_beta,Normal,Ark,None,10302,Locale_Profile:uf_name_110,Locale_Profile:uf_description_110,False,
12,icn_ranking_frame_5th_alpha,Normal,Ark,None,10303,Locale_Profile:uf_name_111,Locale_Profile:uf_description_111,False,
13,icn_ranking_frame_10th_gamma,Normal,Ark,None,10401,Locale_Profile:uf_name_112,Locale_Profile:uf_description_112,False,
14,icn_ranking_frame_10th_beta,Normal,Ark,None,10402,Locale_Profile:uf_name_113,Locale_Profile:uf_description_113,False,
15,icn_ranking_frame_10th_alpha,Normal,Ark,None,10403,Locale_Profile:uf_name_114,Locale_Profile:uf_description_114,False,
16,icn_frontier_frame,Normal,None,None,10101,Locale_Profile:uf_name_frontier,Locale_Profile:uf_description_forntier,False,
17,icn_commander_frame,Normal,None,None,10102,Locale_Profile:uf_name_commander,Locale_Profile:uf_description_commander,False,
18,icn_dog_tag_frame,Normal,None,None,10103,Locale_Profile:uf_name_dog_tag,Locale_Profile:uf_description_dog_tag,False,
19,icn_credit_frame,Normal,None,None,10104,Locale_Profile:uf_name_credit,Locale_Profile:uf_description_credit,False,
20,icn_ce_01_event_frame_01,Normal,Event,None,10501,Locale_Profile:uf_name_ce_01_event,Locale_Profile:uf_description_ce_01_event,False,
21,icn_ce_01_event_frame_02,Normal,Event,None,10502,Locale_Profile:uf_name_ce_02_event,Locale_Profile:uf_description_ce_02_event,False,
22,icn_champion_arena_acheivement_1_frame,Normal,Event,None,10105,Locale_Profile:uf_name__champion_arena_acheivement_1,Locale_Profile:uf_description__champion_arena_acheivement_1,False,
23,icn_champion_arena_acheivement_2_frame,Normal,Event,None,10106,Locale_Profile:uf_name__champion_arena_acheivement_2,Locale_Profile:uf_description__champion_arena_acheivement_2,False,
24,icn_ce002_event_frame_01,Normal,Event,None,10107,Locale_Profile:uf_name_ce002_01_event,Locale_Profile:uf_description_ce002_01_event,False,
25,icn_ce002_event_frame_02,Normal,Event,None,10108,Locale_Profile:uf_name_ce002_02_event,Locale_Profile:uf_description_ce002_02_event,False,
26,icn_nks_event_frame,Normal,Event,None,10503,Locale_Profile:uf_name_nks_event,Locale_Profile:uf_description_nks_event,False,
27,icn_ce003_event_frame_01,Normal,Event,None,10504,Locale_Profile:uf_name_ce003_01_event,Locale_Profile:uf_description_ce003_01_event,False,
28,icn_ce003_event_frame_02,Normal,Event,None,10505,Locale_Profile:uf_name_ce003_02_event,Locale_Profile:uf_description_ce003_02_event,False,
29,icn_side_story_frame_01,Normal,Event,None,10109,Locale_Profile:uf_name_side_story_frame_01,Locale_Profile:uf_description_side_story_frame_01,False,
30,icn_side_story_frame_02,Normal,Event,None,10110,Locale_Profile:uf_name_side_story_frame_02,Locale_Profile:uf_description_side_story_frame_02,False,
31,icn_aegisthediver_event_frame,Normal,Event,None,10506,Locale_Profile:uf_name_aegisthediver_event,Locale_Profile:uf_description_aegisthediver_event,False,
32,icn_ce004_event_frame_01,Normal,Event,None,10507,Locale_Profile:uf_name_ce004_event_frame_01,Locale_Profile:uf_description_ce004_event_frame_01,False,
33,icn_ce004_event_frame_02,Normal,Event,None,10508,Locale_Profile:uf_name_ce004_event_frame_02,Locale_Profile:uf_description_ce004_event_frame_02,False,
34,icn_ce004_event_frame_03,Normal,Event,None,10509,Locale_Profile:uf_name_ce004_event_frame_03,Locale_Profile:uf_description_ce004_event_frame_03,False,
35,icn_side_story_frame_03,Normal,Event,None,10111,Locale_Profile:uf_name_side_story_frame_03,Locale_Profile:uf_description_side_story_frame_03,False,
36,icn_mvg_event_frame,Normal,Event,None,10112,Locale_Profile:uf_name_mvg_event,Locale_Profile:uf_description_mvg_event,False,
37,icn_ce005_event_frame_01,Normal,Event,None,10510,Locale_Profile:uf_name_ce005_event_frame_01,Locale_Profile:uf_description_ce005_event_frame_01,False,
38,icn_ce005_event_frame_02,Normal,Event,None,10511,Locale_Profile:uf_name_ce005_event_frame_02,Locale_Profile:uf_description_ce005_event_frame_02,False,
39,icn_ce005_event_frame_03,Normal,Event,None,10512,Locale_Profile:uf_name_ce005_event_frame_03,Locale_Profile:uf_description_ce005_event_frame_03,False,
40,icn_side_story_frame_04,Normal,Event,None,10113,Locale_Profile:uf_name_side_story_frame_04,Locale_Profile:uf_description_side_story_frame_04,False,
41,icn_ce006_event_frame_01,Normal,Event,None,10513,Locale_Profile:uf_name_ce006_event_frame_01,Locale_Profile:uf_description_ce006_event_frame_01,False,
42,icn_ce006_event_frame_02,Normal,Event,None,10514,Locale_Profile:uf_name_ce006_event_frame_02,Locale_Profile:uf_description_ce006_event_frame_02,False,
43,icn_1000days_event_frame,Normal,Event,None,10114,Locale_Profile:uf_name_1000days_event_frame,Locale_Profile:uf_description_1000days_event_frame,False,
1001,icn_vote_event_01_frame_01,Normal,Event,None,10601,Locale_Profile:icn_vote_event_01_frame_01_name,Locale_Profile:icn_vote_event_01_frame_01_description,False,
1002,icn_vote_event_01_frame_02,Normal,Event,None,10602,Locale_Profile:icn_vote_event_01_frame_02_name,Locale_Profile:icn_vote_event_01_frame_02_description,False,
1003,icn_vote_event_01_frame_03,Normal,Event,None,10603,Locale_Profile:icn_vote_event_01_frame_03_name,Locale_Profile:icn_vote_event_01_frame_03_description,False,
1004,icn_vote_event_01_frame_04,Normal,Event,None,10604,Locale_Profile:icn_vote_event_01_frame_04_name,Locale_Profile:icn_vote_event_01_frame_04_description,False,
1005,icn_vote_event_01_frame_05,Normal,Event,None,10605,Locale_Profile:icn_vote_event_01_frame_05_name,Locale_Profile:icn_vote_event_01_frame_05_description,False,
1011,icn_vote_event_02_frame_01,Normal,Event,None,10606,Locale_Profile:icn_vote_event_02_frame_01_name,Locale_Profile:icn_vote_event_02_frame_01_description,False,
1012,icn_vote_event_02_frame_02,Normal,Event,None,10607,Locale_Profile:icn_vote_event_02_frame_02_name,Locale_Profile:icn_vote_event_02_frame_02_description,False,
