id,group_id,is_infinity,is_repeat,repeat_count,PresetGroupData/0/preset_group_id,PresetGroupData/0/preset_group_ratio,PresetGroupData/1/preset_group_id,PresetGroupData/1/preset_group_ratio,PresetGroupData/2/preset_group_id,PresetGroupData/2/preset_group_ratio,PresetGroupData/3/preset_group_id,PresetGroupData/3/preset_group_ratio,PresetGroupData/4/preset_group_id,PresetGroupData/4/preset_group_ratio,PresetGroupData/5/preset_group_id,PresetGroupData/5/preset_group_ratio,PresetGroupData/6/preset_group_id,PresetGroupData/6/preset_group_ratio,PresetGroupData/7/preset_group_id,PresetGroupData/7/preset_group_ratio,PresetGroupData/8/preset_group_id,PresetGroupData/8/preset_group_ratio,PresetGroupData/9/preset_group_id,PresetGroupData/9/preset_group_ratio,PresetGroupData/10/preset_group_id,PresetGroupData/10/preset_group_ratio,PresetGroupData/11/preset_group_id,PresetGroupData/11/preset_group_ratio,PresetGroupData/12/preset_group_id,PresetGroupData/12/preset_group_ratio,PresetGroupData/13/preset_group_id,PresetGroupData/13/preset_group_ratio,PresetGroupData/14/preset_group_id,PresetGroupData/14/preset_group_ratio,PresetGroupData/15/preset_group_id,PresetGroupData/15/preset_group_ratio,level_up_locale,PresetGroupData/16/preset_group_id,PresetGroupData/16/preset_group_ratio,PresetGroupData/17/preset_group_id,PresetGroupData/17/preset_group_ratio,PresetGroupData/18/preset_group_id,PresetGroupData/18/preset_group_ratio,PresetGroupData/19/preset_group_id,PresetGroupData/19/preset_group_ratio
1,1,False,True,3.0,40101,1666,40201,1666,40301,1666,40401.0,1666.0,40501.0,1666.0,40601.0,1670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,False,False,,40101,1500,40201,1500,40301,1500,40401.0,1500.0,40501.0,1500.0,40601.0,1500.0,10401.0,250.0,20501.0,250.0,30101.0,250.0,10402.0,250.0,,,,,,,,,,,,,,,,,,,,,
3,1,False,True,3.0,50101,900,50201,900,50301,900,50401.0,900.0,50501.0,900.0,50601.0,900.0,50701.0,900.0,50801.0,900.0,50901.0,900.0,51001.0,900.0,10101.0,200.0,20101.0,150.0,30101.0,150.0,10102.0,200.0,90101.0,150.0,90201.0,150.0,,,,,,,,,
4,1,False,False,,10101,1250,10102,1250,20101,1500,30101.0,1500.0,90101.0,1500.0,90201.0,1500.0,90301.0,1500.0,,,,,,,,,,,,,,,,,,,Locale_Event:event_dungeon_run_level_up_01,,,,,,,,
5,1,False,True,4.0,50301,875,50401,875,50501,875,50601.0,875.0,50701.0,875.0,50801.0,875.0,50901.0,875.0,51001.0,875.0,60101.0,250.0,60201.0,250.0,60301.0,250.0,60401.0,250.0,60501.0,300.0,60601.0,300.0,60701.0,300.0,60801.0,300.0,,90101.0,200.0,90201.0,200.0,90301.0,200.0,90501.0,200.0
6,1,False,False,,10101,800,10102,800,20101,1200,20201.0,1200.0,90101.0,1500.0,90201.0,1500.0,90301.0,1000.0,90404.0,1000.0,90501.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,
7,1,False,False,,30201,5000,30302,3000,30402,1000,30502.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,False,False,,50701,375,50801,375,50901,375,51001.0,375.0,50101.0,375.0,50201.0,375.0,60901.0,625.0,61001.0,625.0,60101.0,625.0,60201.0,625.0,60301.0,625.0,60401.0,625.0,70101.0,250.0,70201.0,250.0,70301.0,250.0,70401.0,250.0,Locale_Event:event_dungeon_run_level_up_02,90101.0,250.0,90201.0,300.0,90301.0,300.0,90501.0,150.0
9,1,False,True,3.0,50701,375,50801,375,50901,375,51001.0,375.0,50101.0,375.0,50201.0,375.0,60901.0,625.0,61001.0,625.0,60101.0,625.0,60201.0,625.0,60301.0,625.0,60401.0,625.0,70101.0,250.0,70201.0,250.0,70301.0,250.0,70401.0,250.0,,90101.0,250.0,90201.0,300.0,90301.0,300.0,90501.0,150.0
10,1,False,False,,10201,3500,10202,3500,10303,1500,10304.0,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,False,True,4.0,60501,1000,60601,1000,60701,1000,60801.0,1000.0,60901.0,1000.0,61001.0,1000.0,70101.0,300.0,70201.0,300.0,70301.0,300.0,70401.0,300.0,70501.0,300.0,70601.0,300.0,70701.0,300.0,70801.0,300.0,70901.0,300.0,71001.0,300.0,Locale_Event:event_dungeon_run_level_up_03,90103.0,300.0,90203.0,250.0,90301.0,250.0,90501.0,200.0
12,1,False,False,,20201,5500,20302,4000,20402,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,False,True,4.0,60102,1000,60202,1000,60302,1000,70102.0,500.0,70202.0,500.0,70302.0,500.0,70402.0,500.0,70502.0,500.0,70602.0,500.0,70702.0,500.0,70802.0,500.0,70902.0,500.0,71002.0,500.0,80101.0,250.0,80201.0,250.0,80301.0,250.0,Locale_Event:event_dungeon_run_level_up_04,80401.0,250.0,90302.0,300.0,90502.0,500.0,90401.0,200.0
14,1,False,False,,10301,1000,10302,1000,20301,1000,20401.0,500.0,30301.0,1000.0,30401.0,1000.0,30501.0,1000.0,30601.0,1000.0,90102.0,500.0,90202.0,500.0,90302.0,500.0,90401.0,500.0,90502.0,500.0,,,,,,,,,,,,,,,
15,1,False,False,,30301,2500,30401,2500,30501,2500,30601.0,2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
