id,skill_level,point
1,1,0
2,2,5
3,3,10
4,4,15
5,5,30
6,6,45
7,7,60
8,8,90
9,9,120
10,10,150
11,11,200
12,12,250
13,13,300
14,14,350
15,15,400
16,16,450
17,17,500
18,18,550
19,19,600
20,20,650
21,21,700
22,22,750
23,23,800
24,24,850
25,25,900
26,26,950
27,27,1000
28,28,1050
29,29,1100
30,30,1150
31,31,1200
32,32,1250
33,33,1300
34,34,1350
35,35,1400
36,36,1450
37,37,1500
38,38,1550
39,39,1600
40,40,1650
41,41,1700
42,42,1750
43,43,1800
44,44,1850
45,45,1900
46,46,1950
47,47,2000
48,48,2050
49,49,2100
50,50,2150
51,51,2200
52,52,2250
53,53,2300
54,54,2350
55,55,2400
56,56,2450
57,57,2500
58,58,2550
59,59,2600
60,60,2650
61,61,2700
62,62,2750
63,63,2800
64,64,2850
65,65,2900
66,66,2950
67,67,3000
68,68,3050
69,69,3100
70,70,3150
71,71,3200
72,72,3250
73,73,3300
74,74,3350
75,75,3400
76,76,3450
77,77,3500
78,78,3550
79,79,3600
80,80,3650
81,81,3700
82,82,3750
83,83,3800
84,84,3850
85,85,3900
86,86,3950
87,87,4000
88,88,4050
89,89,4100
90,90,4150
91,91,4200
92,92,4250
93,93,4300
94,94,4350
95,95,4400
96,96,4450
97,97,4500
98,98,4550
99,99,4600
100,100,4650
