id,wave_group,wave_order,wave_resource_prefab,wave_front_resource,wave_resource_length,summon_currency_get_value,wave_skip_condition_Stage,wave_skip_give_currency,summon_time_group,summon_max_count ,enemy_target_type,enemy_target_id,enemy_target_level_add,monster_level_add,friendly_tower_level_add
1010101,10101,1,bm_wave_resource_green,bm_wave_resource_green_front,120,0,0,0,1011,50,Tower,1,0,0,0
1020101,10201,1,bm_wave_resource_green,bm_wave_resource_green_front,120,0,0,0,1021,50,Tower,1,0,0,0
1030101,10301,1,bm_wave_resource_green,bm_wave_resource_green_front,120,0,0,0,1031,50,Tower,1,0,0,0
1040101,10401,1,bm_wave_resource_green,bm_wave_resource_green_front,130,0,0,0,1041,50,Tower,1,0,0,0
1050101,10501,1,bm_wave_resource_green,bm_wave_resource_green_front,130,0,0,0,1051,50,Tower,1,0,0,0
1050102,10501,2,bm_wave_resource_green,bm_wave_resource_green_front,130,0,0,0,1052,50,Tower,1,1,1,1
1060101,10601,1,bm_wave_resource_green,bm_wave_resource_green_front,130,0,0,0,1061,50,Tower,1,0,0,0
1060102,10601,2,bm_wave_resource_green,bm_wave_resource_green_front,130,0,0,0,1062,50,Tower,1,1,1,1
1070101,10701,1,bm_wave_resource_green,bm_wave_resource_green_front,140,0,0,0,1071,50,Tower,1,0,0,0
1070102,10701,2,bm_wave_resource_green,bm_wave_resource_green_front,140,0,0,0,1072,50,Tower,1,1,1,1
1070103,10701,3,bm_wave_resource_green,bm_wave_resource_green_front,140,0,0,0,1073,50,Monster,1041,1,1,1
2010101,20101,1,bm_wave_resource_snow,bm_wave_resource_snow_front,150,0,0,0,2011,70,Tower,1,0,0,0
2010102,20101,2,bm_wave_resource_snow,bm_wave_resource_snow_front,150,0,0,0,2012,70,Tower,1,1,1,1
2020101,20201,1,bm_wave_resource_snow,bm_wave_resource_snow_front,150,0,0,0,2021,70,Tower,1,0,0,0
2020102,20201,2,bm_wave_resource_snow,bm_wave_resource_snow_front,150,0,0,0,2022,70,Tower,1,1,1,1
2030101,20301,1,bm_wave_resource_snow,bm_wave_resource_snow_front,150,0,0,0,2031,70,Tower,1,0,0,0
2030102,20301,2,bm_wave_resource_snow,bm_wave_resource_snow_front,150,0,0,0,2032,70,Tower,1,1,1,1
2040101,20401,1,bm_wave_resource_snow,bm_wave_resource_snow_front,160,0,0,0,2041,70,Tower,1,0,0,0
2040102,20401,2,bm_wave_resource_snow,bm_wave_resource_snow_front,160,0,0,0,2042,70,Tower,1,1,1,1
2040103,20401,3,bm_wave_resource_snow,bm_wave_resource_snow_front,160,0,0,0,2043,70,Tower,1,1,1,1
2050101,20501,1,bm_wave_resource_snow,bm_wave_resource_snow_front,160,0,0,0,2051,70,Tower,1,0,0,0
2050102,20501,2,bm_wave_resource_snow,bm_wave_resource_snow_front,160,0,0,0,2052,70,Tower,1,1,1,1
2050103,20501,3,bm_wave_resource_snow,bm_wave_resource_snow_front,160,0,0,0,2053,70,Tower,1,1,1,1
2060101,20601,1,bm_wave_resource_snow,bm_wave_resource_snow_front,160,0,0,0,2061,70,Tower,1,0,0,0
2060102,20601,2,bm_wave_resource_snow,bm_wave_resource_snow_front,160,0,0,0,2062,70,Tower,1,1,1,1
2060103,20601,3,bm_wave_resource_snow,bm_wave_resource_snow_front,160,0,0,0,2063,70,Tower,1,1,1,1
2070101,20701,1,bm_wave_resource_snow,bm_wave_resource_snow_front,170,0,0,0,2071,70,Tower,1,0,0,0
2070102,20701,2,bm_wave_resource_snow,bm_wave_resource_snow_front,170,0,0,0,2072,70,Tower,1,1,1,1
2070103,20701,3,bm_wave_resource_snow,bm_wave_resource_snow_front,170,0,0,0,2073,70,Tower,1,1,1,1
2070104,20701,4,bm_wave_resource_snow,bm_wave_resource_snow_front,170,0,0,0,2074,70,Monster,1043,1,1,1
3010101,30101,1,bm_wave_resource_wilderness,bm_wave_resource_wilderness_front,180,0,0,0,3011,100,Tower,1,0,0,0
3010102,30101,2,bm_wave_resource_wilderness,bm_wave_resource_wilderness_front,180,0,0,0,3012,100,Tower,1,1,1,1
3010103,30101,3,bm_wave_resource_wilderness,bm_wave_resource_wilderness_front,180,0,0,0,3013,100,Monster,1042,1,1,1
3020101,30201,1,bm_wave_resource_wilderness,bm_wave_resource_wilderness_front,180,0,0,0,3021,100,Tower,1,0,0,0
3020102,30201,2,bm_wave_resource_wilderness,bm_wave_resource_wilderness_front,180,0,0,0,3022,100,Tower,1,1,1,1
3020103,30201,3,bm_wave_resource_wilderness,bm_wave_resource_wilderness_front,180,0,0,0,3023,100,Monster,1041,1,1,1
3030101,30301,1,bm_wave_resource_wilderness,bm_wave_resource_wilderness_front,180,0,0,0,3031,100,Tower,1,0,0,0
3030102,30301,2,bm_wave_resource_wilderness,bm_wave_resource_wilderness_front,180,0,0,0,3032,100,Tower,1,1,1,1
3030103,30301,3,bm_wave_resource_wilderness,bm_wave_resource_wilderness_front,180,0,0,0,3033,100,Monster,1043,1,1,1
3040101,30401,1,bm_wave_resource_wilderness,bm_wave_resource_wilderness_front,190,0,0,0,3041,100,Tower,1,0,0,0
3040102,30401,2,bm_wave_resource_wilderness,bm_wave_resource_wilderness_front,190,0,0,0,3042,100,Tower,1,1,1,1
3040103,30401,3,bm_wave_resource_wilderness,bm_wave_resource_wilderness_front,190,0,0,0,3043,100,Monster,1043,1,1,1
3040104,30401,4,bm_wave_resource_wilderness,bm_wave_resource_wilderness_front,190,0,0,0,3044,100,Monster,1041,1,1,1
3050101,30501,1,bm_wave_resource_wilderness,bm_wave_resource_wilderness_front,190,0,0,0,3051,100,Tower,1,0,0,0
3050102,30501,2,bm_wave_resource_wilderness,bm_wave_resource_wilderness_front,190,0,0,0,3052,100,Tower,1,1,1,1
3050103,30501,3,bm_wave_resource_wilderness,bm_wave_resource_wilderness_front,190,0,0,0,3053,100,Monster,1041,1,1,1
3050104,30501,4,bm_wave_resource_wilderness,bm_wave_resource_wilderness_front,190,0,0,0,3054,100,Monster,1042,1,1,1
3060101,30601,1,bm_wave_resource_wilderness,bm_wave_resource_wilderness_front,190,0,0,0,3061,100,Tower,1,0,0,0
3060102,30601,2,bm_wave_resource_wilderness,bm_wave_resource_wilderness_front,190,0,0,0,3062,100,Tower,1,1,1,1
3060103,30601,3,bm_wave_resource_wilderness,bm_wave_resource_wilderness_front,190,0,0,0,3063,100,Monster,1042,1,1,1
3060104,30601,4,bm_wave_resource_wilderness,bm_wave_resource_wilderness_front,190,0,0,0,3064,100,Monster,1043,1,1,1
3070101,30701,1,bm_wave_resource_wilderness,bm_wave_resource_wilderness_front,200,0,0,0,3071,100,Tower,1,0,0,0
3070102,30701,2,bm_wave_resource_wilderness,bm_wave_resource_wilderness_front,200,0,0,0,3072,100,Tower,1,1,1,1
3070103,30701,3,bm_wave_resource_wilderness,bm_wave_resource_wilderness_front,200,0,0,0,3073,100,Monster,1043,1,1,1
3070104,30701,4,bm_wave_resource_wilderness,bm_wave_resource_wilderness_front,200,0,0,0,3074,100,Monster,1042,1,1,1
3070105,30701,5,bm_wave_resource_wilderness,bm_wave_resource_wilderness_front,200,0,0,0,3075,100,Monster,1041,1,1,1
4010101,40101,1,bm_wave_resource_green,bm_wave_resource_green_front,120,0,107,100,4011,50,Tower,1,0,0,0
4010102,40101,2,bm_wave_resource_green,bm_wave_resource_green_front,130,0,107,100,4021,50,Tower,1,2,2,2
4010103,40101,3,bm_wave_resource_snow,bm_wave_resource_snow_front,140,0,207,100,4031,70,Tower,1,3,3,3
