id,grade,lv,level_hp,level_defence
10001,soft,1,645,100
10002,soft,2,645,100
10003,soft,3,645,100
10004,soft,4,645,100
10005,soft,5,645,100
10006,soft,6,677,105
10007,soft,7,742,115
10008,soft,8,805,125
10009,soft,9,837,130
10010,soft,10,870,135
10011,soft,11,902,140
10012,soft,12,1077,165
10013,soft,13,1292,175
10014,soft,14,1325,180
10015,soft,15,1357,185
10016,soft,16,1390,190
10017,soft,17,1422,195
10018,soft,18,1455,200
10019,soft,19,1490,205
10020,soft,20,1522,210
10021,soft,21,1555,215
10022,soft,22,1587,220
10023,soft,23,1810,230
10024,soft,24,1842,235
10025,soft,25,1877,240
10026,soft,26,1910,245
10027,soft,27,1942,250
10028,soft,28,2022,261
10029,soft,29,2055,266
10030,soft,30,2090,271
10031,soft,31,2122,276
10032,soft,32,2155,281
10033,soft,33,2190,286
10034,soft,34,2222,291
10035,soft,35,2257,296
10036,soft,36,2290,301
10037,soft,37,2325,306
10038,soft,38,2357,311
10039,soft,39,2390,316
10040,soft,40,2425,321
10041,soft,41,2520,326
10042,soft,42,2590,336
10043,soft,43,2695,429
10044,soft,44,2765,439
10045,soft,45,2832,449
10046,soft,46,2962,467
10047,soft,47,3030,477
10048,soft,48,3100,487
10049,soft,49,3167,497
10050,soft,50,3237,507
10051,soft,51,3332,521
10052,soft,52,3402,531
10053,soft,53,3562,541
10054,soft,54,3640,551
10055,soft,55,3717,561
10056,soft,56,3825,574
10057,soft,57,3902,584
10058,soft,58,4367,594
10059,soft,59,4450,604
10060,soft,60,4535,614
10061,soft,61,4650,628
10062,soft,62,4787,644
10063,soft,63,5002,670
10064,soft,64,5087,680
10065,soft,65,5172,690
10066,soft,66,5257,700
10067,soft,67,5430,721
10068,soft,68,5515,731
10069,soft,69,5600,741
10070,soft,70,5682,751
10071,soft,71,5767,761
10072,soft,72,5905,777
10073,soft,73,5990,787
10074,soft,74,6072,797
10075,soft,75,6157,807
10076,soft,76,6242,817
10077,soft,77,6327,827
10078,soft,78,6465,843
10079,soft,79,6547,853
10080,soft,80,6632,863
10081,soft,81,6717,873
10082,soft,82,6860,890
10083,soft,83,7465,961
10084,soft,84,7645,983
10085,soft,85,7775,998
10086,soft,86,7905,1013
10087,soft,87,8032,1028
10088,soft,88,8162,1044
10089,soft,89,8292,1059
10090,soft,90,8420,1074
10091,soft,91,8695,1108
10092,soft,92,8887,1130
10093,soft,93,9017,1145
10094,soft,94,9147,1161
10095,soft,95,9275,1176
10096,soft,96,9492,1213
10097,soft,97,9620,1228
10098,soft,98,9815,1252
10099,soft,99,9975,1277
10100,soft,100,10105,1292
10101,soft,101,10235,1308
10102,soft,102,10482,1343
10103,soft,103,14865,2568
10104,soft,104,11515,1484
10105,soft,105,11715,1507
10106,soft,106,11877,1533
10107,soft,107,12092,1558
10108,soft,108,12295,1583
10109,soft,109,12457,1609
10110,soft,110,12590,1624
10111,soft,111,12722,1640
10112,soft,112,12885,1665
10113,soft,113,13102,1691
10114,soft,114,13235,1707
10115,soft,115,13397,1732
10116,soft,116,13682,1748
10117,soft,117,13817,1763
10118,soft,118,14015,1812
10119,soft,119,14392,1857
10120,soft,120,14600,1880
10121,soft,121,14765,1906
10122,soft,122,14900,1921
10123,soft,123,18812,3023
10124,soft,124,19412,3093
10125,soft,125,19745,3133
10126,soft,126,16910,2182
10127,soft,127,17122,2213
10128,soft,128,17335,2244
10129,soft,129,17547,2275
10130,soft,130,17807,2306
10131,soft,131,18020,2337
10132,soft,132,18467,2411
10133,soft,133,18680,2442
10134,soft,134,18892,2473
10135,soft,135,19105,2505
