id,main_category_type,order_group_id,name_localkey,description_localkey,main_category_icon_name,sub_category_id,is_hide_if_not_valid,renew_type,date_ui_control,shop_type,shop_category,shop_prefab_name,sub_category_name_localkey,package_shop_id,start_date,end_date
10001,PopupPackageTab,100,Locale_System:CASH_SHOP_POPUP_PACKAGE_NAME,Locale_System:CASH_SHOP_POPUP_PACKAGE_DESC,ele_logo_package_popup_s,1,True,NoRenew,True,InAppShop,PopupPackageShop,package_popup_layout_001,,,,
20002,TimeLimitPackageTab,200,Locale_System:CASH_SHOP_TIMELIMIT_PACKAGE_NAME,Locale_System:CASH_SHOP_TIMELIMIT_PACKAGE_DESC,ele_logo_package_timelimit_s,22110402,True,NoRenew,True,InAppShop,TimeLimitPackageShop,package_timelimit_layout_001,Locale_System:INAPP_SHOP_SUB_CATEGORY_NEW_SERVER_COMMEMORATION_FUNCTION,2002.0,2022-11-03T20:15:00,2022-11-18T19:59:59
20003,TimeLimitPackageTab,200,Locale_System:CASH_SHOP_TIMELIMIT_PACKAGE_NAME,Locale_System:CASH_SHOP_TIMELIMIT_PACKAGE_DESC,ele_logo_package_timelimit_s,22110401,True,NoRenew,True,InAppShop,TimeLimitPackageShop,package_timelimit_layout_001,Locale_System:INAPP_SHOP_SUB_CATEGORY_FIRST_BUY_FUNCTION,2003.0,2022-11-03T20:15:00,2022-11-18T19:59:59
20004,TimeLimitPackageTab,200,Locale_System:CASH_SHOP_TIMELIMIT_PACKAGE_NAME,Locale_System:CASH_SHOP_TIMELIMIT_PACKAGE_DESC,ele_logo_package_timelimit_s,22111001,True,NoRenew,True,InAppShop,TimeLimitPackageShop,package_timelimit_layout_001,Locale_System:INAPP_SHOP_SUB_CATEGORY_PICKUP_FUNCTION,2004.0,2022-11-10T06:30:00,2022-11-23T19:59:59
20005,TimeLimitPackageTab,200,Locale_System:CASH_SHOP_TIMELIMIT_PACKAGE_NAME,Locale_System:CASH_SHOP_TIMELIMIT_PACKAGE_DESC,ele_logo_package_timelimit_s,22112402,True,NoRenew,True,InAppShop,TimeLimitPackageShop,package_timelimit_layout_001,Locale_System:INAPP_SHOP_SUB_CATEGORY_PICKUP_FUNCTION,2005.0,2022-11-23T18:15:00,2022-12-07T19:59:59
20006,TimeLimitPackageTab,200,Locale_System:CASH_SHOP_TIMELIMIT_PACKAGE_NAME,Locale_System:CASH_SHOP_TIMELIMIT_PACKAGE_DESC,ele_logo_package_timelimit_s,22112401,True,NoRenew,True,InAppShop,TimeLimitPackageShop,package_timelimit_layout_001,Locale_System:INAPP_SHOP_SUB_CATEGORY_COMMANDER_BEGIN_FUNCTION,2006.0,2022-11-23T18:15:00,2023-02-21T15:00:00
20007,TimeLimitPackageTab,200,Locale_System:CASH_SHOP_TIMELIMIT_PACKAGE_NAME,Locale_System:CASH_SHOP_TIMELIMIT_PACKAGE_DESC,ele_logo_package_timelimit_s,22120801,True,NoRenew,True,InAppShop,TimeLimitPackageShop,package_timelimit_layout_001,Locale_System:INAPP_SHOP_SUB_CATEGORY_CHRISTMAS_2022_01_FUNCTION,2007.0,2022-12-07T16:00:00,2022-12-28T14:59:59
20009,TimeLimitPackageTab,200,Locale_System:CASH_SHOP_TIMELIMIT_PACKAGE_NAME,Locale_System:CASH_SHOP_TIMELIMIT_PACKAGE_DESC,ele_logo_package_timelimit_s,22121501,True,NoRenew,True,InAppShop,TimeLimitPackageShop,package_timelimit_layout_001,Locale_System:INAPP_SHOP_SUB_CATEGORY_CHRISTMAS_2022_02_FUNCTION,2009.0,2022-12-14T20:00:00,2022-12-28T14:59:59
20010,TimeLimitPackageTab,200,Locale_System:CASH_SHOP_TIMELIMIT_PACKAGE_NAME,Locale_System:CASH_SHOP_TIMELIMIT_PACKAGE_DESC,ele_logo_package_timelimit_s,23010101,True,NoRenew,True,InAppShop,TimeLimitPackageShop,package_timelimit_layout_001,Locale_System:INAPP_SHOP_SUB_CATEGORY_PICKUP_FUNCTION,2010.0,2022-12-31T15:00:00,2023-01-18T19:59:59
20011,TimeLimitPackageTab,200,Locale_System:CASH_SHOP_TIMELIMIT_PACKAGE_NAME,Locale_System:CASH_SHOP_TIMELIMIT_PACKAGE_DESC,ele_logo_package_timelimit_s,22122901,True,NoRenew,True,InAppShop,TimeLimitPackageShop,package_timelimit_layout_001,Locale_System:INAPP_SHOP_SUB_CATEGORY_NEWYEAR_2023_FUNCTION,2011.0,2022-12-28T16:00:00,2023-01-11T14:59:59
