id,portrait_id,locale,voice_key
1,romanticvalentine_face_c354,Locale_Event:c354_EVENT_End_1,c354_EVENT_End_1
2,romanticvalentine_face_c354,Locale_Event:c354_EVENT_End_2,c354_EVENT_End_2
3,romanticvalentine_face_c354,Locale_Event:c354_EVENT_End_3,c354_EVENT_End_3
4,romanticvalentine_face_c354,Locale_Event:c354_EVENT_End_4,c354_EVENT_End_4
5,romanticvalentine_face_c354,Locale_Event:c354_EVENT_End_5,c354_EVENT_End_5
6,romanticvalentine_face_c354,Locale_Event:c354_EVENT_End_6,c354_EVENT_End_6
7,romanticvalentine_face_c355,Locale_Event:c355_EVENT_End_1,c355_EVENT_End_1
8,romanticvalentine_face_c355,Locale_Event:c355_EVENT_End_2,c355_EVENT_End_2
9,romanticvalentine_face_c355,Locale_Event:c355_EVENT_End_3,c355_EVENT_End_3
10,romanticvalentine_face_c355,Locale_Event:c355_EVENT_End_4,c355_EVENT_End_4
11,romanticvalentine_face_c355,Locale_Event:c355_EVENT_End_5,c355_EVENT_End_5
12,romanticvalentine_face_c355,Locale_Event:c355_EVENT_End_6,c355_EVENT_End_6
13,romanticvalentine_face_c401,Locale_Event:c401_EVENT_End_1,c401_EVENT_End_1
14,romanticvalentine_face_c401,Locale_Event:c401_EVENT_End_2,c401_EVENT_End_2
15,romanticvalentine_face_c401,Locale_Event:c401_EVENT_End_3,c401_EVENT_End_3
16,romanticvalentine_face_c401,Locale_Event:c401_EVENT_End_4,c401_EVENT_End_4
17,romanticvalentine_face_c401,Locale_Event:c401_EVENT_End_5,c401_EVENT_End_5
18,romanticvalentine_face_c401,Locale_Event:c401_EVENT_End_6,c401_EVENT_End_6
