id,group,order,mission_condition,mission_condition_target,mission_condition_value,description_localkey,reward_id
1,1,1,ObtainCharacter,5137,1,Locale_Event:EventGachaBoard_mission_01,3020101
2,1,2,CharacterSkill1Level,5137,4,Locale_Event:EventGachaBoard_mission_02,3020102
3,1,3,CharacterSkill1Level,5137,7,Locale_Event:EventGachaBoard_mission_02,3020103
4,1,4,CharacterSkill2Level,5137,4,Locale_Event:EventGachaBoard_mission_03,3020104
5,1,5,CharacterSkill2Level,5137,7,Locale_Event:EventGachaBoard_mission_03,3020105
6,1,6,CharacterskillBurstLevel,5137,4,Locale_Event:EventGachaBoard_mission_04,3020106
7,1,7,CharacterskillBurstLevel,5137,7,Locale_Event:EventGachaBoard_mission_04,3020107
8,1,9,CharacterAttractiveLevel,5137,10,Locale_Event:EventGachaBoard_mission_05,3020108
9,1,10,CharacterEquipCollection,5137,1,Locale_Event:EventGachaBoard_mission_06,3020109
10,1,11,CharacterCollectionItemLevel,5137,5,Locale_Event:EventGachaBoard_mission_07,3020110
11,1,12,CharacterEquipItemOverload,5137,1,Locale_Event:EventGachaBoard_mission_08,3020111
12,1,13,ObtainCharacter,5138,1,Locale_Event:EventGachaBoard_mission_01,3020101
13,1,14,CharacterSkill1Level,5138,4,Locale_Event:EventGachaBoard_mission_02,3020102
14,1,15,CharacterSkill1Level,5138,7,Locale_Event:EventGachaBoard_mission_02,3020103
15,1,16,CharacterSkill2Level,5138,4,Locale_Event:EventGachaBoard_mission_03,3020104
16,1,17,CharacterSkill2Level,5138,7,Locale_Event:EventGachaBoard_mission_03,3020105
17,1,18,CharacterskillBurstLevel,5138,4,Locale_Event:EventGachaBoard_mission_04,3020106
18,1,19,CharacterskillBurstLevel,5138,7,Locale_Event:EventGachaBoard_mission_04,3020107
19,1,20,CharacterAttractiveLevel,5138,10,Locale_Event:EventGachaBoard_mission_05,3020108
20,1,21,CharacterEquipCollection,5138,1,Locale_Event:EventGachaBoard_mission_06,3020109
21,1,22,CharacterCollectionItemLevel,5138,5,Locale_Event:EventGachaBoard_mission_07,3020110
22,1,23,CharacterEquipItemOverload,5138,1,Locale_Event:EventGachaBoard_mission_08,3020111
