id,VersionGroup,GroupId,SubGroupId,ClearedStageId,CloseStageId,TriggerValue,CloseValue,CharResourceId,Title_TextLocale,TextLocale,TextLocation,Background,AddonResource/0,FieldMovingRouteControl,UnmaskControl,UnmaskInputControl,NextId,SaveTutorial,ReconnectionTutorialId,ReconnectionTriggerValue,SkipButtonControl,UnmaskKeyList/0,IsShow,MarkHiddenItemId/0,HiddenItemMarkResource,UnmaskKeyList/1,UnmaskKeyList/2,UnmaskKeyList/3,UnmaskKeyList/4,TriggerValueExtraKey,CloseValueExtraKey,UnmaskTextLocale
1000011,1,1000,None,6000001,6000002,EnterField,EncounterMonster,si_c013_00_s,Locale_Tutorial:field_tuto01_01_title,Locale_Tutorial:field_tuto01_01_description,Top,0,fx_f_move_line_tuto_01,True,False,True,1000021,True,1000021,None,False,,,,,,,,,,,
1000021,1,1000,None,6000001,6000002,EnterCampaignStageSelectView,TouchBattleEntry,si_c013_00_s,Locale_Tutorial:field_tuto01_02_title,Locale_Tutorial:field_tuto01_02_description,Top,1,None,False,True,True,1000031,False,0,EnterCampaignStageSelectView,True,tuto_battle_enter,,,,,,,,,,
1000031,1,1000,None,6000001,6000002,EnterStageClearView,EncounterStageClear,,,,None,0,None,False,False,True,0,True,0,None,False,,False,,,,,,,,,
1010011,1,1010,None,6000002,6000003,EnterField,EncounterMonster,,,,None,0,fx_f_move_line_tuto_02,True,False,True,1010021,True,1010021,None,False,,,,,,,,,,,
1010021,1,1010,None,6000002,6000003,EnterCampaignStageSelectView,TouchBattleEntry,,,,None,1,None,False,True,True,1010031,False,0,None,True,tuto_battle_enter,,,,,,,,,,
1010031,1,1010,None,6000002,6000003,EnterStageClearView,EncounterStageClear,,,,None,0,None,False,False,True,0,True,0,None,False,,False,,,,,,,,,
1020011,1,1020,None,6000003,6001001,EnterChapter1FieldStart,EnterChapter1,,,,None,0,None,False,True,False,1020021,True,1020011,EnterChapter1FieldStart,True,,,,,,,,,,,
1020021,1,1020,None,6000003,6001001,EnterChapter1,None,si_c013_00_s,Locale_Tutorial:field_mission_01_title,Locale_Tutorial:field_mission_01_description,Bottom,1,None,False,True,True,1020031,False,0,None,True,,,,,,,,,,,
1020031,1,1020,None,6000003,6001001,None,EnterMissionPopup,,,,None,1,None,False,True,True,1020041,False,0,None,True,field_tuto02_02,,,,,,,,,,
1020041,1,1020,None,6000003,6001001,EnterMissionPopup,None,si_c013_00_s,Locale_Tutorial:field_mission_02_title,Locale_Tutorial:field_mission_02_description,Bottom,1,None,False,True,False,1020051,False,0,None,True,,,,,,,,,,,
1020051,1,1020,None,6000003,6001001,None,None,si_c013_00_s,Locale_Tutorial:field_mission_03_title,Locale_Tutorial:field_mission_03_description,Bottom,1,None,False,True,False,1020061,False,0,None,True,field_tuto_mission_03,,,,,,,,,,
1020061,1,1020,None,6000003,6001001,None,TouchMainMissionTab,si_c013_00_s,Locale_Tutorial:field_mission_04_title,Locale_Tutorial:field_mission_04_description,Bottom,1,None,False,True,True,1020071,False,0,None,True,field_tuto_mission_04,,,,,,,,,,
1020071,1,1020,None,6000003,6001001,TouchMainMissionTab,None,si_c013_00_s,Locale_Tutorial:field_mission_05_title,Locale_Tutorial:field_mission_05_description,Bottom,1,None,False,True,False,1020081,False,0,None,True,,,,,,,,,,,
1020081,1,1020,None,6000003,6001001,None,TouchAllReceiveButton,,,,None,1,None,False,True,True,1020091,True,1,None,True,tuto_all_receive_button,,,,,,,,,,
1020091,1,1020,None,6000003,6001001,CloseRewardPopup,None,si_c013_00_s,Locale_Tutorial:field_mission_06_title,Locale_Tutorial:field_mission_06_description,Top,1,None,False,True,True,1020101,False,0,None,True,,,,,,,,,,,
