id,name_localkey,description_localkey,resource_id,item_type,item_sub_type,class,item_rare,grade_core_id,grow_grade,stat/0/stat_type,stat/0/stat_value,stat/1/stat_type,stat/1/stat_value,stat/2/stat_type,stat/2/stat_value,stat/3/stat_type,stat/3/stat_value,stat/4/stat_type,stat/4/stat_value,stat/5/stat_type,stat/5/stat_value,option_slot/0/option_slot,option_slot/0/option_slot_success_ratio,option_slot/1/option_slot,option_slot/1/option_slot_success_ratio,option_slot/2/option_slot,option_slot/2/option_slot_success_ratio,option_cost,option_change_cost,option_lock_cost
3100901,Locale_Item:EquipName_1000_A,Locale_Item:EquipDescription_1000_A,icn_equipment_head_attacker_t9_3,Equip,Module_A,All,T9,9,0,Atk,999999,None,0,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3110101,Locale_Item:EquipName_3110101,Locale_Item:EquipDescription_3110101,icn_equipment_head_attacker_t1,Equip,Module_A,Attacker,T1,1,0,Atk,66,Hp,540,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3110201,Locale_Item:EquipName_3110201,Locale_Item:EquipDescription_3110201,icn_equipment_head_attacker_t1,Equip,Module_A,Attacker,T2,2,0,Atk,86,Hp,707,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3110301,Locale_Item:EquipName_3110301,Locale_Item:EquipDescription_3110301,icn_equipment_head_attacker_t3,Equip,Module_A,Attacker,T3,3,0,Atk,114,Hp,927,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3110401,Locale_Item:EquipName_3110401,Locale_Item:EquipDescription_3110401,icn_equipment_head_attacker_t3,Equip,Module_A,Attacker,T4,4,0,Atk,186,Hp,1521,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3110501,Locale_Item:EquipName_3110501,Locale_Item:EquipDescription_3110501,icn_equipment_head_attacker_t5,Equip,Module_A,Attacker,T5,5,0,Atk,305,Hp,2495,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3110601,Locale_Item:EquipName_3110601,Locale_Item:EquipDescription_3110601,icn_equipment_head_attacker_t5,Equip,Module_A,Attacker,T6,6,0,Atk,534,Hp,4367,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3110701,Locale_Item:EquipName_3110701,Locale_Item:EquipDescription_3110701,icn_equipment_head_attacker_t7,Equip,Module_A,Attacker,T7,7,0,Atk,935,Hp,7643,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3110801,Locale_Item:EquipName_3110801,Locale_Item:EquipDescription_3110801,icn_equipment_head_attacker_t7,Equip,Module_A,Attacker,T8,8,0,Atk,1739,Hp,14216,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3110901,Locale_Item:EquipName_3110901,Locale_Item:EquipDescription_3110901,icn_equipment_head_attacker_t9_1,Equip,Module_A,Attacker,T9,9,3111001,Atk,3233,Hp,26442,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3111001,Locale_Item:EquipName_3111001,Locale_Item:EquipDescription_3111001,icn_equipment_head_attacker_t9_3,Equip,Module_A,Attacker,T10,10,0,Atk,6014,Hp,49181,None,0,None,0,None,0,None,0,100000,10000,100000,5000,100000,3000,10,200,100
3120101,Locale_Item:EquipName_3120101,Locale_Item:EquipDescription_3120101,icn_equipment_head_defender_t1,Equip,Module_A,Defender,T1,1,0,Atk,44,Hp,660,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3120201,Locale_Item:EquipName_3120201,Locale_Item:EquipDescription_3120201,icn_equipment_head_defender_t1,Equip,Module_A,Defender,T2,2,0,Atk,58,Hp,865,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3120301,Locale_Item:EquipName_3120301,Locale_Item:EquipDescription_3120301,icn_equipment_head_defender_t3,Equip,Module_A,Defender,T3,3,0,Atk,76,Hp,1133,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3120401,Locale_Item:EquipName_3120401,Locale_Item:EquipDescription_3120401,icn_equipment_head_defender_t3,Equip,Module_A,Defender,T4,4,0,Atk,124,Hp,1859,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3120501,Locale_Item:EquipName_3120501,Locale_Item:EquipDescription_3120501,icn_equipment_head_defender_t5,Equip,Module_A,Defender,T5,5,0,Atk,203,Hp,3049,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3120601,Locale_Item:EquipName_3120601,Locale_Item:EquipDescription_3120601,icn_equipment_head_defender_t5,Equip,Module_A,Defender,T6,6,0,Atk,356,Hp,5337,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3120701,Locale_Item:EquipName_3120701,Locale_Item:EquipDescription_3120701,icn_equipment_head_defender_t7,Equip,Module_A,Defender,T7,7,0,Atk,623,Hp,9341,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3120801,Locale_Item:EquipName_3120801,Locale_Item:EquipDescription_3120801,icn_equipment_head_defender_t7,Equip,Module_A,Defender,T8,8,0,Atk,1159,Hp,17376,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3120901,Locale_Item:EquipName_3120901,Locale_Item:EquipDescription_3120901,icn_equipment_head_defender_t9_1,Equip,Module_A,Defender,T9,9,3121001,Atk,2155,Hp,32318,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3121001,Locale_Item:EquipName_3121001,Locale_Item:EquipDescription_3121001,icn_equipment_head_defender_t9_3,Equip,Module_A,Defender,T10,10,0,Atk,4010,Hp,60111,None,0,None,0,None,0,None,0,100000,10000,100000,5000,100000,3000,10,200,100
3130101,Locale_Item:EquipName_3130101,Locale_Item:EquipDescription_3130101,icn_equipment_head_supporter_t1,Equip,Module_A,Supporter,T1,1,0,Atk,55,Hp,600,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3130201,Locale_Item:EquipName_3130201,Locale_Item:EquipDescription_3130201,icn_equipment_head_supporter_t1,Equip,Module_A,Supporter,T2,2,0,Atk,72,Hp,786,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3130301,Locale_Item:EquipName_3130301,Locale_Item:EquipDescription_3130301,icn_equipment_head_supporter_t3,Equip,Module_A,Supporter,T3,3,0,Atk,95,Hp,1030,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3130401,Locale_Item:EquipName_3130401,Locale_Item:EquipDescription_3130401,icn_equipment_head_supporter_t3,Equip,Module_A,Supporter,T4,4,0,Atk,155,Hp,1690,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3130501,Locale_Item:EquipName_3130501,Locale_Item:EquipDescription_3130501,icn_equipment_head_supporter_t5,Equip,Module_A,Supporter,T5,5,0,Atk,254,Hp,2772,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3130601,Locale_Item:EquipName_3130601,Locale_Item:EquipDescription_3130601,icn_equipment_head_supporter_t5,Equip,Module_A,Supporter,T6,6,0,Atk,445,Hp,4852,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3130701,Locale_Item:EquipName_3130701,Locale_Item:EquipDescription_3130701,icn_equipment_head_supporter_t7,Equip,Module_A,Supporter,T7,7,0,Atk,779,Hp,8492,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3130801,Locale_Item:EquipName_3130801,Locale_Item:EquipDescription_3130801,icn_equipment_head_supporter_t7,Equip,Module_A,Supporter,T8,8,0,Atk,1449,Hp,15796,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3130901,Locale_Item:EquipName_3130901,Locale_Item:EquipDescription_3130901,icn_equipment_head_supporter_t9_1,Equip,Module_A,Supporter,T9,9,3131001,Atk,2694,Hp,29380,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
3131001,Locale_Item:EquipName_3131001,Locale_Item:EquipDescription_3131001,icn_equipment_head_supporter_t9_3,Equip,Module_A,Supporter,T10,10,0,Atk,5012,Hp,54646,None,0,None,0,None,0,None,0,100000,10000,100000,5000,100000,3000,10,200,100
3200901,Locale_Item:EquipName_2000_A,Locale_Item:EquipDescription_2000_A,icn_equipment_body_attacker_t9_3,Equip,Module_B,All,T9,9,0,Hp,99999999,None,0,None,0,None,0,None,0,None,0,0,0,0,0,0,0,0,0,0
