id,monster_resource,ce002minigame_monster_type,monster_size_ratio,monster_hp,move_speed,angle_rotational_per_sec,focus_muzzle_target,enermy_search_distance,enermy_shot_distance,auto_target,hit_effect,dead_effect,projectile_type,projectile_damage,projectile_speed,projectile_hp,projectile_duration,shot_timing,cooltime,shot_delay
1001,ce002_minigame_monster_target,Boss,100,1000,0,0,False,0,0,True,ce002_minigame_target_monster_hit_effect,ce002_minigame_target_dead,None,0,0,0,0,None,0,0
1002,ce002_minigame_monster_target,Boss,100,500,0,3000,False,1000000,1000000,True,ce002_minigame_target_monster_hit_effect,ce002_minigame_target_dead,Destroyable,100,800,100,3000,Concurrence,50,0
1003,ce002_minigame_monster_target,Boss,100,500,0,9000,False,1000000,1000000,True,ce002_minigame_target_monster_hit_effect,ce002_minigame_target_dead,Destroyable,100,800,100,3000,Sequence,0,10
1004,ce002_minigame_monster_target,Boss,100,500,0,9000,False,1000000,1000000,True,ce002_minigame_target_monster_hit_effect,ce002_minigame_target_dead,Random,100,800,100,3000,Sequence,0,10
1005,ce002_minigame_monster_target,Boss,100,500,0,-3000,False,1000000,1000000,True,ce002_minigame_target_monster_hit_effect,ce002_minigame_target_dead,Random,100,800,100,3000,Sequence,0,20
1006,ce002_minigame_monster_target,Boss,100,500,0,-3000,False,1000000,1000000,True,ce002_minigame_target_monster_hit_effect,ce002_minigame_target_dead,Destroyable,100,800,100,3000,Sequence,0,10
2001,ce002_minigame_monster_fixed,Stop,100,200,0,0,False,100000,50000,True,ce002_minigame_stop_monster_hit_effect,ce002_minigame_monster_dead,Destroyable,100,800,100,3000,Concurrence,100,0
2002,ce002_minigame_monster_fixed,Stop,100,200,0,3000,False,100000,50000,True,ce002_minigame_stop_monster_hit_effect,ce002_minigame_monster_dead,Indestroyable,100,800,100,3000,Concurrence,100,0
2003,ce002_minigame_monster_fixed,Stop,100,200,0,-3000,False,100000,50000,True,ce002_minigame_stop_monster_hit_effect,ce002_minigame_monster_dead,Destroyable,100,800,100,3000,Concurrence,30,0
2004,ce002_minigame_monster_fixed,Stop,100,200,0,0,False,100000,50000,True,ce002_minigame_stop_monster_hit_effect,ce002_minigame_monster_dead,Indestroyable,100,800,100,3000,Concurrence,100,0
3001,ce002_minigame_monster_movable,Move,50,100,500,18000,True,100000,30000,True,ce002_minigame_move_monster_hit_effect,ce002_minigame_monster_dead,Destroyable,100,800,100,3000,Sequence,200,50
3002,ce002_minigame_monster_movable,Move,50,100,500,18000,True,100000,30000,True,ce002_minigame_move_monster_hit_effect,ce002_minigame_monster_dead,Indestroyable,100,800,100,3000,Sequence,200,50
3003,ce002_minigame_monster_movable,Move,50,100,500,18000,True,100000,30000,True,ce002_minigame_move_monster_hit_effect,ce002_minigame_monster_dead,None,0,0,0,0,None,0,0
4001,ce002_minigame_monster_soft,Soft,80,200,0,0,False,0,0,False,ce002_minigame_soft_monster_hit_effect,,None,0,0,0,0,None,0,0
5001,ce002_minigame_monster_hard,Hard,100,1000000000,0,0,False,0,0,False,,,None,0,0,0,0,None,0,0
5002,ce002_minigame_monster_01,Hard,100,1000000000,0,0,False,0,0,False,,,None,0,0,0,0,None,0,0
5003,ce002_minigame_monster_02,Hard,70,1000000000,0,0,False,0,0,False,,,None,0,0,0,0,None,0,0
5004,ce002_minigame_monster_03,Hard,70,1000000000,0,0,False,0,0,False,,,None,0,0,0,0,None,0,0
5005,ce002_minigame_monster_04,Hard,70,1000000000,0,0,False,0,0,False,,,None,0,0,0,0,None,0,0
5006,ce002_minigame_monster_05,Hard,70,1000000000,0,0,False,0,0,False,,,None,0,0,0,0,None,0,0
5007,ce002_minigame_monster_06,Hard,70,1000000000,0,0,False,0,0,False,,,None,0,0,0,0,None,0,0
5008,ce002_minigame_monster_07,Hard,80,1000000000,0,0,False,0,0,False,,,None,0,0,0,0,None,0,0
5009,ce002_minigame_monster_08,Hard,100,1000000000,0,0,False,0,0,False,,,None,0,0,0,0,None,0,0
5010,ce002_minigame_monster_09,Hard,80,1000000000,0,0,False,0,0,False,,,None,0,0,0,0,None,0,0
5011,ce002_minigame_monster_10,Hard,100,1000000000,0,0,False,0,0,False,,,None,0,0,0,0,None,0,0
5012,ce002_minigame_monster_11,Hard,70,1000000000,0,0,False,0,0,False,,,None,0,0,0,0,None,0,0
5013,ce002_minigame_monster_12,Hard,100,1000000000,0,0,False,0,0,False,,,None,0,0,0,0,None,0,0
5014,ce002_minigame_monster_13,Hard,150,1000000000,0,0,False,0,0,False,,,None,0,0,0,0,None,0,0
5015,ce002_minigame_monster_14,Hard,100,1000000000,0,0,False,0,0,False,,,None,0,0,0,0,None,0,0
5016,ce002_minigame_monster_15,Hard,100,1000000000,0,0,False,0,0,False,,,None,0,0,0,0,None,0,0
5017,ce002_minigame_monster_16,Hard,100,1000000000,0,0,False,0,0,False,,,None,0,0,0,0,None,0,0
5018,ce002_minigame_monster_17,Hard,100,1000000000,0,0,False,0,0,False,,,None,0,0,0,0,None,0,0
5019,ce002_minigame_monster_18,Hard,100,1000000000,0,0,False,0,0,False,,,None,0,0,0,0,None,0,0
5020,ce002_minigame_monster_19,Hard,100,1000000000,0,0,False,0,0,False,,,None,0,0,0,0,None,0,0
5021,ce002_minigame_monster_20,Hard,100,1000000000,0,0,False,0,0,False,,,None,0,0,0,0,None,0,0
5022,ce002_minigame_monster_21,Hard,100,1000000000,0,0,False,0,0,False,,,None,0,0,0,0,None,0,0
5023,ce002_minigame_monster_22,Hard,100,1000000000,0,0,False,0,0,False,,,None,0,0,0,0,None,0,0
